# Ionisation, integriert ueber die Querschnitte | IAA (IAA), IAA (IAA), via LXCat, abgerufen 02 Sep 2026
Te_eV,K_m3s
0.5,2.820475e-28
0.55,5.245997e-27
0.6,6.017876e-26
0.65,4.758935e-25
0.7,2.809087e-24
0.75,1.312030e-23
0.8,5.065854e-23
0.85,1.671980e-22
0.9,4.841633e-22
0.95,1.255653e-21
1,2.964934e-21
1.05,6.459800e-21
1.1,1.312871e-20
1.15,2.511549e-20
1.2,4.556634e-20
1.25,7.889951e-20
1.3,1.310859e-19
1.35,2.099278e-19
1.4,3.253228e-19
1.45,4.895020e-19
1.5,7.172330e-19
1.55,1.025980e-18
1.6,1.436015e-18
1.65,1.970486e-18
1.7,2.655423e-18
1.75,3.519712e-18
1.8,4.595009e-18
1.85,5.915622e-18
1.9,7.518361e-18
1.95,9.442346e-18
2,1.172880e-17
2.05,1.442083e-17
2.1,1.756318e-17
2.15,2.120196e-17
2.2,2.538444e-17
2.25,3.015875e-17
2.3,3.557369e-17
2.35,4.167840e-17
2.4,4.852221e-17
2.45,5.615439e-17
2.5,6.462393e-17
2.55,7.397933e-17
2.6,8.426848e-17
2.65,9.553843e-17
2.7,1.078353e-16
2.75,1.212040e-16
2.8,1.356884e-16
2.85,1.513309e-16
2.9,1.681726e-16
2.95,1.862529e-16
3,2.056098e-16
3.05,2.262797e-16
3.1,2.482973e-16
3.15,2.716956e-16
3.2,2.965057e-16
3.25,3.227574e-16
3.3,3.504784e-16
3.35,3.796947e-16
3.4,4.104308e-16
3.45,4.427092e-16
3.5,4.765509e-16
3.55,5.119752e-16
3.6,5.489996e-16
3.65,5.876403e-16
3.7,6.279116e-16
3.75,6.698265e-16
3.8,7.133963e-16
3.85,7.586310e-16
3.9,8.055391e-16
3.95,8.541277e-16
4,9.044028e-16
4.05,9.563688e-16
4.1,1.010029e-15
4.15,1.065386e-15
4.2,1.122440e-15
4.25,1.181191e-15
4.3,1.241638e-15
4.35,1.303779e-15
4.4,1.367611e-15
4.45,1.433129e-15
4.5,1.500330e-15
4.55,1.569206e-15
4.6,1.639751e-15
4.65,1.711959e-15
4.7,1.785821e-15
4.75,1.861328e-15
4.8,1.938471e-15
4.85,2.017240e-15
4.9,2.097624e-15
4.95,2.179613e-15
5,2.263195e-15
5.05,2.348358e-15
5.1,2.435089e-15
5.15,2.523375e-15
5.2,2.613204e-15
5.25,2.704561e-15
5.3,2.797433e-15
5.35,2.891805e-15
5.4,2.987663e-15
5.45,3.084992e-15
5.5,3.183777e-15
5.55,3.284003e-15
5.6,3.385653e-15
5.65,3.488714e-15
5.7,3.593168e-15
5.75,3.699000e-15
5.8,3.806194e-15
5.85,3.914733e-15
5.9,4.024602e-15
5.95,4.135784e-15
6,4.248263e-15
6.05,4.362021e-15
6.1,4.477044e-15
6.15,4.593314e-15
6.2,4.710814e-15
6.25,4.829529e-15
6.3,4.949441e-15
6.35,5.070535e-15
6.4,5.192793e-15
