# Ladungsaustausch: I- + I2+ -> I + I2 | Iodine (Grondein 2016) | konstant, 1.22e-13 m^3/s
Te_eV,K_m3s
0.5,1.220000e-13
0.55,1.220000e-13
0.6,1.220000e-13
0.65,1.220000e-13
0.7,1.220000e-13
0.75,1.220000e-13
0.8,1.220000e-13
0.85,1.220000e-13
0.9,1.220000e-13
0.95,1.220000e-13
1,1.220000e-13
1.05,1.220000e-13
1.1,1.220000e-13
1.15,1.220000e-13
1.2,1.220000e-13
1.25,1.220000e-13
1.3,1.220000e-13
1.35,1.220000e-13
1.4,1.220000e-13
1.45,1.220000e-13
1.5,1.220000e-13
1.55,1.220000e-13
1.6,1.220000e-13
1.65,1.220000e-13
1.7,1.220000e-13
1.75,1.220000e-13
1.8,1.220000e-13
1.85,1.220000e-13
1.9,1.220000e-13
1.95,1.220000e-13
2,1.220000e-13
2.05,1.220000e-13
2.1,1.220000e-13
2.15,1.220000e-13
2.2,1.220000e-13
2.25,1.220000e-13
2.3,1.220000e-13
2.35,1.220000e-13
2.4,1.220000e-13
2.45,1.220000e-13
2.5,1.220000e-13
2.55,1.220000e-13
2.6,1.220000e-13
2.65,1.220000e-13
2.7,1.220000e-13
2.75,1.220000e-13
2.8,1.220000e-13
2.85,1.220000e-13
2.9,1.220000e-13
2.95,1.220000e-13
3,1.220000e-13
3.05,1.220000e-13
3.1,1.220000e-13
3.15,1.220000e-13
3.2,1.220000e-13
3.25,1.220000e-13
3.3,1.220000e-13
3.35,1.220000e-13
3.4,1.220000e-13
3.45,1.220000e-13
3.5,1.220000e-13
3.55,1.220000e-13
3.6,1.220000e-13
3.65,1.220000e-13
3.7,1.220000e-13
3.75,1.220000e-13
3.8,1.220000e-13
3.85,1.220000e-13
3.9,1.220000e-13
3.95,1.220000e-13
4,1.220000e-13
4.05,1.220000e-13
4.1,1.220000e-13
4.15,1.220000e-13
4.2,1.220000e-13
4.25,1.220000e-13
4.3,1.220000e-13
4.35,1.220000e-13
4.4,1.220000e-13
4.45,1.220000e-13
4.5,1.220000e-13
4.55,1.220000e-13
4.6,1.220000e-13
4.65,1.220000e-13
4.7,1.220000e-13
4.75,1.220000e-13
4.8,1.220000e-13
4.85,1.220000e-13
4.9,1.220000e-13
4.95,1.220000e-13
5,1.220000e-13
5.05,1.220000e-13
5.1,1.220000e-13
5.15,1.220000e-13
5.2,1.220000e-13
5.25,1.220000e-13
5.3,1.220000e-13
5.35,1.220000e-13
5.4,1.220000e-13
5.45,1.220000e-13
5.5,1.220000e-13
5.55,1.220000e-13
5.6,1.220000e-13
5.65,1.220000e-13
5.7,1.220000e-13
5.75,1.220000e-13
5.8,1.220000e-13
5.85,1.220000e-13
5.9,1.220000e-13
5.95,1.220000e-13
6,1.220000e-13
6.05,1.220000e-13
6.1,1.220000e-13
6.15,1.220000e-13
6.2,1.220000e-13
6.25,1.220000e-13
6.3,1.220000e-13
6.35,1.220000e-13
6.4,1.220000e-13
6.45,1.220000e-13
6.5,1.220000e-13
6.55,1.220000e-13
6.6,1.220000e-13
6.65,1.220000e-13
6.7,1.220000e-13
6.75,1.220000e-13
6.8,1.220000e-13
6.85,1.220000e-13
6.9,1.220000e-13
6.95,1.220000e-13
7,1.220000e-13
7.05,1.220000e-13
7.1,1.220000e-13
7.15,1.220000e-13
7.2,1.220000e-13
7.25,1.220000e-13
7.3,1.220000e-13
7.35,1.220000e-13
7.4,1.220000e-13
7.45,1.220000e-13
7.5,1.220000e-13
7.55,1.220000e-13
7.6,1.220000e-13
7.65,1.220000e-13
7.7,1.220000e-13
7.75,1.220000e-13
7.8,1.220000e-13
7.85,1.220000e-13
7.9,1.220000e-13
7.95,1.220000e-13
8,1.220000e-13
8.05,1.220000e-13
8.1,1.220000e-13
8.15,1.220000e-13
8.2,1.220000e-13
8.25,1.220000e-13
8.3,1.220000e-13
8.35,1.220000e-13
8.4,1.220000e-13
8.45,1.220000e-13
8.5,1.220000e-13
8.55,1.220000e-13
8.6,1.220000e-13
8.65,1.220000e-13
8.7,1.220000e-13
8.75,1.220000e-13
8.8,1.220000e-13
8.85,1.220000e-13
8.9,1.220000e-13
8.95,1.220000e-13
9,1.220000e-13
9.05,1.220000e-13
9.1,1.220000e-13
9.15,1.220000e-13
9.2,1.220000e-13
9.25,1.220000e-13
9.3,1.220000e-13
9.35,1.220000e-13
9.4,1.220000e-13
9.45,1.220000e-13
9.5,1.220000e-13
9.55,1.220000e-13
9.6,1.220000e-13
9.65,1.220000e-13
9.7,1.220000e-13
9.75,1.220000e-13
9.8,1.220000e-13
9.85,1.220000e-13
9.9,1.220000e-13
9.95,1.220000e-13
10,1.220000e-13
10.05,1.220000e-13
10.1,1.220000e-13
10.15,1.220000e-13
10.2,1.220000e-13
10.25,1.220000e-13
10.3,1.220000e-13
10.35,1.220000e-13
10.4,1.220000e-13
10.45,1.220000e-13
10.5,1.220000e-13
10.55,1.220000e-13
10.6,1.220000e-13
10.65,1.220000e-13
10.7,1.220000e-13
10.75,1.220000e-13
10.8,1.220000e-13
10.85,1.220000e-13
10.9,1.220000e-13
10.95,1.220000e-13
11,1.220000e-13
11.05,1.220000e-13
11.1,1.220000e-13
11.15,1.220000e-13
11.2,1.220000e-13
11.25,1.220000e-13
11.3,1.220000e-13
11.35,1.220000e-13
11.4,1.220000e-13
11.45,1.220000e-13
11.5,1.220000e-13
11.55,1.220000e-13
11.6,1.220000e-13
11.65,1.220000e-13
11.7,1.220000e-13
11.75,1.220000e-13
11.8,1.220000e-13
11.85,1.220000e-13
11.9,1.220000e-13
11.95,1.220000e-13
12,1.220000e-13
12.05,1.220000e-13
12.1,1.220000e-13
12.15,1.220000e-13
12.2,1.220000e-13
12.25,1.220000e-13
12.3,1.220000e-13
12.35,1.220000e-13
12.4,1.220000e-13
12.45,1.220000e-13
12.5,1.220000e-13
12.55,1.220000e-13
12.6,1.220000e-13
12.65,1.220000e-13
12.7,1.220000e-13
12.75,1.220000e-13
12.8,1.220000e-13
12.85,1.220000e-13
12.9,1.220000e-13
12.95,1.220000e-13
13,1.220000e-13
13.05,1.220000e-13
13.1,1.220000e-13
13.15,1.220000e-13
13.2,1.220000e-13
13.25,1.220000e-13
13.3,1.220000e-13
13.35,1.220000e-13
13.4,1.220000e-13
13.45,1.220000e-13
13.5,1.220000e-13
13.55,1.220000e-13
13.6,1.220000e-13
13.65,1.220000e-13
13.7,1.220000e-13
13.75,1.220000e-13
13.8,1.220000e-13
13.85,1.220000e-13
13.9,1.220000e-13
13.95,1.220000e-13
14,1.220000e-13
14.05,1.220000e-13
14.1,1.220000e-13
14.15,1.220000e-13
14.2,1.220000e-13
14.25,1.220000e-13
14.3,1.220000e-13
14.35,1.220000e-13
14.4,1.220000e-13
14.45,1.220000e-13
14.5,1.220000e-13
14.55,1.220000e-13
14.6,1.220000e-13
14.65,1.220000e-13
14.7,1.220000e-13
14.75,1.220000e-13
14.8,1.220000e-13
14.85,1.220000e-13
14.9,1.220000e-13
14.95,1.220000e-13
15,1.220000e-13
15.05,1.220000e-13
15.1,1.220000e-13
15.15,1.220000e-13
15.2,1.220000e-13
15.25,1.220000e-13
15.3,1.220000e-13
15.35,1.220000e-13
15.4,1.220000e-13
