# e + I -> e + I (Elastisch, total) | Iodine V1 (Lafleur 2026) | tabelliert
Te_eV,K_m3s
0.5,1.041022e-12
0.55,1.013004e-12
0.6,9.779780e-13
0.65,9.339884e-13
0.7,8.855528e-13
0.75,8.370650e-13
0.8,7.913672e-13
0.85,7.498968e-13
0.9,7.131476e-13
0.95,6.810684e-13
1,6.533317e-13
1.05,6.294956e-13
1.1,6.090932e-13
1.15,5.916781e-13
1.2,5.768447e-13
1.25,5.642347e-13
1.3,5.535369e-13
1.35,5.444837e-13
1.4,5.368457e-13
1.45,5.304272e-13
1.5,5.250609e-13
1.55,5.206041e-13
1.6,5.169344e-13
1.65,5.139470e-13
1.7,5.115518e-13
1.75,5.096710e-13
1.8,5.082376e-13
1.85,5.071934e-13
1.9,5.064879e-13
1.95,5.060770e-13
2,5.059224e-13
2.05,5.059906e-13
2.1,5.062520e-13
2.15,5.066808e-13
2.2,5.072543e-13
2.25,5.079524e-13
2.3,5.087573e-13
2.35,5.096535e-13
2.4,5.106271e-13
2.45,5.116657e-13
2.5,5.127587e-13
2.55,5.138962e-13
2.6,5.150697e-13
2.65,5.162716e-13
2.7,5.174952e-13
2.75,5.187344e-13
2.8,5.199840e-13
2.85,5.212391e-13
2.9,5.224956e-13
2.95,5.237497e-13
3,5.249983e-13
3.05,5.262382e-13
3.1,5.274671e-13
3.15,5.286826e-13
3.2,5.298828e-13
3.25,5.310658e-13
3.3,5.322302e-13
3.35,5.333747e-13
3.4,5.344981e-13
3.45,5.355994e-13
3.5,5.366779e-13
3.55,5.377327e-13
3.6,5.387635e-13
3.65,5.397695e-13
3.7,5.407506e-13
3.75,5.417063e-13
3.8,5.426365e-13
3.85,5.435410e-13
3.9,5.444198e-13
3.95,5.452727e-13
4,5.460998e-13
4.05,5.469013e-13
4.1,5.476771e-13
4.15,5.484274e-13
4.2,5.491525e-13
4.25,5.498524e-13
4.3,5.505274e-13
4.35,5.511778e-13
4.4,5.518038e-13
4.45,5.524057e-13
4.5,5.529839e-13
4.55,5.535385e-13
4.6,5.540699e-13
4.65,5.545785e-13
4.7,5.550646e-13
4.75,5.555286e-13
4.8,5.559707e-13
4.85,5.563914e-13
4.9,5.567909e-13
4.95,5.571697e-13
5,5.575281e-13
5.05,5.578664e-13
5.1,5.581851e-13
5.15,5.584844e-13
5.2,5.587648e-13
5.25,5.590266e-13
5.3,5.592701e-13
5.35,5.594957e-13
5.4,5.597038e-13
5.45,5.598946e-13
5.5,5.600686e-13
5.55,5.602260e-13
5.6,5.603672e-13
5.65,5.604926e-13
5.7,5.606024e-13
5.75,5.606970e-13
5.8,5.607766e-13
5.85,5.608417e-13
5.9,5.608925e-13
5.95,5.609293e-13
6,5.609524e-13
6.05,5.609621e-13
6.1,5.609587e-13
6.15,5.609425e-13
6.2,5.609137e-13
6.25,5.608727e-13
6.3,5.608196e-13
6.35,5.607549e-13
6.4,5.606786e-13
6.45,5.605912e-13
6.5,5.604927e-13
6.55,5.603835e-13
6.6,5.602639e-13
6.65,5.601340e-13
6.7,5.599941e-13
6.75,5.598444e-13
6.8,5.596851e-13
6.85,5.595165e-13
6.9,5.593388e-13
6.95,5.591521e-13
7,5.589567e-13
7.05,5.587529e-13
7.1,5.585407e-13
7.15,5.583203e-13
7.2,5.580921e-13
7.25,5.578561e-13
7.3,5.576126e-13
7.35,5.573616e-13
7.4,5.571035e-13
7.45,5.568384e-13
7.5,5.565663e-13
7.55,5.562876e-13
7.6,5.560023e-13
7.65,5.557107e-13
7.7,5.554128e-13
7.75,5.551088e-13
7.8,5.547990e-13
7.85,5.544833e-13
7.9,5.541620e-13
7.95,5.538352e-13
8,5.535030e-13
8.05,5.531657e-13
8.1,5.528232e-13
8.15,5.524757e-13
8.2,5.521234e-13
8.25,5.517664e-13
8.3,5.514047e-13
8.35,5.510386e-13
8.4,5.506681e-13
8.45,5.502934e-13
8.5,5.499145e-13
8.55,5.495315e-13
8.6,5.491447e-13
8.65,5.487539e-13
8.7,5.483595e-13
8.75,5.479615e-13
8.8,5.475599e-13
8.85,5.471548e-13
