# Kdissatt_I2, Variante esteves_mid | iodine_lafleur_v1
Te_eV,K_m3s
0.5,4.544832e-17
0.55,7.348782e-17
0.6,1.091996e-16
0.65,1.521052e-16
0.7,2.014251e-16
0.75,2.562178e-16
0.8,3.154858e-16
0.85,3.782489e-16
0.9,4.435893e-16
0.95,5.106776e-16
1,5.787834e-16
1.05,6.472773e-16
1.1,7.156261e-16
1.15,7.833860e-16
1.2,8.501931e-16
1.25,9.157540e-16
1.3,9.798367e-16
1.35,1.042262e-15
1.4,1.102895e-15
1.45,1.161638e-15
1.5,1.218426e-15
1.55,1.273220e-15
1.6,1.326000e-15
1.65,1.376767e-15
1.7,1.425535e-15
1.75,1.472328e-15
1.8,1.517180e-15
1.85,1.560132e-15
1.9,1.601231e-15
1.95,1.640527e-15
2,1.678074e-15
2.05,1.713926e-15
2.1,1.748140e-15
2.15,1.780772e-15
2.2,1.811879e-15
2.25,1.841517e-15
2.3,1.869743e-15
2.35,1.896610e-15
2.4,1.922171e-15
2.45,1.946480e-15
2.5,1.969585e-15
2.55,1.991537e-15
2.6,2.012383e-15
2.65,2.032168e-15
2.7,2.050936e-15
2.75,2.068730e-15
2.8,2.085591e-15
2.85,2.101557e-15
2.9,2.116668e-15
2.95,2.130958e-15
3,2.144463e-15
3.05,2.157215e-15
3.1,2.169247e-15
3.15,2.180589e-15
3.2,2.191270e-15
3.25,2.201318e-15
3.3,2.210760e-15
3.35,2.219622e-15
3.4,2.227928e-15
3.45,2.235700e-15
3.5,2.242963e-15
3.55,2.249737e-15
3.6,2.256042e-15
3.65,2.261899e-15
3.7,2.267326e-15
3.75,2.272340e-15
3.8,2.276960e-15
3.85,2.281201e-15
3.9,2.285079e-15
3.95,2.288610e-15
4,2.291807e-15
4.05,2.294685e-15
4.1,2.297256e-15
4.15,2.299533e-15
4.2,2.301528e-15
4.25,2.303253e-15
4.3,2.304719e-15
4.35,2.305937e-15
4.4,2.306916e-15
4.45,2.307667e-15
4.5,2.308198e-15
4.55,2.308519e-15
4.6,2.308638e-15
4.65,2.308564e-15
4.7,2.308304e-15
4.75,2.307866e-15
4.8,2.307258e-15
4.85,2.306485e-15
4.9,2.305555e-15
4.95,2.304475e-15
5,2.303249e-15
5.05,2.301885e-15
5.1,2.300388e-15
5.15,2.298764e-15
5.2,2.297017e-15
5.25,2.295153e-15
5.3,2.293176e-15
5.35,2.291091e-15
5.4,2.288903e-15
5.45,2.286616e-15
5.5,2.284234e-15
5.55,2.281761e-15
5.6,2.279200e-15
5.65,2.276556e-15
5.7,2.273832e-15
5.75,2.271031e-15
5.8,2.268156e-15
5.85,2.265212e-15
5.9,2.262200e-15
5.95,2.259123e-15
6,2.255985e-15
6.05,2.252788e-15
6.1,2.249535e-15
6.15,2.246228e-15
6.2,2.242869e-15
6.25,2.239461e-15
6.3,2.236007e-15
6.35,2.232507e-15
6.4,2.228965e-15
6.45,2.225382e-15
6.5,2.221761e-15
6.55,2.218102e-15
6.6,2.214408e-15
6.65,2.210681e-15
6.7,2.206922e-15
6.75,2.203132e-15
6.8,2.199314e-15
6.85,2.195469e-15
6.9,2.191598e-15
6.95,2.187703e-15
7,2.183784e-15
7.05,2.179844e-15
7.1,2.175883e-15
7.15,2.171903e-15
7.2,2.167904e-15
7.25,2.163888e-15
7.3,2.159856e-15
7.35,2.155810e-15
7.4,2.151749e-15
7.45,2.147675e-15
7.5,2.143588e-15
7.55,2.139491e-15
7.6,2.135383e-15
7.65,2.131265e-15
7.7,2.127139e-15
7.75,2.123005e-15
7.8,2.118863e-15
7.85,2.114715e-15
7.9,2.110561e-15
7.95,2.106401e-15
8,2.102237e-15
8.05,2.098069e-15
8.1,2.093898e-15
8.15,2.089724e-15
8.2,2.085548e-15
8.25,2.081370e-15
8.3,2.077191e-15
8.35,2.073011e-15
8.4,2.068831e-15
8.45,2.064651e-15
8.5,2.060472e-15
8.55,2.056294e-15
8.6,2.052118e-15
8.65,2.047944e-15
8.7,2.043772e-15
8.75,2.039603e-15
8.8,2.035437e-15
8.85,2.031274e-15
8.9,2.027115e-15
8.95,2.022960e-15
9,2.018810e-15
9.05,2.014664e-15
9.1,2.010523e-15
9.15,2.006388e-15
9.2,2.002258e-15
9.25,1.998134e-15
9.3,1.994016e-15
9.35,1.989904e-15
9.4,1.985799e-15
9.45,1.981700e-15
9.5,1.977609e-15
9.55,1.973524e-15
9.6,1.969447e-15
9.65,1.965377e-15
9.7,1.961315e-15
9.75,1.957261e-15
9.8,1.953215e-15
9.85,1.949177e-15
9.9,1.945148e-15
9.95,1.941127e-15
10,1.937114e-15
10.05,1.933111e-15
10.1,1.929116e-15
10.15,1.925130e-15
10.2,1.921154e-15
10.25,1.917186e-15
10.3,1.913228e-15
10.35,1.909280e-15
10.4,1.905341e-15
10.45,1.901412e-15
10.5,1.897492e-15
10.55,1.893583e-15
10.6,1.889683e-15
10.65,1.885793e-15
10.7,1.881914e-15
10.75,1.878044e-15
10.8,1.874185e-15
10.85,1.870336e-15
10.9,1.866497e-15
10.95,1.862669e-15
11,1.858851e-15
11.05,1.855043e-15
11.1,1.851246e-15
11.15,1.847460e-15
11.2,1.843684e-15
11.25,1.839919e-15
11.3,1.836165e-15
11.35,1.832421e-15
11.4,1.828688e-15
11.45,1.824966e-15
11.5,1.821255e-15
11.55,1.817554e-15
11.6,1.813865e-15
11.65,1.810186e-15
11.7,1.806518e-15
11.75,1.802861e-15
11.8,1.799215e-15
11.85,1.795580e-15
11.9,1.791956e-15
11.95,1.788343e-15
12,1.784741e-15
12.05,1.781149e-15
12.1,1.777569e-15
12.15,1.774000e-15
12.2,1.770441e-15
12.25,1.766894e-15
12.3,1.763358e-15
12.35,1.759832e-15
12.4,1.756318e-15
12.45,1.752814e-15
12.5,1.749322e-15
12.55,1.745840e-15
12.6,1.742369e-15
12.65,1.738910e-15
12.7,1.735461e-15
12.75,1.732023e-15
12.8,1.728596e-15
12.85,1.725180e-15
12.9,1.721774e-15
12.95,1.718380e-15
13,1.714996e-15
13.05,1.711623e-15
13.1,1.708261e-15
13.15,1.704910e-15
13.2,1.701569e-15
13.25,1.698240e-15
13.3,1.694921e-15
13.35,1.691612e-15
13.4,1.688314e-15
13.45,1.685027e-15
13.5,1.681751e-15
13.55,1.678485e-15
13.6,1.675230e-15
13.65,1.671985e-15
13.7,1.668751e-15
13.75,1.665527e-15
13.8,1.662314e-15
13.85,1.659111e-15
13.9,1.655919e-15
13.95,1.652737e-15
14,1.649565e-15
14.05,1.646404e-15
14.1,1.643253e-15
14.15,1.640112e-15
14.2,1.636982e-15
14.25,1.633861e-15
14.3,1.630751e-15
14.35,1.627651e-15
14.4,1.624561e-15
14.45,1.621482e-15
14.5,1.618412e-15
14.55,1.615353e-15
14.6,1.612303e-15
14.65,1.609263e-15
14.7,1.606234e-15
14.75,1.603214e-15
14.8,1.600204e-15
14.85,1.597204e-15
14.9,1.594213e-15
14.95,1.591233e-15
15,1.588262e-15
15.05,1.585301e-15
15.1,1.582350e-15
15.15,1.579408e-15
15.2,1.576476e-15
15.25,1.573553e-15
15.3,1.570640e-15
15.35,1.567737e-15
15.4,1.564843e-15
15.45,1.561958e-15
15.5,1.559083e-15
15.55,1.556217e-15
15.6,1.553361e-15
15.65,1.550514e-15
15.7,1.547676e-15
15.75,1.544847e-15
15.8,1.542028e-15
15.85,1.539217e-15
15.9,1.536416e-15
15.95,1.533624e-15
16,1.530841e-15
16.05,1.528067e-15
16.1,1.525302e-15
16.15,1.522546e-15
16.2,1.519799e-15
16.25,1.517061e-15
16.3,1.514332e-15
16.35,1.511611e-15
16.4,1.508900e-15
16.45,1.506197e-15
16.5,1.503503e-15
16.55,1.500817e-15
16.6,1.498140e-15
16.65,1.495472e-15
16.7,1.492812e-15
16.75,1.490161e-15
16.8,1.487519e-15
16.85,1.484885e-15
16.9,1.482259e-15
16.95,1.479642e-15
17,1.477033e-15
17.05,1.474433e-15
17.1,1.471841e-15
17.15,1.469257e-15
17.2,1.466681e-15
17.25,1.464114e-15
17.3,1.461555e-15
17.35,1.459004e-15
17.4,1.456461e-15
17.45,1.453926e-15
17.5,1.451400e-15
17.55,1.448881e-15
17.6,1.446370e-15
17.65,1.443868e-15
17.7,1.441373e-15
17.75,1.438886e-15
17.8,1.436407e-15
17.85,1.433936e-15
17.9,1.431472e-15
17.95,1.429017e-15
18,1.426569e-15
18.05,1.424129e-15
18.1,1.421696e-15
18.15,1.419271e-15
18.2,1.416854e-15
18.25,1.414444e-15
18.3,1.412042e-15
18.35,1.409648e-15
18.4,1.407261e-15
18.45,1.404881e-15
18.5,1.402509e-15
18.55,1.400144e-15
18.6,1.397786e-15
18.65,1.395436e-15
18.7,1.393094e-15
18.75,1.390758e-15
18.8,1.388430e-15
18.85,1.386109e-15
18.9,1.383795e-15
18.95,1.381488e-15
19,1.379188e-15
19.05,1.376896e-15
19.1,1.374610e-15
19.15,1.372332e-15
19.2,1.370061e-15
19.25,1.367796e-15
19.3,1.365539e-15
19.35,1.363288e-15
19.4,1.361045e-15
19.45,1.358808e-15
19.5,1.356578e-15
19.55,1.354355e-15
19.6,1.352138e-15
19.65,1.349929e-15
19.7,1.347726e-15
19.75,1.345530e-15
19.8,1.343340e-15
19.85,1.341157e-15
19.9,1.338981e-15
19.95,1.336811e-15
20,1.334648e-15
20.05,1.332492e-15
20.1,1.330342e-15
20.15,1.328198e-15
20.2,1.326061e-15
20.25,1.323930e-15
20.3,1.321806e-15
20.35,1.319688e-15
20.4,1.317576e-15
20.45,1.315471e-15
20.5,1.313372e-15
20.55,1.311279e-15
20.6,1.309193e-15
20.65,1.307113e-15
20.7,1.305039e-15
20.75,1.302971e-15
20.8,1.300909e-15
20.85,1.298853e-15
20.9,1.296804e-15
20.95,1.294760e-15
21,1.292723e-15
21.05,1.290691e-15
21.1,1.288666e-15
21.15,1.286646e-15
21.2,1.284633e-15
21.25,1.282625e-15
21.3,1.280624e-15
21.35,1.278628e-15
21.4,1.276638e-15
21.45,1.274654e-15
21.5,1.272675e-15
21.55,1.270703e-15
21.6,1.268736e-15
21.65,1.266775e-15
21.7,1.264819e-15
21.75,1.262869e-15
21.8,1.260925e-15
21.85,1.258987e-15
21.9,1.257054e-15
21.95,1.255127e-15
22,1.253205e-15
22.05,1.251289e-15
22.1,1.249378e-15
22.15,1.247473e-15
22.2,1.245573e-15
22.25,1.243679e-15
