# Kelm_I2, Variante nominal | iodine_lafleur_v1
Te_eV,K_m3s
0.5,4.253958e-14
0.55,1.293519e-13
0.6,1.901926e-13
0.65,2.096343e-13
0.7,2.086434e-13
0.75,2.027326e-13
0.8,1.983354e-13
0.85,1.973464e-13
0.9,1.999757e-13
0.95,2.059266e-13
1,2.148055e-13
1.05,2.262441e-13
1.1,2.399237e-13
1.15,2.555708e-13
1.2,2.729467e-13
1.25,2.918386e-13
1.3,3.120529e-13
1.35,3.334105e-13
1.4,3.557451e-13
1.45,3.789008e-13
1.5,4.027324e-13
1.55,4.271043e-13
1.6,4.518909e-13
1.65,4.769764e-13
1.7,5.022550e-13
1.75,5.276301e-13
1.8,5.530148e-13
1.85,5.783310e-13
1.9,6.035096e-13
1.95,6.284894e-13
2,6.532172e-13
2.05,6.776467e-13
2.1,7.017386e-13
2.15,7.254595e-13
2.2,7.487816e-13
2.25,7.716823e-13
2.3,7.941434e-13
2.35,8.161509e-13
2.4,8.376944e-13
2.45,8.587669e-13
2.5,8.793638e-13
2.55,8.994836e-13
2.6,9.191266e-13
2.65,9.382950e-13
2.7,9.569927e-13
2.75,9.752251e-13
2.8,9.929985e-13
2.85,1.010320e-12
2.9,1.027199e-12
2.95,1.043643e-12
3,1.059663e-12
3.05,1.075267e-12
3.1,1.090466e-12
3.15,1.105270e-12
3.2,1.119691e-12
3.25,1.133738e-12
3.3,1.147422e-12
3.35,1.160753e-12
3.4,1.173743e-12
3.45,1.186401e-12
3.5,1.198737e-12
3.55,1.210762e-12
3.6,1.222486e-12
3.65,1.233918e-12
3.7,1.245068e-12
3.75,1.255945e-12
3.8,1.266557e-12
3.85,1.276915e-12
3.9,1.287025e-12
3.95,1.296896e-12
4,1.306537e-12
4.05,1.315955e-12
4.1,1.325157e-12
4.15,1.334152e-12
4.2,1.342945e-12
4.25,1.351544e-12
4.3,1.359955e-12
4.35,1.368185e-12
4.4,1.376239e-12
4.45,1.384124e-12
4.5,1.391846e-12
4.55,1.399409e-12
4.6,1.406819e-12
4.65,1.414082e-12
