# E + Kr -> E + Kr(3D2), Excitation, Schwelle 12.3546 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.3546,0.000000e+00
12.365,8.629700e-25
12.372,1.532500e-24
12.39,3.129200e-24
12.408,4.749900e-24
12.426,6.394900e-24
12.445,8.064400e-24
12.464,9.758700e-24
12.483,1.147800e-23
12.503,1.322300e-23
12.523,1.499400e-23
12.543,1.679100e-23
12.564,1.861400e-23
12.585,2.046400e-23
12.606,2.234100e-23
12.628,2.424500e-23
12.65,2.617700e-23
12.673,2.813600e-23
12.696,3.012400e-23
12.719,3.214100e-23
12.743,3.418600e-23
12.767,3.626000e-23
12.792,3.836400e-23
12.817,4.049700e-23
12.842,4.266100e-23
12.868,4.485500e-23
12.895,4.707900e-23
12.921,4.933500e-23
12.949,5.162200e-23
12.976,5.394000e-23
13.005,5.629000e-23
13.033,5.867200e-23
13.063,6.108700e-23
13.092,6.353500e-23
13.123,6.601500e-23
13.153,6.852900e-23
13.185,7.107700e-23
13.217,7.365900e-23
13.249,7.627400e-23
13.282,7.892400e-23
13.316,8.160900e-23
13.35,8.432900e-23
13.385,8.708400e-23
13.42,8.987500e-23
13.456,9.270100e-23
13.493,9.556400e-23
13.53,9.846300e-23
13.568,1.014000e-22
13.606,1.043700e-22
13.645,1.073800e-22
13.685,1.104300e-22
13.726,1.135100e-22
13.767,1.166300e-22
13.809,1.197900e-22
13.852,1.229900e-22
13.896,1.262200e-22
13.94,1.295000e-22
13.985,1.328100e-22
14.031,1.361600e-22
14.077,1.395500e-22
14.125,1.429800e-22
14.173,1.464500e-22
14.222,1.499500e-22
14.272,1.535000e-22
14.323,1.570900e-22
14.375,1.607100e-22
14.427,1.643800e-22
14.481,1.680800e-22
14.535,1.718300e-22
14.591,1.756100e-22
14.647,1.794400e-22
14.704,1.833000e-22
14.763,1.872100e-22
14.822,1.911500e-22
14.882,1.951300e-22
14.944,1.991600e-22
15.006,2.032200e-22
15.07,2.073200e-22
15.135,2.114700e-22
15.201,2.156500e-22
15.268,2.198700e-22
15.336,2.241300e-22
15.405,2.284300e-22
15.476,2.327700e-22
15.547,2.371400e-22
15.62,2.415600e-22
15.695,2.460100e-22
15.77,2.505000e-22
15.847,2.550300e-22
15.925,2.595900e-22
16.005,2.642000e-22
16.086,2.688400e-22
16.169,2.735100e-22
16.252,2.782200e-22
16.338,2.829700e-22
16.425,2.877500e-22
16.513,2.925700e-22
16.603,2.974200e-22
16.694,3.023000e-22
16.787,3.072200e-22
16.882,3.121700e-22
16.978,3.171500e-22
17.076,3.221600e-22
17.176,3.272000e-22
17.277,3.322700e-22
17.38,3.373700e-22
17.485,3.425100e-22
17.592,3.476600e-22
17.701,3.528500e-22
17.811,3.580600e-22
17.924,3.633000e-22
18.038,3.685600e-22
18.154,3.738400e-22
18.273,3.791500e-22
18.393,3.844800e-22
18.516,3.898300e-22
18.641,3.952100e-22
18.768,4.006000e-22
18.897,4.060100e-22
19.028,4.114300e-22
19.162,4.168700e-22
19.298,4.223300e-22
19.436,4.278000e-22
19.577,4.332800e-22
19.72,4.387700e-22
19.866,4.442800e-22
20.014,4.497900e-22
20.165,4.553100e-22
20.319,4.608400e-22
20.475,4.663700e-22
20.634,4.719000e-22
20.795,4.774400e-22
20.96,4.829800e-22
21.127,4.885200e-22
21.297,4.940600e-22
21.47,4.995900e-22
21.647,5.051200e-22
21.826,5.106400e-22
22.008,5.161500e-22
22.194,5.216600e-22
22.383,5.271500e-22
22.575,5.326400e-22
22.77,5.381000e-22
22.969,5.435600e-22
23.171,5.489900e-22
23.377,5.544100e-22
23.587,5.598100e-22
23.8,5.651800e-22
24.017,5.705300e-22
24.237,5.758600e-22
24.462,5.811600e-22
24.69,5.864300e-22
25.399,6.020500e-22
26.146,6.173500e-22
26.932,6.322900e-22
27.76,6.468100e-22
28.633,6.608800e-22
29.552,6.744500e-22
30.853,6.916800e-22
32.248,7.078400e-22
33.742,7.228300e-22
35.761,7.397900e-22
38.425,7.573300e-22
41.904,7.736300e-22
48.295,7.896300e-22
73.37,7.724300e-22
81.339,7.566900e-22
88.979,7.402300e-22
95.98,7.246500e-22
103.61,7.075700e-22
110.21,6.929400e-22
117.28,6.775600e-22
124.86,6.615300e-22
132.97,6.449300e-22
139.44,6.321700e-22
146.25,6.191900e-22
153.42,6.060100e-22
160.98,5.926800e-22
168.93,5.792200e-22
177.31,5.656800e-22
186.14,5.520900e-22
195.43,5.384700e-22
205.22,5.248500e-22
215.53,5.112500e-22
226.39,4.977200e-22
237.82,4.842500e-22
249.86,4.708900e-22
262.54,4.576400e-22
275.9,4.445400e-22
289.97,4.315800e-22
299.76,4.230400e-22
309.89,4.145800e-22
320.38,4.062000e-22
331.24,3.979000e-22
342.49,3.897000e-22
354.12,3.815900e-22
366.17,3.735800e-22
378.64,3.656700e-22
391.54,3.578500e-22
404.9,3.501400e-22
418.73,3.425400e-22
433.05,3.350400e-22
447.87,3.276600e-22
463.21,3.203800e-22
479.09,3.132100e-22
495.53,3.061500e-22
530.15,2.923800e-22
567.26,2.790600e-22
607.02,2.662000e-22
649.62,2.537900e-22
695.27,2.418400e-22
744.18,2.303400e-22
796.59,2.192800e-22
852.75,2.086500e-22
912.93,1.984600e-22
977.41,1.886900e-22
