# E + Kr -> E + Kr(3P6), Excitation, Schwelle 12.8153 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.8153,0.000000e+00
12.825,1.114200e-24
12.833,1.940900e-24
12.85,3.915700e-24
12.868,5.924800e-24
12.887,7.968900e-24
12.905,1.004900e-23
12.924,1.216500e-23
12.944,1.431700e-23
12.963,1.650800e-23
12.983,1.873600e-23
13.004,2.034000e-23
13.025,2.137400e-23
13.046,2.242600e-23
13.067,2.349600e-23
13.089,2.458500e-23
13.111,2.569400e-23
13.134,2.682100e-23
13.157,2.796800e-23
13.18,2.913500e-23
13.204,3.032200e-23
13.228,3.153000e-23
13.252,3.275900e-23
13.277,3.401000e-23
13.303,3.528200e-23
13.329,3.657700e-23
13.355,3.789400e-23
13.382,3.923400e-23
13.409,4.059700e-23
13.437,4.198400e-23
13.465,4.339500e-23
13.494,4.483100e-23
13.523,4.629100e-23
13.553,4.777800e-23
13.583,4.929000e-23
13.614,5.082800e-23
13.646,5.239300e-23
13.677,5.398600e-23
13.71,5.560600e-23
13.743,5.725500e-23
13.776,5.893200e-23
13.811,6.063800e-23
13.845,6.237400e-23
13.881,6.414100e-23
13.917,6.593800e-23
13.953,6.776600e-23
13.991,6.962600e-23
14.028,7.103600e-23
14.067,7.166800e-23
14.106,7.231000e-23
14.146,7.296400e-23
14.187,7.363000e-23
14.228,7.430600e-23
14.27,7.499500e-23
14.313,7.569600e-23
14.356,7.640900e-23
14.401,7.713400e-23
14.446,7.787200e-23
14.491,7.862300e-23
14.538,7.938700e-23
14.585,8.016400e-23
14.634,8.095400e-23
14.683,8.175900e-23
14.733,8.257700e-23
14.784,8.341000e-23
14.835,8.425700e-23
14.888,8.512000e-23
14.941,8.599700e-23
14.996,8.687700e-23
15.051,8.776200e-23
15.108,8.866300e-23
15.165,8.957900e-23
15.223,9.051100e-23
15.283,9.146000e-23
15.343,9.242500e-23
15.405,9.340700e-23
15.467,9.440600e-23
15.531,9.542200e-23
15.595,9.645600e-23
15.661,9.750800e-23
15.728,9.857900e-23
15.796,9.966800e-23
15.866,1.007800e-22
15.936,1.019000e-22
16.008,1.030500e-22
16.081,1.042100e-22
16.155,1.053800e-22
16.231,1.065700e-22
16.308,1.077900e-22
16.386,1.090200e-22
16.466,1.102700e-22
16.547,1.115500e-22
16.629,1.128500e-22
16.713,1.141700e-22
16.798,1.155100e-22
16.885,1.168800e-22
16.974,1.182700e-22
17.063,1.186900e-22
17.155,1.185200e-22
17.248,1.183400e-22
17.342,1.181700e-22
17.439,1.179800e-22
17.537,1.178000e-22
17.636,1.176100e-22
17.738,1.174200e-22
17.841,1.172200e-22
17.946,1.170200e-22
18.053,1.157600e-22
18.161,1.143200e-22
18.272,1.128600e-22
18.384,1.113800e-22
18.499,1.098600e-22
18.615,1.083200e-22
18.734,1.067600e-22
18.854,1.051600e-22
18.977,1.035400e-22
19.101,1.018900e-22
19.228,1.002100e-22
19.358,9.850300e-23
19.489,9.676400e-23
19.623,9.499500e-23
19.759,9.319500e-23
19.897,9.136400e-23
20.038,8.966700e-23
20.181,8.840500e-23
20.327,8.712000e-23
20.475,8.581300e-23
20.626,8.448300e-23
20.779,8.313000e-23
20.935,8.175400e-23
21.094,8.036300e-23
21.256,7.924300e-23
21.42,7.810300e-23
21.588,7.694300e-23
21.758,7.576300e-23
21.931,7.456200e-23
22.107,7.347100e-23
22.287,7.258200e-23
22.469,7.167800e-23
22.655,7.075800e-23
22.843,6.982100e-23
23.035,6.886900e-23
23.231,6.795500e-23
23.43,6.707700e-23
23.632,6.618500e-23
23.838,6.527700e-23
24.047,6.435300e-23
24.26,6.341300e-23
24.477,6.245600e-23
24.698,6.171300e-23
24.922,6.097100e-23
25.151,6.021600e-23
25.383,5.944800e-23
25.619,5.866600e-23
26.104,5.706200e-23
26.606,5.534200e-23
27.126,5.355900e-23
27.664,5.171400e-23
28.221,4.980300e-23
28.507,4.882300e-23
29.094,4.728500e-23
29.701,4.575400e-23
30.329,4.441400e-23
30.98,4.325700e-23
31.653,4.205900e-23
32.351,4.081900e-23
33.072,3.953600e-23
33.819,3.820700e-23
34.592,3.683200e-23
35.393,3.540800e-23
35.804,3.467700e-23
36.221,3.393400e-23
36.647,3.317800e-23
37.079,3.240900e-23
37.519,3.162600e-23
37.967,3.082900e-23
38.886,2.981600e-23
39.837,2.887200e-23
40.822,2.789500e-23
41.841,2.688300e-23
42.897,2.583600e-23
43.438,2.529900e-23
44.549,2.464200e-23
45.7,2.400800e-23
46.89,2.335200e-23
48.123,2.267200e-23
49.399,2.196900e-23
50.72,2.124100e-23
52.087,2.048700e-23
53.502,1.970700e-23
54.228,1.930700e-23
55.719,1.880000e-23
57.262,1.832300e-23
58.859,1.783000e-23
60.512,1.732000e-23
62.223,1.679200e-23
63.995,1.624500e-23
65.829,1.567900e-23
67.727,1.509300e-23
69.691,1.464200e-23
71.725,1.422700e-23
73.831,1.382100e-23
76.01,1.342500e-23
78.266,1.303800e-23
80.601,1.266000e-23
83.019,1.229100e-23
85.521,1.193200e-23
88.111,1.158100e-23
90.792,1.123900e-23
93.568,1.090600e-23
96.441,1.058100e-23
99.414,1.026400e-23
102.49,9.956000e-24
105.68,9.655800e-24
108.98,9.363500e-24
112.39,9.079100e-24
115.93,8.802300e-24
119.59,8.533000e-24
123.37,8.271000e-24
127.29,8.016300e-24
131.35,7.768600e-24
135.55,7.527900e-24
139.9,7.293900e-24
144.4,7.066500e-24
149.06,6.845600e-24
153.88,6.631100e-24
158.88,6.422700e-24
164.05,6.220400e-24
169.39,6.023900e-24
174.93,5.833200e-24
180.66,5.648100e-24
186.6,5.468500e-24
192.74,5.294300e-24
199.1,5.125200e-24
205.68,4.961200e-24
212.49,4.802100e-24
219.55,4.647900e-24
226.85,4.498300e-24
234.4,4.353300e-24
242.22,4.212700e-24
250.32,4.076400e-24
258.7,3.944400e-24
267.38,3.816400e-24
276.36,3.692400e-24
285.66,3.572200e-24
295.28,3.455800e-24
305.24,3.343000e-24
315.55,3.233700e-24
326.23,3.127900e-24
337.28,3.025500e-24
348.71,2.926200e-24
360.55,2.830100e-24
372.81,2.737100e-24
385.5,2.647000e-24
398.63,2.559800e-24
412.22,2.475400e-24
426.29,2.393700e-24
440.86,2.314600e-24
455.93,2.238100e-24
471.54,2.164000e-24
487.7,2.092300e-24
513,1.989100e-24
539.65,1.890900e-24
567.72,1.797400e-24
597.28,1.708400e-24
628.41,1.623800e-24
661.2,1.543300e-24
695.73,1.466700e-24
732.09,1.393800e-24
770.39,1.324500e-24
810.73,1.258600e-24
853.21,1.196000e-24
897.95,1.136400e-24
945.07,1.079700e-24
994.69,1.025900e-24
