# E + Kr -> E + Kr(3S1!), Excitation, Schwelle 13.0044 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.0044,0.000000e+00
13.014,3.977500e-25
13.022,7.079400e-25
13.04,1.447700e-24
13.058,2.198700e-24
13.076,2.961000e-24
13.095,3.734700e-24
13.114,4.520100e-24
13.133,5.317200e-24
13.153,6.126200e-24
13.173,6.947200e-24
13.193,7.780400e-24
13.214,8.626000e-24
13.235,9.484000e-24
13.256,1.035500e-23
13.278,1.123800e-23
13.3,1.213400e-23
13.323,1.304400e-23
13.346,1.396600e-23
13.369,1.490200e-23
13.393,1.585200e-23
13.417,1.681500e-23
13.442,1.779200e-23
13.467,1.878200e-23
13.492,1.978700e-23
13.518,2.080600e-23
13.544,2.184000e-23
13.571,2.288800e-23
13.598,2.395100e-23
13.626,2.502800e-23
13.654,2.612100e-23
13.683,2.722900e-23
13.712,2.835200e-23
13.742,2.949000e-23
13.772,3.064400e-23
13.803,3.181400e-23
13.835,3.299900e-23
13.866,3.420100e-23
13.899,3.541800e-23
13.932,3.665200e-23
13.966,3.790200e-23
14,3.916900e-23
14.034,4.045200e-23
14.07,4.175200e-23
14.106,4.306900e-23
14.142,4.440400e-23
14.18,4.575500e-23
14.217,4.712300e-23
14.256,4.850900e-23
14.295,4.991300e-23
14.335,5.133400e-23
14.376,5.277300e-23
14.417,5.423000e-23
14.459,5.570500e-23
14.502,5.719800e-23
14.545,5.870900e-23
14.59,6.023800e-23
14.635,6.178500e-23
14.68,6.335200e-23
14.727,6.493600e-23
14.775,6.653900e-23
14.823,6.816100e-23
14.872,6.980200e-23
14.922,7.146100e-23
14.973,7.314000e-23
15.024,7.483700e-23
15.077,7.655300e-23
15.13,7.828900e-23
15.185,8.004300e-23
15.24,8.181700e-23
15.297,8.360900e-23
15.354,8.542100e-23
15.412,8.725200e-23
15.472,8.910300e-23
15.532,9.097200e-23
15.594,9.286100e-23
15.656,9.476800e-23
15.72,9.669500e-23
15.784,9.864100e-23
15.85,1.006100e-22
15.917,1.025900e-22
15.985,1.045900e-22
16.055,1.066200e-22
16.125,1.086600e-22
16.197,1.107200e-22
16.27,1.128000e-22
16.345,1.148900e-22
16.42,1.170100e-22
16.497,1.191400e-22
16.575,1.212900e-22
16.655,1.234700e-22
16.736,1.256500e-22
16.818,1.278600e-22
16.902,1.300800e-22
16.988,1.323300e-22
17.074,1.345800e-22
17.163,1.368600e-22
17.252,1.391500e-22
17.344,1.414600e-22
17.437,1.437900e-22
17.532,1.461300e-22
17.628,1.484900e-22
17.726,1.508700e-22
17.825,1.532600e-22
17.927,1.556600e-22
18.03,1.580800e-22
18.135,1.605200e-22
18.242,1.629600e-22
18.35,1.654300e-22
18.461,1.679000e-22
18.573,1.703900e-22
18.688,1.728900e-22
18.804,1.754100e-22
18.923,1.779400e-22
19.043,1.804700e-22
19.166,1.830200e-22
19.291,1.855900e-22
19.418,1.881600e-22
19.547,1.907400e-22
19.678,1.933300e-22
19.812,1.959300e-22
19.948,1.985300e-22
20.086,2.011500e-22
20.227,2.037700e-22
20.37,2.064000e-22
20.516,2.090400e-22
20.664,2.116800e-22
20.815,2.143200e-22
20.968,2.169800e-22
21.125,2.196300e-22
21.283,2.222900e-22
21.445,2.249500e-22
21.609,2.276100e-22
21.777,2.302800e-22
21.947,2.329400e-22
22.12,2.356100e-22
22.296,2.382700e-22
22.476,2.409400e-22
22.658,2.436000e-22
22.844,2.462600e-22
23.032,2.489100e-22
23.225,2.515700e-22
23.42,2.542100e-22
23.619,2.568500e-22
23.821,2.594900e-22
24.027,2.621100e-22
24.236,2.647300e-22
24.45,2.673400e-22
24.666,2.699500e-22
24.887,2.725400e-22
25.111,2.751200e-22
25.34,2.776800e-22
25.572,2.802400e-22
25.808,2.827800e-22
26.542,2.903200e-22
27.315,2.977000e-22
28.129,3.049100e-22
28.987,3.119300e-22
29.89,3.187300e-22
30.841,3.252900e-22
32.188,3.336300e-22
33.632,3.414500e-22
35.178,3.487100e-22
37.268,3.569400e-22
40.026,3.654700e-22
43.627,3.734100e-22
50.243,3.812700e-22
76.199,3.733400e-22
84.448,3.658100e-22
92.357,3.579200e-22
99.604,3.504400e-22
107.5,3.422300e-22
114.33,3.352000e-22
121.65,3.278000e-22
129.49,3.200800e-22
137.9,3.120800e-22
144.59,3.059300e-22
151.64,2.996700e-22
159.07,2.933200e-22
166.89,2.868900e-22
175.12,2.804000e-22
183.8,2.738600e-22
192.93,2.673000e-22
202.55,2.607300e-22
212.68,2.541500e-22
223.35,2.475900e-22
234.59,2.410500e-22
246.43,2.345400e-22
258.89,2.280900e-22
272.02,2.216800e-22
285.85,2.153500e-22
300.41,2.090900e-22
310.54,2.049600e-22
321.03,2.008700e-22
331.89,1.968100e-22
343.14,1.928000e-22
354.77,1.888400e-22
366.82,1.849100e-22
379.29,1.810400e-22
392.19,1.772100e-22
405.55,1.734300e-22
419.38,1.697000e-22
433.7,1.660200e-22
448.52,1.624000e-22
463.86,1.588200e-22
479.74,1.553000e-22
496.18,1.518300e-22
530.8,1.450500e-22
567.91,1.385000e-22
607.67,1.321600e-22
650.27,1.260400e-22
695.92,1.201400e-22
744.83,1.144600e-22
797.24,1.090000e-22
853.4,1.037500e-22
913.58,9.870700e-23
978.06,9.387100e-23
