# E + Kr -> E + Kr(4D1!), Excitation, Schwelle 13.0442 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.0442,0.000000e+00
13.054,2.598500e-25
13.062,4.526400e-25
13.079,9.131600e-25
13.097,1.381700e-24
13.116,1.858400e-24
13.134,2.343400e-24
13.153,2.836900e-24
13.173,3.338900e-24
13.192,3.849700e-24
13.212,4.369400e-24
13.233,4.898200e-24
13.253,5.436100e-24
13.274,5.983500e-24
13.296,6.540300e-24
13.318,7.106900e-24
13.34,7.683300e-24
13.362,8.269800e-24
13.385,8.866500e-24
13.409,9.473600e-24
13.433,1.009100e-23
13.457,1.072000e-23
13.481,1.135900e-23
13.506,1.201000e-23
13.532,1.267100e-23
13.558,1.334500e-23
13.584,1.403000e-23
13.611,1.472700e-23
13.638,1.543600e-23
13.666,1.615800e-23
13.694,1.689200e-23
13.723,1.763900e-23
13.752,1.839800e-23
13.782,1.917200e-23
13.812,1.995800e-23
13.843,2.075800e-23
13.874,2.157300e-23
13.906,2.240100e-23
13.939,2.324400e-23
13.972,2.410100e-23
14.005,2.497400e-23
14.039,2.551000e-23
14.074,2.593400e-23
14.11,2.636500e-23
14.146,2.680300e-23
14.182,2.724900e-23
14.219,2.770300e-23
14.257,2.816500e-23
14.296,2.863400e-23
14.335,2.911200e-23
14.375,2.959800e-23
14.416,3.009300e-23
14.457,3.059600e-23
14.499,3.110900e-23
14.542,3.163000e-23
14.585,3.216000e-23
14.629,3.269900e-23
14.674,3.324800e-23
14.72,3.380600e-23
14.767,3.437400e-23
14.814,3.495200e-23
14.863,3.554000e-23
14.912,3.613800e-23
14.962,3.674700e-23
15.012,3.773800e-23
15.064,3.878300e-23
15.117,3.984600e-23
15.17,4.092700e-23
15.225,4.202700e-23
15.28,4.314600e-23
15.337,4.428500e-23
15.394,4.544400e-23
15.452,4.662200e-23
15.512,4.782200e-23
15.572,4.904200e-23
15.633,5.028300e-23
15.696,5.154600e-23
15.76,5.283100e-23
15.824,5.413900e-23
15.89,5.546900e-23
15.957,5.682200e-23
16.025,5.819900e-23
16.095,5.898300e-23
16.165,5.930900e-23
16.237,5.964100e-23
16.31,5.997900e-23
16.384,6.032200e-23
16.46,6.067100e-23
16.537,6.102700e-23
16.615,6.138900e-23
16.695,6.175700e-23
16.776,6.213100e-23
16.858,6.251200e-23
16.942,6.290000e-23
17.027,6.330200e-23
17.114,6.374000e-23
17.202,6.418500e-23
17.292,6.463800e-23
17.384,6.509900e-23
17.477,6.556800e-23
17.571,6.604500e-23
17.668,6.653100e-23
17.766,6.702500e-23
17.865,6.752700e-23
17.967,6.794400e-23
18.07,6.718600e-23
18.175,6.641500e-23
18.282,6.563000e-23
18.39,6.483200e-23
18.501,6.402000e-23
18.613,6.319400e-23
18.728,6.235300e-23
18.844,6.149800e-23
18.963,6.062800e-23
19.083,5.970600e-23
19.206,5.867500e-23
19.33,5.762700e-23
19.457,5.656000e-23
19.586,5.547500e-23
19.718,5.437100e-23
19.851,5.324800e-23
19.987,5.210500e-23
20.126,5.121400e-23
20.267,5.033500e-23
20.41,4.944100e-23
20.556,4.853100e-23
20.704,4.760500e-23
20.855,4.666300e-23
21.008,4.570500e-23
21.164,4.485200e-23
21.323,4.411800e-23
21.485,4.337100e-23
21.649,4.261100e-23
21.817,4.183700e-23
21.987,4.105100e-23
22.16,4.049400e-23
22.336,4.004100e-23
22.515,3.958000e-23
22.698,3.911100e-23
22.883,3.863400e-23
23.072,3.814800e-23
23.264,3.772300e-23
23.46,3.732100e-23
23.659,3.691200e-23
23.861,3.649500e-23
24.067,3.607100e-23
24.276,3.564000e-23
24.489,3.520100e-23
24.706,3.498800e-23
24.927,3.477200e-23
25.151,3.455200e-23
25.379,3.432900e-23
25.612,3.410100e-23
25.848,3.386900e-23
26.333,3.315400e-23
26.835,3.208800e-23
27.355,3.098400e-23
27.893,2.984100e-23
28.169,2.925500e-23
