# E + Kr -> E + Kr(4S4), Excitation, Schwelle 13.4365 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.4365,0.000000e+00
13.446,1.696000e-25
13.454,3.023300e-25
13.472,6.189100e-25
13.49,9.402900e-25
13.508,1.266500e-24
13.527,1.597700e-24
13.546,1.933900e-24
13.565,2.275100e-24
13.585,2.621400e-24
13.605,2.972900e-24
13.625,3.329700e-24
13.646,3.691700e-24
13.667,4.059200e-24
13.688,4.432000e-24
13.71,4.810400e-24
13.732,5.194300e-24
13.755,5.583800e-24
13.778,5.979000e-24
13.801,6.380000e-24
13.825,6.786700e-24
13.849,7.199400e-24
13.874,7.618000e-24
13.899,8.042700e-24
13.924,8.473400e-24
13.95,8.910200e-24
13.976,9.353200e-24
14.003,9.802600e-24
14.031,1.025800e-23
14.058,1.072000e-23
14.087,1.118900e-23
14.115,1.166400e-23
14.145,1.214600e-23
14.174,1.263400e-23
14.205,1.312900e-23
14.235,1.363100e-23
14.267,1.413900e-23
14.299,1.465500e-23
14.331,1.517700e-23
14.364,1.570700e-23
14.398,1.624400e-23
14.432,1.678700e-23
14.467,1.733900e-23
14.502,1.789700e-23
14.538,1.846200e-23
14.574,1.903500e-23
14.612,1.961600e-23
14.65,2.020400e-23
14.688,2.079900e-23
14.727,2.140300e-23
14.767,2.201300e-23
14.808,2.263200e-23
14.849,2.325800e-23
14.891,2.389200e-23
14.934,2.453400e-23
14.977,2.518400e-23
15.022,2.584200e-23
15.067,2.650700e-23
15.113,2.718100e-23
15.159,2.786300e-23
15.207,2.855300e-23
15.255,2.925100e-23
15.304,2.995700e-23
15.354,3.067200e-23
15.405,3.139400e-23
15.456,3.212500e-23
15.509,3.286500e-23
15.563,3.361200e-23
15.617,3.436800e-23
15.672,3.513300e-23
15.729,3.590500e-23
15.786,3.668600e-23
15.845,3.747600e-23
15.904,3.827400e-23
15.964,3.908000e-23
16.026,3.989500e-23
16.088,4.071800e-23
16.152,4.154900e-23
16.217,4.238900e-23
16.282,4.323800e-23
16.349,4.409400e-23
16.418,4.496000e-23
16.487,4.583300e-23
16.557,4.671500e-23
16.629,4.760500e-23
16.702,4.850300e-23
16.777,4.941000e-23
16.852,5.032500e-23
16.929,5.124800e-23
17.007,5.217900e-23
17.087,5.311800e-23
17.168,5.406500e-23
17.25,5.502000e-23
17.334,5.598300e-23
17.42,5.695400e-23
17.506,5.793200e-23
17.595,5.891800e-23
17.685,5.991200e-23
17.776,6.091300e-23
17.869,6.192200e-23
17.964,6.293800e-23
18.06,6.396100e-23
18.158,6.499100e-23
18.258,6.602800e-23
18.359,6.707300e-23
18.462,6.812300e-23
18.567,6.918100e-23
18.674,7.024500e-23
18.782,7.131500e-23
18.893,7.239100e-23
19.006,7.347400e-23
19.12,7.456200e-23
19.236,7.565600e-23
19.355,7.675600e-23
19.475,7.786100e-23
19.598,7.897100e-23
19.723,8.008600e-23
19.85,8.120700e-23
19.979,8.233100e-23
20.11,8.346100e-23
20.244,8.459400e-23
20.38,8.573200e-23
20.518,8.687300e-23
20.659,8.801800e-23
20.802,8.916600e-23
20.948,9.031800e-23
21.096,9.147200e-23
21.247,9.262900e-23
21.4,9.378800e-23
21.557,9.495000e-23
21.715,9.611300e-23
21.877,9.727800e-23
22.042,9.844400e-23
22.209,9.961200e-23
22.379,1.007800e-22
22.552,1.019500e-22
22.729,1.031200e-22
22.908,1.042900e-22
23.09,1.054500e-22
23.276,1.066200e-22
23.465,1.077900e-22
23.657,1.089500e-22
23.852,1.101200e-22
24.051,1.112800e-22
24.253,1.124400e-22
24.459,1.136000e-22
24.669,1.147500e-22
24.882,1.159000e-22
25.098,1.170500e-22
25.319,1.181900e-22
25.543,1.193300e-22
25.772,1.204600e-22
26.004,1.215900e-22
26.24,1.227200e-22
26.481,1.238300e-22
26.725,1.249400e-22
27.485,1.282400e-22
28.285,1.314700e-22
29.128,1.346200e-22
30.016,1.376800e-22
30.95,1.406400e-22
32.275,1.444300e-22
33.693,1.480100e-22
35.214,1.513500e-22
36.843,1.544400e-22
39.044,1.579100e-22
41.949,1.614800e-22
46.321,1.651400e-22
84.88,1.615300e-22
92.789,1.582000e-22
100.04,1.550200e-22
107.94,1.515000e-22
114.77,1.484700e-22
122.08,1.452800e-22
129.93,1.419300e-22
138.33,1.384600e-22
147.33,1.348800e-22
154.51,1.321400e-22
162.06,1.293600e-22
170.02,1.265300e-22
178.4,1.236900e-22
187.22,1.208200e-22
196.51,1.179400e-22
206.3,1.150500e-22
216.61,1.121600e-22
227.47,1.092700e-22
238.9,1.064000e-22
250.94,1.035400e-22
263.63,1.007000e-22
276.98,9.788000e-23
291.05,9.509200e-23
305.86,9.233500e-23
316.18,9.051600e-23
326.85,8.871400e-23
337.9,8.693000e-23
349.34,8.516300e-23
361.18,8.341600e-23
373.43,8.168800e-23
386.12,7.998000e-23
399.25,7.829300e-23
412.84,7.662700e-23
426.91,7.498300e-23
441.48,7.336100e-23
456.56,7.176200e-23
472.16,7.018500e-23
488.32,6.863200e-23
522.35,6.559600e-23
558.82,6.265500e-23
597.9,5.981000e-23
639.77,5.706200e-23
684.64,5.441000e-23
732.71,5.185500e-23
784.23,4.939500e-23
839.43,4.703000e-23
898.57,4.475700e-23
961.95,4.257600e-23
