# E + Kr -> E + Kr(p)(11.30eV), Excitation, Schwelle 11.3 eV | Biagi-v7.1 (Magboltz version 7.1), Biagi-v7.1 (Magboltz version 7.1), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
11.3,0.000000e+00
11.31,1.586940e-26
11.3391,5.576850e-24
11.3755,1.128100e-23
11.4132,1.797220e-23
11.4521,2.742140e-23
11.4925,5.405140e-23
11.5343,8.710020e-23
11.5775,1.225520e-22
11.6223,1.596950e-22
11.6686,1.986100e-22
11.7165,2.380650e-22
11.7662,2.772800e-22
11.8176,3.175220e-22
11.8707,3.584780e-22
11.9258,3.998420e-22
11.9828,4.414470e-22
12.0418,4.828420e-22
12.1029,5.248940e-22
12.1661,5.666170e-22
12.2315,6.091760e-22
12.2993,6.525280e-22
12.3694,6.946280e-22
12.442,7.373380e-22
12.5171,7.804020e-22
12.5949,8.231770e-22
12.6754,8.651940e-22
12.7587,9.073540e-22
12.845,9.495870e-22
12.9343,9.910780e-22
13.0267,1.030680e-21
13.1224,1.068950e-21
13.2214,1.108570e-21
13.3239,1.149580e-21
13.4301,1.192030e-21
13.5399,1.231980e-21
13.6537,1.266100e-21
13.7714,1.301410e-21
13.8932,1.337970e-21
14.0193,1.375030e-21
14.1499,1.408980e-21
14.2851,1.444120e-21
14.425,1.480490e-21
14.5698,1.512560e-21
14.7197,1.539550e-21
14.8749,1.567480e-21
15.0355,1.594970e-21
15.2018,1.618250e-21
15.3739,1.642350e-21
15.5521,1.665210e-21
15.7365,1.683650e-21
15.9274,1.702740e-21
16.125,1.717500e-21
16.3296,1.729780e-21
16.5414,1.742480e-21
16.7605,1.755630e-21
16.9874,1.769250e-21
17.2223,1.776670e-21
17.4654,1.783960e-21
17.7171,1.791510e-21
17.9776,1.799330e-21
18.2473,1.797530e-21
18.5264,1.794740e-21
18.8154,1.791850e-21
19.1145,1.787710e-21
19.4241,1.781520e-21
19.7446,1.775110e-21
20.0764,1.767330e-21
20.4198,1.755310e-21
20.7753,1.742860e-21
21.1433,1.729990e-21
21.5242,1.716650e-21
21.9185,1.702850e-21
22.3266,1.685300e-21
22.7492,1.666290e-21
23.1865,1.646610e-21
23.6392,1.626240e-21
24.1078,1.604970e-21
24.5929,1.582330e-21
25.0951,1.558900e-21
25.6149,1.534640e-21
26.1529,1.509530e-21
26.7099,1.483540e-21
27.2864,1.457590e-21
27.8832,1.431730e-21
28.501,1.404960e-21
29.1405,1.377250e-21
29.8025,1.348560e-21
30.4877,1.320490e-21
31.197,1.292120e-21
31.9312,1.262750e-21
32.6912,1.232350e-21
33.4779,1.204070e-21
34.2923,1.176920e-21
35.1353,1.148820e-21
36.008,1.119780e-21
36.9113,1.094940e-21
37.8463,1.069230e-21
38.8142,1.042610e-21
39.8161,1.015060e-21
40.8532,9.888830e-22
41.9268,9.623120e-22
43.0381,9.348080e-22
44.1884,9.074200e-22
45.3792,8.847950e-22
46.6118,8.613760e-22
47.8877,8.371330e-22
49.2085,8.120380e-22
50.5757,7.880770e-22
51.9909,7.661400e-22
53.4559,7.434330e-22
54.9724,7.226830e-22
56.5421,7.028000e-22
58.167,6.822180e-22
59.849,6.609120e-22
61.5901,6.437350e-22
63.3924,6.264330e-22
65.2581,6.085220e-22
67.1893,5.899830e-22
69.1884,5.707920e-22
71.2577,5.540700e-22
73.3997,5.388620e-22
75.6171,5.231190e-22
77.9123,5.068230e-22
80.2882,4.904730e-22
82.7476,4.774380e-22
85.2934,4.639450e-22
87.9287,4.499780e-22
90.6566,4.362420e-22
93.4804,4.243820e-22
96.4034,4.121060e-22
99.4291,3.993980e-22
102.561,3.890600e-22
105.803,3.790100e-22
109.159,3.686060e-22
112.633,3.578370e-22
116.229,3.466890e-22
119.952,3.351490e-22
123.805,3.266290e-22
127.794,3.178540e-22
131.923,3.087700e-22
136.196,2.993680e-22
140.621,2.900480e-22
145.2,2.830260e-22
149.941,2.757570e-22
154.848,2.682330e-22
159.928,2.604440e-22
165.186,2.523820e-22
170.629,2.443500e-22
176.263,2.385290e-22
182.095,2.325020e-22
188.132,2.262640e-22
194.381,2.198060e-22
200.85,2.133410e-22
207.546,2.081520e-22
214.478,2.027800e-22
221.653,1.972190e-22
229.08,1.914630e-22
236.768,1.855040e-22
244.727,1.804000e-22
252.965,1.758690e-22
261.493,1.711790e-22
270.32,1.663240e-22
279.457,1.612980e-22
288.916,1.574340e-22
298.707,1.535170e-22
308.842,1.494630e-22
319.334,1.452670e-22
330.193,1.416870e-22
341.435,1.380340e-22
353.072,1.342520e-22
365.117,1.305930e-22
377.586,1.271640e-22
390.493,1.236140e-22
403.854,1.201520e-22
417.684,1.171090e-22
432,1.139600e-22
446.82,1.107000e-22
462.16,1.078110e-22
478.039,1.049530e-22
494.476,1.019940e-22
511.491,9.939120e-23
529.104,9.692540e-23
547.336,9.437300e-23
566.208,9.173080e-23
585.744,8.899580e-23
605.966,8.640340e-23
626.899,8.431010e-23
648.567,8.214320e-23
670.997,7.990030e-23
694.216,7.757840e-23
718.25,7.554000e-23
743.129,7.354970e-23
768.882,7.148950e-23
795.54,6.935680e-23
823.135,6.772760e-23
851.699,6.615650e-23
881.268,6.453030e-23
911.875,6.284690e-23
943.558,6.110430e-23
976.355,5.930050e-23
