# E + Kr -> E + Kr(s)(9.915eV), Excitation, Schwelle 9.915 eV | Biagi-v7.1 (Magboltz version 7.1), Biagi-v7.1 (Magboltz version 7.1), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
9.915,0.000000e+00
9.9151,6.599850e-26
9.95014,2.429680e-23
9.98652,4.883550e-23
10.0242,7.396820e-23
10.0632,1.084690e-22
10.1035,2.712820e-22
10.1453,1.022570e-21
10.1885,2.574830e-22
10.2333,2.726010e-22
10.2796,3.142160e-22
10.3275,3.575080e-22
10.3772,4.016880e-22
10.4286,4.462770e-22
10.4817,4.914880e-22
10.5368,5.386570e-22
10.5938,5.876710e-22
10.6528,6.479130e-22
10.7139,7.126740e-22
10.7771,7.841080e-22
10.8425,8.567770e-22
10.9103,9.312890e-22
10.9804,1.008420e-21
11.053,1.081200e-21
11.1281,1.153820e-21
11.2059,1.229010e-21
11.2864,1.306830e-21
11.3697,1.380410e-21
11.456,1.455180e-21
11.5453,1.532570e-21
11.6377,1.608280e-21
11.7334,1.680040e-21
11.8324,1.754320e-21
11.935,1.831210e-21
12.0411,1.905470e-21
12.1509,1.973580e-21
12.2646,2.044090e-21
12.3824,2.117070e-21
12.5042,2.192110e-21
12.6303,2.255180e-21
12.7609,2.320460e-21
12.8961,2.388040e-21
13.036,2.455110e-21
13.1808,2.515930e-21
13.3307,2.578900e-21
13.4859,2.644070e-21
13.6465,2.699810e-21
13.8128,2.756350e-21
13.9849,2.814870e-21
14.1631,2.865660e-21
14.3475,2.917300e-21
14.5384,2.969220e-21
14.736,3.016650e-21
14.9406,3.065740e-21
15.1524,3.110470e-21
15.3715,3.154310e-21
15.5984,3.195750e-21
15.8333,3.233330e-21
16.0764,3.269170e-21
16.3281,3.299370e-21
16.5886,3.330630e-21
16.8583,3.362990e-21
17.1374,3.392370e-21
17.4264,3.418370e-21
17.7255,3.445290e-21
18.0351,3.472110e-21
18.3556,3.491340e-21
18.6874,3.511240e-21
19.0308,3.531230e-21
19.3863,3.545450e-21
19.7543,3.560170e-21
20.1352,3.572700e-21
20.5295,3.580590e-21
20.9376,3.588750e-21
21.3602,3.597200e-21
21.7975,3.605950e-21
22.2502,3.610000e-21
22.7188,3.610000e-21
23.2039,3.610000e-21
23.7061,3.610000e-21
24.2259,3.606990e-21
24.7639,3.599810e-21
25.3209,3.592390e-21
25.8974,3.584700e-21
26.4942,3.576740e-21
27.112,3.567760e-21
27.7515,3.554970e-21
28.4135,3.541730e-21
29.0987,3.528030e-21
29.808,3.513840e-21
30.5422,3.495540e-21
31.3022,3.475270e-21
32.0889,3.454290e-21
32.9033,3.432580e-21
33.7463,3.410100e-21
34.619,3.386830e-21
35.5222,3.362740e-21
36.4573,3.337420e-21
37.4252,3.310810e-21
38.4271,3.283250e-21
39.4642,3.254730e-21
40.5378,3.226560e-21
41.6491,3.198770e-21
42.7994,3.170010e-21
43.9902,3.140250e-21
45.2228,3.109430e-21
46.4987,3.077530e-21
47.8195,3.044510e-21
49.1867,3.010330e-21
50.6019,2.974950e-21
52.0669,2.938330e-21
53.5834,2.900420e-21
55.1531,2.865020e-21
56.778,2.829810e-21
58.46,2.793370e-21
60.2011,2.755980e-21
62.0034,2.719930e-21
63.8691,2.682620e-21
65.8003,2.643990e-21
67.7994,2.604010e-21
69.8687,2.562630e-21
72.0107,2.525820e-21
74.2281,2.488120e-21
76.5233,2.449100e-21
78.8992,2.408710e-21
81.3586,2.370980e-21
83.9044,2.335340e-21
86.5397,2.298440e-21
89.2676,2.260250e-21
92.0914,2.222810e-21
95.0144,2.184810e-21
98.0401,2.145480e-21
101.172,2.107110e-21
104.414,2.071440e-21
107.77,2.034530e-21
111.244,1.996310e-21
114.84,1.956760e-21
118.563,1.915810e-21
122.416,1.879460e-21
126.405,1.845560e-21
130.534,1.810460e-21
134.808,1.774140e-21
139.232,1.736530e-21
143.811,1.704590e-21
148.552,1.672990e-21
153.459,1.640270e-21
158.539,1.606410e-21
163.797,1.571360e-21
169.239,1.535070e-21
174.874,1.505630e-21
180.706,1.476470e-21
186.743,1.446290e-21
192.992,1.415040e-21
199.461,1.382690e-21
206.157,1.355370e-21
213.089,1.327640e-21
220.264,1.298940e-21
227.691,1.269240e-21
235.379,1.238480e-21
243.338,1.209990e-21
251.576,1.185270e-21
260.104,1.159690e-21
268.931,1.133210e-21
278.068,1.105790e-21
287.527,1.080810e-21
297.318,1.055840e-21
307.453,1.029990e-21
317.945,1.003240e-21
328.805,9.803910e-22
340.046,9.579080e-22
351.683,9.346340e-22
363.728,9.116620e-22
376.197,8.904650e-22
389.104,8.685230e-22
402.465,8.465490e-22
416.295,8.271870e-22
430.611,8.071440e-22
445.431,7.863970e-22
460.771,7.675060e-22
476.65,7.490860e-22
493.087,7.300190e-22
510.102,7.127060e-22
527.715,6.965020e-22
545.947,6.797290e-22
564.819,6.623660e-22
584.355,6.443930e-22
604.577,6.268420e-22
625.51,6.123980e-22
647.178,5.974470e-22
669.608,5.819700e-22
692.827,5.659500e-22
716.861,5.517270e-22
741.74,5.380430e-22
767.493,5.238790e-22
794.151,5.092170e-22
821.745,4.973020e-22
850.31,4.858760e-22
879.879,4.740490e-22
910.486,4.618060e-22
942.169,4.491320e-22
974.966,4.360140e-22
