# E + Kr -> E + E + Kr+, Ionization, Schwelle 13.996 eV | Biagi-v7.1 (Magboltz version 7.1), Biagi-v7.1 (Magboltz version 7.1), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.996,0.000000e+00
14,1.547620e-25
14.0311,5.438670e-23
14.0675,1.106850e-22
14.1052,1.689610e-22
14.1441,2.292850e-22
14.1845,2.917300e-22
14.2263,3.563690e-22
14.2695,4.232790e-22
14.3143,4.925400e-22
14.3606,5.642360e-22
14.4085,6.384510e-22
14.4582,7.152750e-22
14.5096,7.956810e-22
14.5627,8.829120e-22
14.6178,9.732090e-22
14.6748,1.066680e-21
14.7338,1.163430e-21
14.7949,1.263590e-21
14.8581,1.367260e-21
14.9235,1.474580e-21
14.9913,1.585670e-21
15.0614,1.716620e-21
15.134,1.854530e-21
15.2091,1.997280e-21
15.2869,2.145050e-21
15.3674,2.298010e-21
15.4507,2.456350e-21
15.537,2.626160e-21
15.6263,2.810110e-21
15.7187,3.000530e-21
15.8144,3.197630e-21
15.9134,3.401660e-21
16.016,3.614140e-21
16.1221,3.841250e-21
16.2319,4.076340e-21
16.3456,4.319700e-21
16.4634,4.571610e-21
16.5852,4.839190e-21
16.7113,5.119200e-21
16.8419,5.409060e-21
16.9771,5.709100e-21
17.117,6.012670e-21
17.2618,6.325480e-21
17.4117,6.649280e-21
17.5669,6.993830e-21
17.7275,7.363280e-21
17.8938,7.745710e-21
18.0659,8.131040e-21
18.2441,8.512320e-21
18.4285,8.907000e-21
18.6194,9.308380e-21
18.817,9.719430e-21
19.0216,1.014750e-20
19.2334,1.061340e-20
19.4525,1.109560e-20
19.6794,1.155890e-20
19.9143,1.202860e-20
20.1574,1.249910e-20
20.4091,1.297730e-20
20.6696,1.347230e-20
20.9393,1.398460e-20
21.2184,1.447130e-20
21.5074,1.496250e-20
21.8065,1.547100e-20
22.1161,1.600900e-20
22.4366,1.658590e-20
22.7684,1.718310e-20
23.1118,1.779010e-20
23.4673,1.839440e-20
23.8353,1.902000e-20
24.2162,1.963510e-20
24.6105,2.024630e-20
25.0186,2.087890e-20
25.4412,2.153380e-20
25.8785,2.221170e-20
26.3312,2.286370e-20
26.7998,2.351980e-20
27.2849,2.419890e-20
27.7871,2.490190e-20
28.3069,2.558360e-20
28.8449,2.625620e-20
29.4019,2.695240e-20
29.9784,2.767300e-20
30.5752,2.824650e-20
31.193,2.883340e-20
31.8325,2.944090e-20
32.4945,3.002030e-20
33.1797,3.060270e-20
33.889,3.120560e-20
34.6232,3.170510e-20
35.3832,3.219910e-20
36.17,3.271050e-20
36.9843,3.323980e-20
37.8273,3.378780e-20
38.7,3.425000e-20
39.6033,3.470160e-20
40.5383,3.509380e-20
41.5062,3.544220e-20
42.5081,3.580290e-20
43.5452,3.617630e-20
44.6188,3.656280e-20
45.7301,3.694820e-20
46.8804,3.733930e-20
48.0712,3.774420e-20
49.3038,3.816330e-20
50.5797,3.855070e-20
51.9005,3.889410e-20
53.2677,3.924960e-20
54.6829,3.961760e-20
56.1479,3.997550e-20
57.6644,4.033940e-20
59.2341,4.071620e-20
60.859,4.103740e-20
62.541,4.130660e-20
64.2821,4.158510e-20
66.0844,4.178680e-20
67.9501,4.193600e-20
69.8813,4.209050e-20
71.8804,4.219400e-20
73.9497,4.229750e-20
76.0917,4.240460e-20
78.3091,4.251550e-20
80.6043,4.258190e-20
82.9802,4.251060e-20
85.4396,4.243680e-20
87.9854,4.236040e-20
90.6207,4.228140e-20
93.3486,4.219950e-20
96.1724,4.211480e-20
99.0954,4.202710e-20
102.121,4.187270e-20
105.253,4.168480e-20
108.495,4.149030e-20
111.851,4.128890e-20
115.325,4.108050e-20
118.921,4.086470e-20
122.644,4.057530e-20
126.497,4.024770e-20
130.486,3.990870e-20
134.615,3.955780e-20
138.888,3.919450e-20
143.313,3.883500e-20
147.892,3.846860e-20
152.633,3.808940e-20
157.54,3.769680e-20
162.62,3.731660e-20
167.878,3.694860e-20
173.321,3.656760e-20
178.955,3.617320e-20
184.787,3.574100e-20
190.824,3.528820e-20
197.073,3.481950e-20
203.542,3.436620e-20
210.238,3.392430e-20
217.17,3.346680e-20
224.345,3.299320e-20
231.772,3.250300e-20
239.46,3.199560e-20
247.419,3.147040e-20
255.657,3.100580e-20
264.185,3.056240e-20
273.012,3.010340e-20
282.149,2.962820e-20
291.608,2.913640e-20
301.399,2.864260e-20
311.534,2.822710e-20
322.026,2.779700e-20
332.885,2.735170e-20
344.127,2.689080e-20
355.764,2.641370e-20
367.809,2.591980e-20
380.278,2.540860e-20
393.185,2.487940e-20
406.546,2.440360e-20
420.376,2.398870e-20
434.692,2.355920e-20
449.512,2.311460e-20
464.852,2.265440e-20
480.731,2.217810e-20
497.168,2.168490e-20
514.183,2.128800e-20
531.796,2.090050e-20
550.028,2.049940e-20
568.9,2.008420e-20
588.436,1.965440e-20
608.658,1.924420e-20
629.591,1.886740e-20
651.26,1.847730e-20
673.689,1.807360e-20
696.908,1.765570e-20
720.942,1.726490e-20
745.821,1.686690e-20
771.574,1.645480e-20
798.232,1.602830e-20
825.827,1.571590e-20
854.391,1.540170e-20
883.96,1.507640e-20
914.567,1.475430e-20
946.25,1.443750e-20
979.047,1.410950e-20
