# E + Kr <-> E + Kr(4d![5/2]2), Excitation, Schwelle 12.825 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.8253,0.000000e+00
12.8709,6.690300e-25
12.8845,1.961000e-24
12.8981,4.000100e-24
12.9117,6.651500e-24
12.9253,8.884100e-24
12.9661,1.302700e-23
12.9933,1.582300e-23
13.0614,1.202200e-23
13.075,1.328800e-23
13.0886,1.511200e-23
13.1294,1.674800e-23
13.1566,1.645200e-23
13.1702,1.678000e-23
13.1838,1.704600e-23
13.1974,1.743300e-23
13.2247,1.806200e-23
13.2383,1.836700e-23
13.2519,1.864900e-23
13.2655,1.891900e-23
13.2791,1.918300e-23
13.2927,1.943700e-23
13.3199,1.979300e-23
13.3335,1.986700e-23
13.3471,2.024800e-23
13.3607,2.117600e-23
13.3743,2.176300e-23
13.3879,2.222600e-23
13.4015,2.259500e-23
13.4151,2.276400e-23
13.4287,2.175400e-23
13.4695,2.551400e-23
13.4968,2.628400e-23
13.524,2.655600e-23
13.5512,2.737200e-23
13.5784,2.756200e-23
13.6056,2.529700e-23
13.7417,3.222500e-23
13.8777,3.748300e-23
14.0138,4.105200e-23
14.1498,4.320400e-23
14.2859,4.744800e-23
14.4219,5.259300e-23
14.558,5.832400e-23
14.6941,6.462000e-23
14.8301,7.294300e-23
14.9662,8.312000e-23
15.1022,9.425500e-23
15.2383,1.053900e-22
15.3743,1.166700e-22
15.5104,1.283400e-22
15.6464,1.401700e-22
15.7825,1.519100e-22
15.9186,1.625400e-22
16.0546,1.709100e-22
16.1907,1.824600e-22
16.3267,1.977800e-22
16.4628,2.140000e-22
16.5988,2.284100e-22
16.7349,2.385000e-22
16.871,2.457800e-22
17.007,2.502100e-22
17.1431,2.521300e-22
17.2791,2.603000e-22
17.4152,2.721700e-22
17.5512,2.831100e-22
17.6873,2.922400e-22
17.9594,3.111900e-22
19.0479,3.558800e-22
20.0002,3.829000e-22
20.4084,3.855700e-22
20.6805,3.839800e-22
21.0887,3.784500e-22
21.769,3.640200e-22
21.905,3.609300e-22
22.0411,3.569000e-22
22.1771,3.532500e-22
22.3132,3.495000e-22
23.1295,3.261700e-22
23.4016,3.184500e-22
24.4901,2.893300e-22
25.8507,2.513200e-22
26.1228,2.452100e-22
27.2112,2.225400e-22
28.5718,1.974700e-22
30.0004,1.745300e-22
32.6534,1.400700e-22
38.0957,8.900800e-23
43.5379,5.751500e-23
54.4224,2.726200e-23
68.028,1.271700e-23
81.6336,6.831400e-24
95.2392,4.085900e-24
108.845,2.650000e-24
122.45,1.834900e-24
136.056,1.325600e-24
149.662,9.918400e-25
