# E + Kr <-> E + Kr(4d[7/2]3), Excitation | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.1785,0.000000e+00
12.1906,3.636000e-23
12.2042,3.811600e-23
12.2178,3.947500e-23
12.2314,4.370400e-23
12.245,4.909400e-23
12.2586,5.604000e-23
12.2722,6.300700e-23
12.2859,6.841400e-23
12.2995,6.995300e-23
12.3131,6.554400e-23
12.3267,6.132600e-23
12.3403,6.720300e-23
12.3539,7.168000e-23
12.3675,7.062700e-23
12.3811,7.250200e-23
12.3947,7.352000e-23
12.4083,7.184900e-23
12.4219,7.017600e-23
12.4355,6.931400e-23
12.4491,6.907100e-23
12.4627,6.912800e-23
12.4763,6.932700e-23
12.4899,6.960600e-23
12.5036,6.991800e-23
12.5172,7.025200e-23
12.5308,7.064200e-23
12.5444,7.110400e-23
12.558,7.169200e-23
12.5716,7.244300e-23
12.5852,7.340300e-23
12.5988,7.468700e-23
12.6124,7.642000e-23
12.626,7.903400e-23
12.6396,8.324000e-23
12.6532,8.900500e-23
12.6668,8.199600e-23
12.6804,7.448400e-23
12.694,7.697400e-23
12.7076,8.138700e-23
12.7212,7.932900e-23
12.7348,8.109300e-23
12.7485,8.695400e-23
12.7621,9.190100e-23
12.7689,8.893500e-23
12.7757,9.008600e-23
12.7893,8.809700e-23
12.8029,8.438700e-23
12.8709,7.619800e-23
12.8845,7.379800e-23
12.8981,7.169700e-23
12.9117,7.262400e-23
12.9253,7.153300e-23
12.9661,7.105400e-23
12.9933,7.337400e-23
13.0614,7.907500e-23
13.075,8.052600e-23
13.0886,8.314200e-23
13.1294,8.191500e-23
13.1566,8.547600e-23
13.1702,8.563300e-23
13.1838,8.455900e-23
13.1974,8.576400e-23
13.2247,8.571600e-23
13.2383,8.579200e-23
13.2519,8.590100e-23
13.2655,8.591700e-23
13.2791,8.601700e-23
13.2927,8.598600e-23
13.3199,8.586200e-23
13.3335,8.570100e-23
13.3471,8.581400e-23
13.3607,8.639300e-23
13.3743,8.622900e-23
13.3879,8.573300e-23
13.4015,8.519900e-23
13.4151,8.493500e-23
13.4287,8.465900e-23
13.4695,8.409300e-23
13.4968,8.485400e-23
13.524,8.595900e-23
13.5512,8.766800e-23
13.5784,8.628100e-23
13.6056,8.638900e-23
13.7417,8.604100e-23
13.8777,8.937900e-23
14.0138,9.758800e-23
14.1498,1.077800e-22
14.2859,1.199200e-22
14.4219,1.348700e-22
14.558,1.516500e-22
14.6941,1.702600e-22
14.8301,1.882200e-22
14.9662,2.043300e-22
15.1022,2.203600e-22
15.2383,2.369000e-22
15.3743,2.529200e-22
15.5104,2.685700e-22
15.6464,2.830900e-22
15.7825,2.957900e-22
15.9186,3.078600e-22
16.0546,3.241900e-22
16.1907,3.416500e-22
16.3267,3.552800e-22
16.4628,3.667900e-22
16.5988,3.760200e-22
16.7349,3.827700e-22
16.871,3.889800e-22
17.007,3.927100e-22
17.1431,3.890300e-22
17.2791,3.921500e-22
17.4152,4.033100e-22
17.5512,4.104100e-22
17.6873,4.168700e-22
17.9594,4.355100e-22
19.0479,4.661500e-22
20.0002,4.671400e-22
20.4084,4.627300e-22
20.6805,4.586300e-22
21.0887,4.502800e-22
21.769,4.333800e-22
21.905,4.299100e-22
22.0411,4.261900e-22
22.1771,4.226000e-22
22.3132,4.189700e-22
23.1295,3.971200e-22
23.4016,3.898600e-22
24.4901,3.616900e-22
25.8507,3.331100e-22
26.1228,3.280700e-22
27.2112,3.070900e-22
28.5718,2.841600e-22
30.0004,2.629600e-22
32.6534,2.310000e-22
38.0957,1.828200e-22
43.5379,1.522000e-22
54.4224,1.213000e-22
68.028,1.009600e-22
81.6336,8.782900e-23
95.2392,7.808600e-23
108.845,7.041800e-23
122.45,6.417400e-23
136.056,5.895600e-23
149.662,5.454500e-23
