# E + Kr <-> E + Kr(4f[3/2]2), Excitation | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.138,0.000000e+00
13.1566,2.270300e-24
13.1702,3.020700e-24
13.1838,3.771900e-24
13.1974,4.432100e-24
13.2247,5.820800e-24
13.2383,6.510300e-24
13.2519,7.191900e-24
13.2655,7.818400e-24
13.2791,8.448200e-24
13.2927,9.076400e-24
13.3199,1.029300e-23
13.3335,1.087900e-23
13.3471,1.157600e-23
13.3607,1.276800e-23
13.3743,1.360200e-23
13.3879,1.411900e-23
13.4015,1.453200e-23
13.4151,1.485200e-23
13.4287,1.551800e-23
13.4695,1.755400e-23
13.4968,1.982400e-23
13.524,2.106200e-23
13.5512,2.267900e-23
13.5784,2.353500e-23
13.6056,2.535000e-23
13.7417,2.829500e-23
13.8777,3.416200e-23
14.0138,4.067500e-23
14.1498,4.716800e-23
14.2859,5.261400e-23
14.4219,5.695100e-23
14.558,6.064900e-23
14.6941,6.513100e-23
14.8301,7.001200e-23
14.9662,7.388300e-23
15.1022,7.640900e-23
15.2383,7.788000e-23
15.3743,7.867700e-23
15.5104,8.028100e-23
15.6464,8.293700e-23
15.7825,8.329200e-23
15.9186,8.133900e-23
16.0546,7.705200e-23
16.1907,7.240600e-23
16.3267,6.908100e-23
16.4628,6.756500e-23
16.5988,6.774000e-23
16.7349,6.711300e-23
16.871,6.433800e-23
17.007,6.314400e-23
17.1431,6.228700e-23
17.2791,6.098800e-23
17.4152,6.004200e-23
17.5512,5.946500e-23
17.6873,5.889700e-23
17.9594,6.038500e-23
19.0479,5.094000e-23
20.0002,4.302000e-23
20.4084,3.998400e-23
20.6805,3.801000e-23
21.0887,3.537100e-23
21.769,3.193600e-23
21.905,3.128500e-23
22.0411,3.065900e-23
22.1771,3.005500e-23
22.3132,2.948900e-23
23.1295,2.644300e-23
23.4016,2.554100e-23
24.4901,2.259100e-23
25.8507,1.946700e-23
26.1228,1.901000e-23
27.2112,1.754000e-23
28.5718,1.598400e-23
30.0004,1.463900e-23
32.6534,1.285000e-23
38.0957,1.024700e-23
43.5379,8.927700e-24
54.4224,7.248400e-24
68.028,5.999300e-24
81.6336,5.149800e-24
95.2392,4.529300e-24
108.845,4.053100e-24
122.45,3.691400e-24
136.056,3.403600e-24
149.662,3.177600e-24
