# E + Kr <-> E + Kr(4f![7/2]4), Excitation, Schwelle 13.809 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.8091,0.000000e+00
13.8777,4.260800e-24
14.0138,7.027700e-24
14.1498,1.357300e-23
14.2859,2.153800e-23
14.4219,3.238500e-23
14.558,4.625900e-23
14.6941,5.980400e-23
14.8301,6.650900e-23
14.9662,6.861100e-23
15.1022,7.181200e-23
15.2383,7.666100e-23
15.3743,8.313200e-23
15.5104,9.072900e-23
15.6464,9.439000e-23
15.7825,9.432100e-23
15.9186,9.438100e-23
16.0546,9.242700e-23
16.1907,8.726300e-23
16.3267,8.325700e-23
16.4628,8.247600e-23
16.5988,8.398700e-23
16.7349,8.198900e-23
16.871,7.423300e-23
17.007,6.572800e-23
17.1431,5.817200e-23
17.2791,5.479100e-23
17.4152,5.235300e-23
17.5512,5.060700e-23
17.6873,4.939400e-23
17.9594,8.938800e-23
19.0479,5.714100e-23
20.0002,4.197500e-23
20.4084,3.788300e-23
20.6805,3.559200e-23
21.0887,3.257600e-23
21.769,2.817400e-23
21.905,2.749700e-23
22.0411,2.664100e-23
22.1771,2.594700e-23
22.3132,2.525500e-23
23.1295,2.188600e-23
23.4016,2.093800e-23
24.4901,1.797400e-23
25.8507,1.567800e-23
26.1228,1.529800e-23
27.2112,1.396900e-23
28.5718,1.275200e-23
30.0004,1.178900e-23
32.6534,1.049100e-23
38.0957,8.787900e-24
43.5379,7.688600e-24
54.4224,6.357000e-24
68.028,5.345800e-24
81.6336,4.635100e-24
95.2392,4.088800e-24
108.845,3.655100e-24
122.45,3.306700e-24
136.056,3.026800e-24
149.662,2.799700e-24
