# E + Kr <-> E + Kr(4f[9/2]5), Excitation, Schwelle 13.141 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.1409,0.000000e+00
13.1566,7.280100e-26
13.1702,1.145500e-25
13.1838,1.586100e-25
13.1974,2.011300e-25
13.2247,2.877400e-25
13.2383,3.326100e-25
13.2519,3.794800e-25
13.2655,4.302800e-25
13.2791,4.842200e-25
13.2927,5.410500e-25
13.3199,6.840200e-25
13.3335,7.987200e-25
13.3471,1.063100e-24
13.3607,1.675200e-24
13.3743,1.790900e-24
13.3879,1.676500e-24
13.4015,1.676000e-24
13.4151,1.755000e-24
13.4287,1.869500e-24
13.4695,3.487300e-24
13.4968,3.125400e-24
13.524,3.338700e-24
13.5512,3.629400e-24
13.5784,3.717200e-24
13.6056,4.125200e-24
13.7417,8.515900e-24
13.8777,1.079300e-23
14.0138,1.400800e-23
14.1498,1.774200e-23
14.2859,2.182800e-23
14.4219,2.585700e-23
14.558,2.987000e-23
14.6941,3.279600e-23
14.8301,3.448300e-23
14.9662,3.665200e-23
15.1022,4.017800e-23
15.2383,4.455300e-23
15.3743,4.918100e-23
15.5104,5.359200e-23
15.6464,5.845700e-23
15.7825,6.304500e-23
15.9186,6.662200e-23
16.0546,7.033700e-23
16.1907,7.380400e-23
16.3267,7.641000e-23
16.4628,7.829600e-23
16.5988,7.988500e-23
16.7349,8.104900e-23
16.871,8.156600e-23
17.007,8.063100e-23
17.1431,7.947800e-23
17.2791,7.972000e-23
17.4152,7.809700e-23
17.5512,7.867400e-23
17.6873,7.753500e-23
17.9594,7.296200e-23
19.0479,5.417100e-23
20.0002,4.120600e-23
20.4084,3.723900e-23
20.6805,3.453900e-23
21.0887,3.029600e-23
21.769,2.530300e-23
21.905,2.443600e-23
22.0411,2.369200e-23
22.1771,2.287500e-23
22.3132,2.209400e-23
23.1295,1.792900e-23
23.4016,1.671900e-23
24.4901,1.277900e-23
25.8507,9.541200e-24
26.1228,8.802100e-24
27.2112,6.834700e-24
28.5718,5.142000e-24
30.0004,3.884100e-24
32.6534,2.436300e-24
38.0957,1.082900e-24
43.5379,5.426000e-25
54.4224,1.790300e-25
68.028,6.195400e-26
81.6336,2.728400e-26
95.2392,1.356700e-26
108.845,7.952800e-27
122.45,4.833100e-27
136.056,3.370500e-27
149.662,2.224500e-27
