# E + Kr <-> E + Kr(4p(5)5s(1)_1P1, 1s2), Excitation | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
10.6436,0.000000e+00
10.6464,3.673700e-23
10.6532,1.320900e-22
10.6668,4.247600e-22
10.6804,3.251800e-22
10.694,2.453200e-22
10.7076,2.089400e-22
10.7212,1.912300e-22
10.7484,1.743500e-22
10.8165,1.663800e-22
10.8845,1.698900e-22
10.9525,1.812000e-22
11.0205,1.980700e-22
11.0886,2.195500e-22
11.1566,2.445800e-22
11.2246,2.715500e-22
11.2382,2.789900e-22
11.2518,2.891800e-22
11.2627,3.354500e-22
11.2654,3.814000e-22
11.2682,4.803800e-22
11.2709,6.467700e-22
11.2722,7.043700e-22
11.2736,6.959700e-22
11.275,6.493600e-22
11.2763,5.865500e-22
11.279,4.897700e-22
11.2818,4.360700e-22
11.2845,4.078100e-22
11.2872,3.936000e-22
11.2927,3.909700e-22
11.2954,4.020700e-22
11.2981,4.239400e-22
11.3008,4.533000e-22
11.3063,3.869400e-22
11.309,3.482600e-22
11.3131,3.283000e-22
11.3335,3.184300e-22
11.3675,3.368000e-22
11.3811,3.576800e-22
11.3879,3.843000e-22
11.3947,4.154700e-22
11.4015,4.403400e-22
11.4151,4.503100e-22
11.4287,4.366200e-22
11.4559,4.263100e-22
11.4831,4.479700e-22
11.5103,4.700200e-22
11.5376,5.090500e-22
11.5648,5.288300e-22
11.592,5.406400e-22
11.6192,5.583500e-22
11.626,5.611600e-22
11.6328,5.565400e-22
11.6396,5.350400e-22
11.6437,5.214700e-22
11.6464,5.176600e-22
11.6491,5.180700e-22
11.6532,5.232600e-22
11.66,5.352200e-22
11.6654,5.463400e-22
11.6736,5.524100e-22
11.6872,5.576100e-22
11.7144,5.660200e-22
11.7416,5.736100e-22
11.762,5.786600e-22
11.7825,5.831000e-22
11.8097,5.877500e-22
11.8369,5.907400e-22
11.8641,5.914900e-22
11.8913,5.891000e-22
11.9185,5.829800e-22
11.9457,5.687200e-22
11.9729,5.445400e-22
11.9797,5.360400e-22
11.9865,5.183700e-22
11.9933,5.038300e-22
12.0001,4.809700e-22
12.0069,4.671600e-22
12.0137,5.387800e-22
12.0165,5.964100e-22
12.0206,6.523000e-22
12.0274,6.552800e-22
12.041,6.078900e-22
12.0546,5.772600e-22
12.0682,5.479600e-22
12.0818,5.143400e-22
12.0954,4.662200e-22
12.109,4.276100e-22
12.1498,3.665700e-22
12.1634,3.800200e-22
12.177,4.014000e-22
12.1906,4.288400e-22
12.2042,4.498900e-22
12.2859,5.242400e-22
12.3403,5.487800e-22
12.3947,5.765900e-22
12.4491,5.972700e-22
12.5036,6.135400e-22
12.558,6.269900e-22
12.6124,6.367100e-22
12.6668,6.453900e-22
12.7212,6.531500e-22
12.7348,6.552900e-22
12.7485,6.472700e-22
12.7621,6.321000e-22
12.7689,6.272500e-22
12.7757,6.221000e-22
12.7893,6.160800e-22
12.8029,6.327500e-22
12.8709,6.388000e-22
12.8845,6.500200e-22
12.8981,6.792600e-22
12.9117,6.948600e-22
12.9253,6.973400e-22
12.9661,6.992300e-22
12.9934,6.881100e-22
13.0614,6.758600e-22
13.075,6.710200e-22
13.0886,6.737200e-22
13.1294,6.860600e-22
13.1702,6.983400e-22
13.1974,7.061300e-22
13.2383,7.182500e-22
13.2655,7.264300e-22
13.2927,7.348300e-22
13.3335,7.485700e-22
13.3607,7.544700e-22
13.3879,7.647400e-22
13.4015,7.683200e-22
13.4151,7.674600e-22
13.4287,7.540100e-22
13.4695,7.436300e-22
13.4968,7.446300e-22
13.5512,7.515800e-22
13.6056,7.584400e-22
13.8777,7.869100e-22
14.1498,8.184400e-22
14.4219,8.285500e-22
14.6941,8.275400e-22
14.9662,8.349100e-22
15.2383,8.577200e-22
15.5104,8.969400e-22
15.7825,9.502400e-22
16.0546,1.007700e-21
16.3267,1.067100e-21
16.5988,1.126100e-21
17.9594,1.432400e-21
19.0478,1.625700e-21
20.0002,1.725200e-21
20.4084,1.751700e-21
21.0887,1.785300e-21
21.769,1.805700e-21
22.3132,1.821100e-21
23.1295,1.848500e-21
23.4016,1.858500e-21
24.4901,1.902800e-21
25.8506,1.956500e-21
26.1228,1.969100e-21
27.2112,2.016700e-21
28.5718,2.070800e-21
30.0004,2.120100e-21
32.6535,2.191600e-21
35.3746,2.244700e-21
38.0957,2.268900e-21
40.8168,2.282800e-21
43.5379,2.291800e-21
46.2591,2.291700e-21
50.0006,2.283600e-21
54.4224,2.265900e-21
68.028,2.182400e-21
81.6336,2.080800e-21
95.2392,1.977800e-21
108.845,1.880200e-21
122.45,1.790900e-21
136.056,1.710400e-21
149.662,1.638100e-21
163.267,1.577500e-21
176.873,1.504900e-21
190.478,1.440300e-21
204.084,1.387100e-21
217.69,1.335900e-21
231.295,1.291800e-21
244.901,1.245200e-21
258.507,1.210000e-21
272.112,1.180100e-21
285.718,1.151300e-21
299.323,1.122900e-21
312.929,1.095600e-21
326.534,1.070600e-21
