# E + Kr <-> E + Kr(5d[7/2]4), Excitation, Schwelle 12.973 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.9725,0.000000e+00
12.9933,1.358700e-23
13.0614,1.837200e-23
13.075,1.830900e-23
13.0886,1.862300e-23
13.1294,2.230900e-23
13.1566,2.152800e-23
13.1702,2.193500e-23
13.1838,2.252800e-23
13.1974,2.307200e-23
13.2247,2.444100e-23
13.2383,2.522500e-23
13.2519,2.595600e-23
13.2655,2.684600e-23
13.2791,2.768900e-23
13.2927,2.845500e-23
13.3199,2.997400e-23
13.3335,3.048000e-23
13.3471,3.076600e-23
13.3607,3.164200e-23
13.3743,3.413300e-23
13.3879,3.568100e-23
13.4015,3.672200e-23
13.4151,3.768500e-23
13.4287,3.894600e-23
13.4695,4.043900e-23
13.4968,4.239900e-23
13.524,4.622000e-23
13.5512,5.086000e-23
13.5784,5.235900e-23
13.6056,5.548000e-23
13.7417,6.691800e-23
13.8777,7.798000e-23
14.0138,8.861800e-23
14.1498,9.828000e-23
14.2859,1.067000e-22
14.4219,1.146000e-22
14.558,1.225000e-22
14.6941,1.307200e-22
14.8301,1.394700e-22
14.9662,1.484000e-22
15.1022,1.572600e-22
15.2383,1.663100e-22
15.3743,1.752300e-22
15.5104,1.836000e-22
15.6464,1.906300e-22
15.7825,1.976100e-22
15.9186,2.065300e-22
16.0546,2.184000e-22
16.1907,2.325900e-22
16.3267,2.461600e-22
16.4628,2.574700e-22
16.5988,2.677100e-22
16.7349,2.788700e-22
16.871,2.901300e-22
17.007,3.011100e-22
17.1431,3.227900e-22
17.2791,3.470900e-22
17.4152,3.606000e-22
17.5512,3.691300e-22
17.6873,3.774900e-22
17.9594,3.724600e-22
19.0479,4.154800e-22
20.0002,4.254200e-22
20.4084,4.228400e-22
20.6805,4.186500e-22
21.0887,4.084100e-22
21.769,3.890900e-22
21.905,3.851200e-22
22.0411,3.813500e-22
22.1771,3.773200e-22
22.3132,3.733100e-22
23.1295,3.480100e-22
23.4016,3.396800e-22
24.4901,3.072500e-22
25.8507,2.725100e-22
26.1228,2.642000e-22
27.2112,2.376000e-22
28.5718,2.093700e-22
30.0004,1.838000e-22
32.6534,1.448300e-22
38.0957,9.156100e-23
43.5379,6.002900e-23
54.4224,2.829100e-23
68.028,1.303500e-23
81.6336,6.865000e-24
95.2392,4.016500e-24
108.845,2.555300e-24
122.45,1.724100e-24
136.056,1.222500e-24
149.662,8.916800e-25
