# E + Kr <-> E + Kr(6p[5/2]2), Excitation | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.7854,0.000000e+00
12.7893,4.459400e-23
12.8029,4.518000e-23
12.8709,5.622900e-23
12.8845,5.412300e-23
12.8981,5.322600e-23
12.9117,5.411600e-23
12.9253,5.429500e-23
12.9661,5.610500e-23
12.9933,5.753000e-23
13.0614,5.374900e-23
13.075,5.265500e-23
13.0886,5.172000e-23
13.1294,4.767400e-23
13.1566,5.867100e-23
13.1702,5.995300e-23
13.1838,6.123800e-23
13.1974,6.245900e-23
13.2247,6.461400e-23
13.2383,6.558600e-23
13.2519,6.609100e-23
13.2655,6.731400e-23
13.2791,6.805700e-23
13.2927,6.862100e-23
13.3199,6.889700e-23
13.3335,6.812100e-23
13.3471,6.788400e-23
13.3607,7.250300e-23
13.3743,7.841800e-23
13.3879,8.035300e-23
13.4015,8.067500e-23
13.4151,8.002300e-23
13.4287,7.872800e-23
13.4695,8.164600e-23
13.4968,8.317900e-23
13.524,8.537200e-23
13.5512,8.835900e-23
13.5784,9.103100e-23
13.6056,9.378300e-23
13.7417,9.893600e-23
13.8777,1.090900e-22
14.0138,1.194900e-22
14.1498,1.305700e-22
14.2859,1.432600e-22
14.4219,1.559400e-22
14.558,1.673800e-22
14.6941,1.789100e-22
14.8301,1.892900e-22
14.9662,1.998900e-22
15.1022,2.099500e-22
15.2383,2.194400e-22
15.3743,2.283600e-22
15.5104,2.358500e-22
15.6464,2.425800e-22
15.7825,2.501700e-22
15.9186,2.573200e-22
16.0546,2.635200e-22
16.1907,2.678900e-22
16.3267,2.707600e-22
16.4628,2.730600e-22
16.5988,2.751600e-22
16.7349,2.779300e-22
16.871,2.819600e-22
17.007,2.863000e-22
17.1431,2.883600e-22
17.2791,2.887300e-22
17.4152,2.919000e-22
17.5512,2.920200e-22
17.6873,2.942000e-22
17.9594,3.084600e-22
19.0479,3.114600e-22
20.0002,3.057000e-22
20.4084,3.002800e-22
20.6805,2.967400e-22
21.0887,2.907100e-22
21.769,2.791500e-22
21.905,2.764600e-22
22.0411,2.743200e-22
22.1771,2.718600e-22
22.3132,2.694100e-22
23.1295,2.556000e-22
23.4016,2.513100e-22
24.4901,2.357100e-22
25.8507,2.189800e-22
26.1228,2.173100e-22
27.2112,2.065800e-22
28.5718,1.945600e-22
30.0004,1.831900e-22
32.6534,1.652300e-22
38.0957,1.378100e-22
43.5379,1.186100e-22
54.4224,9.369400e-23
68.028,7.453000e-23
81.6336,6.189400e-23
95.2392,5.299500e-23
108.845,4.640200e-23
122.45,4.130100e-23
136.056,3.723300e-23
149.662,3.391500e-23
