# E + Kr <-> E + Kr(6s![1/2]0), Excitation, Schwelle 13.03 eV | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.0297,0.000000e+00
13.0614,5.918900e-24
13.075,7.809100e-24
13.0886,8.987600e-24
13.1294,1.048000e-23
13.1566,1.087700e-23
13.1702,1.120600e-23
13.1838,1.159500e-23
13.1974,1.198000e-23
13.2247,1.274600e-23
13.2383,1.311000e-23
13.2519,1.352300e-23
13.2655,1.380400e-23
13.2791,1.412200e-23
13.2927,1.437800e-23
13.3199,1.476600e-23
13.3335,1.488200e-23
13.3471,1.526700e-23
13.3607,1.631400e-23
13.3743,1.618200e-23
13.3879,1.505800e-23
13.4015,1.334100e-23
13.4151,1.115200e-23
13.4287,9.011400e-24
13.4695,1.473300e-23
13.4968,1.594100e-23
13.524,1.576800e-23
13.5512,1.513400e-23
13.5784,1.418300e-23
13.6056,1.369000e-23
13.7417,1.244300e-23
13.8777,1.337600e-23
14.0138,1.318800e-23
14.1498,1.255000e-23
14.2859,1.224500e-23
14.4219,1.244400e-23
14.558,1.271900e-23
14.6941,1.280800e-23
14.8301,1.294600e-23
14.9662,1.338100e-23
15.1022,1.390700e-23
15.2383,1.445400e-23
15.3743,1.503600e-23
15.5104,1.540300e-23
15.6464,1.577300e-23
15.7825,1.657600e-23
15.9186,1.688900e-23
16.0546,1.668900e-23
16.1907,1.775900e-23
16.3267,1.972500e-23
16.4628,2.177800e-23
16.5988,2.398900e-23
16.7349,2.523000e-23
16.871,2.587400e-23
17.007,2.664400e-23
17.1431,2.760800e-23
17.2791,2.811500e-23
17.4152,2.897500e-23
17.5512,2.955200e-23
17.6873,3.029200e-23
17.9594,2.852900e-23
19.0479,2.926700e-23
20.0002,2.655600e-23
20.4084,2.585500e-23
20.6805,2.578900e-23
21.0887,2.478900e-23
21.769,2.340400e-23
21.905,2.267400e-23
22.0411,2.312100e-23
22.1771,2.281600e-23
22.3132,2.258200e-23
23.1295,2.114100e-23
23.4016,2.068500e-23
24.4901,1.894400e-23
25.8507,1.772300e-23
26.1228,1.732500e-23
27.2112,1.608600e-23
28.5718,1.479900e-23
30.0004,1.361100e-23
32.6534,1.156300e-23
38.0957,7.347900e-24
43.5379,5.434200e-24
54.4224,2.821900e-24
68.028,1.456900e-24
81.6336,8.152600e-25
95.2392,4.784500e-25
108.845,2.927100e-25
122.45,1.889300e-25
136.056,1.280600e-25
149.662,8.972600e-26
