# E + Kr <-> E + Kr(6s[3/2]1), Excitation | BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.3853,0.000000e+00
12.3947,3.243300e-23
12.4083,4.539300e-23
12.4219,5.749300e-23
12.4355,6.664300e-23
12.4491,7.280900e-23
12.4627,7.699200e-23
12.4763,8.005000e-23
12.4899,8.250000e-23
12.5036,8.457600e-23
12.5172,8.643600e-23
12.5308,8.814400e-23
12.5444,8.971900e-23
12.558,9.119600e-23
12.5716,9.257700e-23
12.5852,9.379200e-23
12.5988,9.485300e-23
12.6124,9.559400e-23
12.626,9.589200e-23
12.6396,9.498600e-23
12.6532,9.054300e-23
12.6668,8.385400e-23
12.6804,8.615700e-23
12.694,8.523300e-23
12.7076,8.492700e-23
12.7212,8.808800e-23
12.7348,7.932200e-23
12.7485,8.421200e-23
12.7621,1.047400e-22
12.7689,1.154400e-22
12.7757,1.344800e-22
12.7893,1.304300e-22
12.8029,1.381000e-22
12.8709,1.070100e-22
12.8845,1.111000e-22
12.8981,1.124100e-22
12.9117,1.008300e-22
12.9253,9.660200e-23
12.9661,9.305600e-23
12.9933,9.469800e-23
13.0614,1.149800e-22
13.075,1.174700e-22
13.0886,1.258400e-22
13.1294,1.196400e-22
13.1566,1.276000e-22
13.1702,1.273900e-22
13.1838,1.261900e-22
13.1974,1.271100e-22
13.2247,1.266600e-22
13.2383,1.263000e-22
13.2519,1.260400e-22
13.2655,1.252600e-22
13.2791,1.248000e-22
13.2927,1.240500e-22
13.3199,1.228200e-22
13.3335,1.225500e-22
13.3471,1.225700e-22
13.3607,1.202500e-22
13.3743,1.172100e-22
13.3879,1.161900e-22
13.4015,1.164500e-22
13.4151,1.180700e-22
13.4287,1.207100e-22
13.4695,1.183200e-22
13.4968,1.181300e-22
13.524,1.173100e-22
13.5512,1.163800e-22
13.5784,1.158400e-22
13.6056,1.130200e-22
13.7417,1.171000e-22
13.8777,1.200500e-22
14.0138,1.292900e-22
14.1498,1.448100e-22
14.2859,1.665100e-22
14.4219,1.930900e-22
14.558,2.214200e-22
14.6941,2.500400e-22
14.8301,2.813700e-22
14.9662,3.184700e-22
15.1022,3.603000e-22
15.2383,4.056600e-22
15.3743,4.532000e-22
15.5104,5.010200e-22
15.6464,5.502900e-22
15.7825,6.001300e-22
15.9186,6.498800e-22
16.0546,7.004900e-22
16.1907,7.522700e-22
16.3267,8.015500e-22
16.4628,8.459900e-22
16.5988,8.884000e-22
16.7349,9.359200e-22
16.871,9.889300e-22
17.007,1.040100e-21
17.1431,1.086100e-21
17.2791,1.128900e-21
17.4152,1.150500e-21
17.5512,1.197700e-21
17.6873,1.224900e-21
17.9594,1.341300e-21
19.0479,1.471500e-21
20.0002,1.494900e-21
20.4084,1.491400e-21
20.6805,1.486100e-21
21.0887,1.479700e-21
21.769,1.474700e-21
21.905,1.475000e-21
22.0411,1.473400e-21
22.1771,1.473400e-21
22.3132,1.473500e-21
23.1295,1.479000e-21
23.4016,1.482500e-21
24.4901,1.502000e-21
25.8507,1.537700e-21
26.1228,1.545000e-21
27.2112,1.571900e-21
28.5718,1.604100e-21
30.0004,1.633800e-21
32.6534,1.675400e-21
38.0957,1.715300e-21
43.5379,1.714900e-21
54.4224,1.666000e-21
68.028,1.579400e-21
81.6336,1.491200e-21
95.2392,1.407900e-21
108.845,1.331400e-21
122.45,1.261600e-21
136.056,1.198000e-21
149.662,1.140300e-21
