# E + Kr -> E + Kr, Elastic | Morgan (Kinema Research & Software), Morgan (Kinema Research & Software), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0,1.420000e-19
0.05,1.420000e-19
0.1,7.470000e-20
0.3,9.300000e-21
0.5,1.330000e-21
0.6,1.160000e-21
0.7,2.040000e-21
0.8,3.440000e-21
0.9,5.250000e-21
1,7.100000e-21
1.2,1.130000e-20
1.5,1.870000e-20
2,3.350000e-20
3,6.420000e-20
4,1.010000e-19
5,1.290000e-19
6,1.490000e-19
8,1.690000e-19
10,1.690000e-19
12,1.380000e-19
15,9.740000e-20
20,6.180000e-20
