# E + Kr -> E + Kr(2s2), Excitation, Schwelle 13.036 eV | NGFSRDW database, NGFSRDW database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
13.036,0.000000e+00
30,3.120000e-22
35,3.040000e-22
40,2.980000e-22
45,2.910000e-22
50,2.840000e-22
60,2.660000e-22
70,2.490000e-22
80,2.340000e-22
90,2.200000e-22
110,2.010000e-22
120,1.920000e-22
130,1.840000e-22
140,1.770000e-22
150,1.700000e-22
160,1.630000e-22
170,1.580000e-22
180,1.520000e-22
190,1.470000e-22
210,1.380000e-22
220,1.340000e-22
230,1.300000e-22
240,1.270000e-22
250,1.240000e-22
260,1.200000e-22
270,1.170000e-22
280,1.150000e-22
290,1.120000e-22
310,1.070000e-22
320,1.050000e-22
330,1.030000e-22
340,1.000000e-22
350,9.850000e-23
360,9.660000e-23
370,9.480000e-23
380,9.300000e-23
390,9.140000e-23
400,8.970000e-23
410,8.820000e-23
420,8.670000e-23
430,8.530000e-23
440,8.390000e-23
450,8.260000e-23
460,8.130000e-23
470,8.000000e-23
480,7.880000e-23
490,7.770000e-23
500,7.650000e-23
510,7.550000e-23
520,7.440000e-23
530,7.340000e-23
540,7.240000e-23
550,7.140000e-23
560,7.050000e-23
570,6.960000e-23
580,6.870000e-23
590,6.790000e-23
600,6.700000e-23
610,6.620000e-23
620,6.540000e-23
630,6.470000e-23
640,6.390000e-23
650,6.320000e-23
660,6.250000e-23
670,6.180000e-23
680,6.110000e-23
690,6.040000e-23
700,5.980000e-23
710,5.920000e-23
720,5.850000e-23
730,5.790000e-23
740,5.740000e-23
750,5.680000e-23
760,5.620000e-23
770,5.570000e-23
780,5.510000e-23
790,5.460000e-23
800,5.410000e-23
810,5.360000e-23
820,5.310000e-23
830,5.260000e-23
840,5.210000e-23
850,5.170000e-23
860,5.120000e-23
870,5.080000e-23
880,5.030000e-23
890,4.990000e-23
900,4.950000e-23
910,4.910000e-23
920,4.870000e-23
930,4.830000e-23
940,4.790000e-23
950,4.750000e-23
960,4.710000e-23
970,4.670000e-23
980,4.640000e-23
990,4.600000e-23
1000,4.560000e-23
