# E + Kr -> E + Kr(3d4), Excitation, Schwelle 12.803 eV | NGFSRDW database, NGFSRDW database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.803,0.000000e+00
20,6.580000e-22
25,3.140000e-22
30,1.520000e-22
35,1.030000e-22
40,6.970000e-23
45,4.740000e-23
50,3.260000e-23
60,2.050000e-23
61.14,1.940000e-23
62.1,1.860000e-23
63.1,1.780000e-23
64.08,1.710000e-23
70,1.300000e-23
80,8.190000e-24
90,5.270000e-24
110,2.610000e-24
120,1.980000e-24
130,1.540000e-24
140,1.220000e-24
150,9.780000e-25
160,7.980000e-25
170,6.590000e-25
180,5.500000e-25
190,4.630000e-25
210,3.380000e-25
220,2.920000e-25
230,2.530000e-25
240,2.210000e-25
250,1.950000e-25
260,1.720000e-25
270,1.530000e-25
280,1.360000e-25
290,1.220000e-25
310,9.860000e-26
320,8.920000e-26
330,8.090000e-26
340,7.360000e-26
350,6.720000e-26
360,6.150000e-26
370,5.640000e-26
380,5.180000e-26
390,4.770000e-26
400,4.410000e-26
410,4.070000e-26
420,3.780000e-26
430,3.500000e-26
440,3.260000e-26
450,3.040000e-26
460,2.830000e-26
470,2.650000e-26
480,2.480000e-26
490,2.320000e-26
500,2.180000e-26
510,2.040000e-26
520,1.920000e-26
530,1.810000e-26
540,1.710000e-26
550,1.610000e-26
560,1.520000e-26
570,1.440000e-26
580,1.360000e-26
590,1.290000e-26
600,1.220000e-26
610,1.160000e-26
620,1.100000e-26
630,1.050000e-26
640,9.970000e-27
650,9.490000e-27
660,9.050000e-27
670,8.630000e-27
680,8.230000e-27
690,7.860000e-27
700,7.510000e-27
710,7.180000e-27
720,6.870000e-27
730,6.580000e-27
740,6.300000e-27
750,6.040000e-27
760,5.790000e-27
770,5.560000e-27
780,5.340000e-27
790,5.120000e-27
800,4.920000e-27
810,4.740000e-27
820,4.560000e-27
830,4.380000e-27
840,4.220000e-27
850,4.070000e-27
860,3.920000e-27
870,3.780000e-27
880,3.640000e-27
890,3.520000e-27
900,3.390000e-27
910,3.280000e-27
920,3.170000e-27
930,3.060000e-27
940,2.960000e-27
950,2.860000e-27
960,2.770000e-27
970,2.680000e-27
980,2.590000e-27
990,2.510000e-27
1000,2.430000e-27
