# E + Kr -> E + Kr(3p10), Excitation, Schwelle 12.756 eV | NGFSRDW database, NGFSRDW database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.756,0.000000e+00
13.5,6.730000e-22
14.5,5.220000e-22
15,4.420000e-22
18,1.800000e-22
20,1.110000e-22
25,4.400000e-23
30,2.380000e-23
40,1.160000e-23
50,6.720000e-24
60,3.950000e-24
70,2.390000e-24
80,1.510000e-24
90,1.010000e-24
100,7.140000e-25
200,8.860000e-26
300,2.730000e-26
400,1.180000e-26
500,6.120000e-27
700,2.200000e-27
1000,7.240000e-28
