# E + Kr -> E + Kr(b10.033eV), Excitation, Schwelle 10.033 eV | SIGLO database, SIGLO database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
10.033,0.000000e+00
11.1339,1.249130e-22
11.4896,2.002740e-22
11.8418,2.593100e-22
11.9315,3.283430e-22
12.4843,4.395930e-22
13.0626,5.691750e-22
13.7887,6.969890e-22
14.5368,8.825400e-22
15.2103,1.080720e-21
16.4235,1.323410e-21
17.5779,1.602620e-21
18.6955,1.876900e-21
19.8592,2.075040e-21
20.7793,2.243510e-21
23.4761,2.319830e-21
27.5429,2.268660e-21
31.8302,2.268660e-21
36.7848,2.268660e-21
43.4842,2.243510e-21
51.7931,2.218630e-21
57.6383,2.098310e-21
64.0624,1.852640e-21
71.2922,1.620600e-21
76.3035,1.414990e-21
82.3894,1.210460e-21
88.8488,1.022120e-21
95.2139,8.630750e-22
101.14,7.452180e-22
