# E + Kr -> E + Kr(c10.563eV), Excitation, Schwelle 10.563 eV | SIGLO database, SIGLO database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
10.563,0.000000e+00
11.7527,1.019980e-23
11.7527,1.234190e-23
11.9315,1.614120e-23
12.113,2.064630e-23
12.3904,2.611720e-23
12.7702,3.231200e-23
13.2613,3.909820e-23
13.5821,4.670060e-23
13.9984,5.650870e-23
14.8698,6.687470e-23
15.8152,7.914230e-23
16.0557,8.942530e-23
16.9269,1.046610e-22
18.1167,1.156620e-22
19.7099,1.252430e-22
21.4162,1.294860e-22
23.2995,1.184780e-22
25.1262,1.094150e-22
26.5228,9.470620e-23
27.7516,8.273710e-23
29.0373,6.687470e-23
30.8835,5.526740e-23
33.5572,4.517040e-23
36.7848,3.909820e-23
39.6687,3.195520e-23
42.8327,2.730340e-23
46.5408,2.332890e-23
51.4037,1.996980e-23
57.2049,1.725330e-23
63.5807,1.524110e-23
74.0342,1.348860e-23
84.9148,1.191540e-23
92.3821,1.078210e-23
101.14,1.019980e-23
