# Ionisation, integriert ueber die Querschnitte | Biagi-v7.1 (Magboltz version 7.1), Biagi-v7.1 (Magboltz version 7.1), via LXCat, abgerufen 02 Sep 2026
Te_eV,K_m3s
0.5,8.062419e-27
0.55,1.094214e-25
0.6,9.675213e-25
0.65,6.150405e-24
0.7,3.015750e-23
0.75,1.201057e-22
0.8,4.038696e-22
0.85,1.181163e-21
0.9,3.074653e-21
0.95,7.254755e-21
1,1.574466e-20
1.05,3.180295e-20
1.1,6.037183e-20
1.15,1.085712e-19
1.2,1.862138e-19
1.25,3.063140e-19
1.3,4.855654e-19
1.35,7.447623e-19
1.4,1.109149e-18
1.45,1.608680e-18
1.5,2.278193e-18
1.55,3.157474e-18
1.6,4.291240e-18
1.65,5.729026e-18
1.7,7.524993e-18
1.75,9.737668e-18
1.8,1.242962e-17
1.85,1.566709e-17
1.9,1.951960e-17
1.95,2.405950e-17
2,2.936154e-17
2.05,3.550242e-17
2.1,4.256031e-17
2.15,5.061445e-17
2.2,5.974469e-17
2.25,7.003110e-17
2.3,8.155357e-17
2.35,9.439143e-17
2.4,1.086232e-16
2.45,1.243260e-16
2.5,1.415759e-16
2.55,1.604467e-16
2.6,1.810107e-16
2.65,2.033379e-16
2.7,2.274958e-16
2.75,2.535497e-16
2.8,2.815623e-16
2.85,3.115933e-16
2.9,3.436999e-16
2.95,3.779363e-16
3,4.143541e-16
3.05,4.530016e-16
3.1,4.939245e-16
3.15,5.371653e-16
3.2,5.827638e-16
3.25,6.307569e-16
3.3,6.811785e-16
3.35,7.340598e-16
3.4,7.894292e-16
3.45,8.473124e-16
3.5,9.077325e-16
3.55,9.707100e-16
3.6,1.036263e-15
3.65,1.104406e-15
3.7,1.175154e-15
3.75,1.248516e-15
3.8,1.324502e-15
3.85,1.403118e-15
3.9,1.484368e-15
3.95,1.568256e-15
4,1.654781e-15
4.05,1.743942e-15
4.1,1.835737e-15
4.15,1.930161e-15
4.2,2.027207e-15
4.25,2.126869e-15
4.3,2.229137e-15
4.35,2.334000e-15
4.4,2.441447e-15
4.45,2.551465e-15
4.5,2.664040e-15
4.55,2.779157e-15
4.6,2.896799e-15
4.65,3.016949e-15
4.7,3.139589e-15
4.75,3.264701e-15
4.8,3.392265e-15
4.85,3.522259e-15
4.9,3.654664e-15
4.95,3.789457e-15
5,3.926617e-15
5.05,4.066119e-15
5.1,4.207942e-15
5.15,4.352060e-15
5.2,4.498450e-15
5.25,4.647087e-15
5.3,4.797946e-15
5.35,4.951002e-15
5.4,5.106230e-15
5.45,5.263603e-15
5.5,5.423095e-15
5.55,5.584681e-15
5.6,5.748334e-15
5.65,5.914027e-15
5.7,6.081734e-15
5.75,6.251429e-15
5.8,6.423084e-15
5.85,6.596673e-15
5.9,6.772170e-15
5.95,6.949546e-15
6,7.128776e-15
6.05,7.309833e-15
6.1,7.492690e-15
6.15,7.677321e-15
6.2,7.863699e-15
6.25,8.051798e-15
6.3,8.241591e-15
6.35,8.433052e-15
6.4,8.626155e-15
6.45,8.820875e-15
6.5,9.017185e-15
6.55,9.215060e-15
6.6,9.414475e-15
6.65,9.615403e-15
6.7,9.817821e-15
6.75,1.002170e-14
6.8,1.022702e-14
6.85,1.043376e-14
6.9,1.064189e-14
6.95,1.085138e-14
7,1.106222e-14
7.05,1.127437e-14
7.1,1.148783e-14
7.15,1.170255e-14
7.2,1.191852e-14
7.25,1.213572e-14
7.3,1.235413e-14
7.35,1.257371e-14
7.4,1.279446e-14
7.45,1.301634e-14
7.5,1.323935e-14
7.55,1.346344e-14
7.6,1.368861e-14
7.65,1.391484e-14
7.7,1.414209e-14
7.75,1.437036e-14
7.8,1.459962e-14
7.85,1.482986e-14
7.9,1.506104e-14
7.95,1.529316e-14
8,1.552620e-14
8.05,1.576013e-14
8.1,1.599493e-14
8.15,1.623060e-14
8.2,1.646710e-14
8.25,1.670443e-14
8.3,1.694256e-14
8.35,1.718148e-14
8.4,1.742116e-14
8.45,1.766160e-14
8.5,1.790278e-14
8.55,1.814467e-14
8.6,1.838727e-14
8.65,1.863055e-14
8.7,1.887450e-14
8.75,1.911911e-14
8.8,1.936436e-14
8.85,1.961023e-14
8.9,1.985671e-14
8.95,2.010378e-14
9,2.035144e-14
9.05,2.059966e-14
9.1,2.084843e-14
9.15,2.109773e-14
9.2,2.134756e-14
9.25,2.159790e-14
9.3,2.184873e-14
9.35,2.210005e-14
9.4,2.235184e-14
9.45,2.260408e-14
9.5,2.285677e-14
9.55,2.310988e-14
9.6,2.336342e-14
9.65,2.361737e-14
9.7,2.387170e-14
9.75,2.412643e-14
9.8,2.438152e-14
9.85,2.463697e-14
9.9,2.489277e-14
9.95,2.514891e-14
10,2.540538e-14
10.05,2.566216e-14
10.1,2.591925e-14
10.15,2.617663e-14
10.2,2.643430e-14
10.25,2.669224e-14
10.3,2.695045e-14
10.35,2.720891e-14
10.4,2.746761e-14
10.45,2.772655e-14
10.5,2.798572e-14
10.55,2.824510e-14
10.6,2.850469e-14
10.65,2.876448e-14
10.7,2.902446e-14
10.75,2.928462e-14
10.8,2.954495e-14
10.85,2.980544e-14
10.9,3.006609e-14
10.95,3.032689e-14
11,3.058783e-14
11.05,3.084890e-14
11.1,3.111009e-14
11.15,3.137140e-14
11.2,3.163281e-14
11.25,3.189433e-14
11.3,3.215594e-14
11.35,3.241764e-14
11.4,3.267941e-14
11.45,3.294126e-14
11.5,3.320318e-14
11.55,3.346515e-14
11.6,3.372717e-14
11.65,3.398924e-14
11.7,3.425134e-14
11.75,3.451348e-14
11.8,3.477565e-14
11.85,3.503783e-14
11.9,3.530003e-14
11.95,3.556224e-14
12,3.582445e-14
12.05,3.608665e-14
12.1,3.634885e-14
12.15,3.661103e-14
12.2,3.687318e-14
12.25,3.713532e-14
12.3,3.739742e-14
12.35,3.765948e-14
12.4,3.792150e-14
12.45,3.818348e-14
12.5,3.844540e-14
12.55,3.870727e-14
12.6,3.896907e-14
12.65,3.923081e-14
12.7,3.949247e-14
12.75,3.975406e-14
