# Anregung: e + Kr -> e + Kr(2S3) bei 13.0297 eV, Schwelle 13.0297 eV | Krypton (biagi) | tabelliert
Te_eV,K_m3s
0.5,3.152241e-28
0.55,3.452038e-27
0.6,2.537766e-26
0.65,1.373251e-25
0.7,5.841748e-25
0.75,2.050098e-24
0.8,6.153805e-24
0.85,1.624220e-23
0.9,3.851219e-23
0.95,8.343620e-23
1,1.674127e-22
1.05,3.145222e-22
1.1,5.582476e-22
1.15,9.430217e-22
1.2,1.525478e-21
1.25,2.375320e-21
1.3,3.575749e-21
1.35,5.223434e-21
1.4,7.428048e-21
1.45,1.031139e-20
1.5,1.400615e-20
1.55,1.865444e-20
1.6,2.440605e-20
1.65,3.141663e-20
1.7,3.984578e-20
1.75,4.985510e-20
1.8,6.160639e-20
1.85,7.525979e-20
1.9,9.097217e-20
1.95,1.088956e-19
2,1.291761e-19
2.05,1.519522e-19
2.1,1.773542e-19
2.15,2.055034e-19
2.2,2.365110e-19
2.25,2.704782e-19
2.3,3.074955e-19
2.35,3.476423e-19
2.4,3.909876e-19
2.45,4.375889e-19
2.5,4.874935e-19
2.55,5.407376e-19
2.6,5.973477e-19
2.65,6.573399e-19
2.7,7.207210e-19
2.75,7.874888e-19
2.8,8.576321e-19
2.85,9.311319e-19
2.9,1.007961e-18
2.95,1.088087e-18
3,1.171467e-18
3.05,1.258057e-18
3.1,1.347802e-18
3.15,1.440646e-18
3.2,1.536527e-18
3.25,1.635379e-18
3.3,1.737131e-18
3.35,1.841710e-18
3.4,1.949040e-18
3.45,2.059042e-18
3.5,2.171636e-18
3.55,2.286738e-18
3.6,2.404264e-18
3.65,2.524129e-18
3.7,2.646247e-18
3.75,2.770531e-18
3.8,2.896894e-18
3.85,3.025248e-18
3.9,3.155507e-18
3.95,3.287582e-18
4,3.421388e-18
4.05,3.556839e-18
4.1,3.693850e-18
4.15,3.832335e-18
4.2,3.972213e-18
4.25,4.113401e-18
4.3,4.255818e-18
4.35,4.399385e-18
4.4,4.544023e-18
4.45,4.689655e-18
4.5,4.836207e-18
4.55,4.983605e-18
4.6,5.131776e-18
4.65,5.280650e-18
4.7,5.430159e-18
4.75,5.580235e-18
4.8,5.730813e-18
4.85,5.881829e-18
4.9,6.033221e-18
4.95,6.184929e-18
5,6.336894e-18
5.05,6.489059e-18
5.1,6.641370e-18
5.15,6.793773e-18
5.2,6.946215e-18
5.25,7.098647e-18
5.3,7.251020e-18
5.35,7.403287e-18
5.4,7.555403e-18
5.45,7.707325e-18
5.5,7.859008e-18
5.55,8.010414e-18
5.6,8.161503e-18
5.65,8.312236e-18
5.7,8.462578e-18
5.75,8.612493e-18
5.8,8.761948e-18
5.85,8.910910e-18
5.9,9.059349e-18
5.95,9.207234e-18
6,9.354538e-18
6.05,9.501233e-18
6.1,9.647292e-18
6.15,9.792691e-18
6.2,9.937406e-18
6.25,1.008141e-17
6.3,1.022469e-17
6.35,1.036722e-17
6.4,1.050899e-17
6.45,1.064996e-17
6.5,1.079013e-17
6.55,1.092948e-17
6.6,1.106798e-17
6.65,1.120564e-17
6.7,1.134243e-17
6.75,1.147834e-17
6.8,1.161335e-17
6.85,1.174746e-17
6.9,1.188065e-17
6.95,1.201291e-17
7,1.214424e-17
7.05,1.227462e-17
7.1,1.240405e-17
7.15,1.253251e-17
7.2,1.266001e-17
7.25,1.278653e-17
7.3,1.291207e-17
7.35,1.303662e-17
7.4,1.316018e-17
7.45,1.328274e-17
7.5,1.340429e-17
7.55,1.352485e-17
7.6,1.364440e-17
7.65,1.376293e-17
7.7,1.388045e-17
7.75,1.399696e-17
7.8,1.411245e-17
7.85,1.422693e-17
7.9,1.434039e-17
7.95,1.445282e-17
8,1.456425e-17
8.05,1.467465e-17
8.1,1.478403e-17
8.15,1.489240e-17
8.2,1.499975e-17
8.25,1.510609e-17
8.3,1.521142e-17
8.35,1.531573e-17
8.4,1.541904e-17
8.45,1.552134e-17
8.5,1.562264e-17
8.55,1.572294e-17
8.6,1.582224e-17
8.65,1.592054e-17
8.7,1.601786e-17
8.75,1.611418e-17
8.8,1.620953e-17
8.85,1.630389e-17
8.9,1.639728e-17
8.95,1.648970e-17
9,1.658115e-17
9.05,1.667164e-17
9.1,1.676117e-17
9.15,1.684974e-17
9.2,1.693737e-17
9.25,1.702405e-17
9.3,1.710980e-17
9.35,1.719461e-17
9.4,1.727849e-17
9.45,1.736145e-17
9.5,1.744349e-17
9.55,1.752462e-17
9.6,1.760484e-17
9.65,1.768416e-17
9.7,1.776259e-17
9.75,1.784012e-17
9.8,1.791677e-17
9.85,1.799254e-17
9.9,1.806744e-17
9.95,1.814147e-17
10,1.821464e-17
10.05,1.828695e-17
