# Anregung: e + Kr -> e + Kr(3P8) bei 12.7854 eV, Schwelle 12.7854 eV | Krypton (biagi) | tabelliert
Te_eV,K_m3s
0.5,4.102045e-27
0.55,4.256702e-26
0.6,2.998225e-25
0.65,1.567316e-24
0.7,6.481001e-24
0.75,2.221380e-23
0.8,6.536182e-23
0.85,1.695859e-22
0.9,3.961666e-22
0.95,8.471138e-22
1,1.679990e-21
1.05,3.123274e-21
1.1,5.490959e-21
1.15,9.195167e-21
1.2,1.475577e-20
1.25,2.280631e-20
1.3,3.409597e-20
1.35,4.948739e-20
1.4,6.995085e-20
1.45,9.655495e-20
1.5,1.304547e-19
1.55,1.728776e-19
1.6,2.251077e-19
1.65,2.884699e-19
1.7,3.643130e-19
1.75,4.539937e-19
1.8,5.588610e-19
1.85,6.802416e-19
1.9,8.194266e-19
1.95,9.776597e-19
2,1.156127e-18
2.05,1.355947e-18
2.1,1.578164e-18
2.15,1.823745e-18
2.2,2.093568e-18
2.25,2.388428e-18
2.3,2.709028e-18
2.35,3.055980e-18
2.4,3.429807e-18
2.45,3.830943e-18
2.5,4.259733e-18
2.55,4.716437e-18
2.6,5.201234e-18
2.65,5.714222e-18
2.7,6.255423e-18
2.75,6.824790e-18
2.8,7.422204e-18
2.85,8.047486e-18
2.9,8.700396e-18
2.95,9.380638e-18
3,1.008787e-17
3.05,1.082169e-17
3.1,1.158167e-17
3.15,1.236734e-17
3.2,1.317817e-17
3.25,1.401365e-17
3.3,1.487319e-17
3.35,1.575620e-17
3.4,1.666207e-17
3.45,1.759016e-17
3.5,1.853984e-17
3.55,1.951044e-17
3.6,2.050128e-17
3.65,2.151170e-17
3.7,2.254101e-17
3.75,2.358851e-17
3.8,2.465354e-17
3.85,2.573539e-17
3.9,2.683337e-17
3.95,2.794681e-17
4,2.907503e-17
4.05,3.021735e-17
4.1,3.137311e-17
4.15,3.254164e-17
4.2,3.372230e-17
4.25,3.491445e-17
4.3,3.611745e-17
4.35,3.733068e-17
4.4,3.855354e-17
4.45,3.978542e-17
4.5,4.102575e-17
4.55,4.227394e-17
4.6,4.352943e-17
4.65,4.479169e-17
4.7,4.606017e-17
4.75,4.733435e-17
4.8,4.861373e-17
4.85,4.989780e-17
4.9,5.118609e-17
4.95,5.247813e-17
5,5.377346e-17
5.05,5.507164e-17
5.1,5.637224e-17
5.15,5.767484e-17
5.2,5.897904e-17
5.25,6.028445e-17
5.3,6.159068e-17
5.35,6.289738e-17
5.4,6.420419e-17
5.45,6.551076e-17
5.5,6.681677e-17
5.55,6.812190e-17
5.6,6.942583e-17
5.65,7.072827e-17
5.7,7.202893e-17
5.75,7.332754e-17
5.8,7.462384e-17
5.85,7.591756e-17
5.9,7.720846e-17
5.95,7.849631e-17
6,7.978088e-17
6.05,8.106194e-17
6.1,8.233930e-17
6.15,8.361275e-17
6.2,8.488211e-17
6.25,8.614717e-17
6.3,8.740778e-17
6.35,8.866377e-17
6.4,8.991496e-17
6.45,9.116122e-17
6.5,9.240239e-17
6.55,9.363834e-17
6.6,9.486893e-17
6.65,9.609404e-17
6.7,9.731354e-17
6.75,9.852733e-17
6.8,9.973530e-17
6.85,1.009373e-16
6.9,1.021334e-16
6.95,1.033233e-16
7,1.045070e-16
7.05,1.056844e-16
7.1,1.068555e-16
7.15,1.080202e-16
7.2,1.091783e-16
7.25,1.103299e-16
7.3,1.114749e-16
7.35,1.126133e-16
7.4,1.137449e-16
7.45,1.148697e-16
7.5,1.159878e-16
7.55,1.170990e-16
7.6,1.182033e-16
7.65,1.193007e-16
7.7,1.203912e-16
7.75,1.214747e-16
7.8,1.225512e-16
7.85,1.236207e-16
7.9,1.246831e-16
7.95,1.257386e-16
8,1.267869e-16
8.05,1.278282e-16
8.1,1.288625e-16
8.15,1.298896e-16
8.2,1.309097e-16
8.25,1.319227e-16
8.3,1.329286e-16
8.35,1.339274e-16
8.4,1.349191e-16
8.45,1.359038e-16
8.5,1.368814e-16
8.55,1.378520e-16
8.6,1.388155e-16
8.65,1.397720e-16
8.7,1.407215e-16
8.75,1.416640e-16
8.8,1.425996e-16
8.85,1.435281e-16
8.9,1.444497e-16
8.95,1.453644e-16
9,1.462722e-16
9.05,1.471731e-16
9.1,1.480672e-16
9.15,1.489544e-16
9.2,1.498349e-16
9.25,1.507085e-16
9.3,1.515754e-16
9.35,1.524356e-16
9.4,1.532891e-16
9.45,1.541359e-16
9.5,1.549761e-16
9.55,1.558097e-16
9.6,1.566367e-16
9.65,1.574572e-16
9.7,1.582712e-16
9.75,1.590787e-16
9.8,1.598798e-16
9.85,1.606744e-16
9.9,1.614627e-16
9.95,1.622446e-16
10,1.630203e-16
10.05,1.637896e-16
10.1,1.645528e-16
10.15,1.653097e-16
10.2,1.660605e-16
10.25,1.668051e-16
10.3,1.675437e-16
10.35,1.682762e-16
10.4,1.690027e-16
10.45,1.697232e-16
10.5,1.704378e-16
10.55,1.711464e-16
10.6,1.718492e-16
10.65,1.725462e-16
10.7,1.732374e-16
10.75,1.739229e-16
10.8,1.746026e-16
10.85,1.752766e-16
10.9,1.759450e-16
10.95,1.766078e-16
11,1.772651e-16
11.05,1.779168e-16
11.1,1.785630e-16
11.15,1.792038e-16
11.2,1.798392e-16
11.25,1.804692e-16
11.3,1.810938e-16
11.35,1.817132e-16
11.4,1.823273e-16
11.45,1.829362e-16
11.5,1.835399e-16
11.55,1.841384e-16
11.6,1.847319e-16
11.65,1.853202e-16
11.7,1.859035e-16
11.75,1.864819e-16
11.8,1.870552e-16
11.85,1.876237e-16
11.9,1.881872e-16
11.95,1.887459e-16
12,1.892998e-16
12.05,1.898489e-16
12.1,1.903932e-16
12.15,1.909328e-16
12.2,1.914678e-16
12.25,1.919981e-16
12.3,1.925238e-16
12.35,1.930450e-16
12.4,1.935616e-16
12.45,1.940737e-16
12.5,1.945814e-16
12.55,1.950846e-16
12.6,1.955834e-16
12.65,1.960779e-16
12.7,1.965680e-16
12.75,1.970539e-16
12.8,1.975355e-16
12.85,1.980128e-16
12.9,1.984860e-16
12.95,1.989550e-16
13,1.994198e-16
13.05,1.998806e-16
13.1,2.003373e-16
13.15,2.007900e-16
13.2,2.012387e-16
13.25,2.016834e-16
13.3,2.021241e-16
13.35,2.025610e-16
13.4,2.029940e-16
13.45,2.034231e-16
13.5,2.038484e-16
13.55,2.042700e-16
13.6,2.046878e-16
13.65,2.051018e-16
13.7,2.055122e-16
13.75,2.059189e-16
13.8,2.063220e-16
13.85,2.067214e-16
13.9,2.071173e-16
13.95,2.075096e-16
14,2.078984e-16
14.05,2.082838e-16
14.1,2.086656e-16
14.15,2.090440e-16
14.2,2.094190e-16
14.25,2.097907e-16
14.3,2.101589e-16
14.35,2.105239e-16
14.4,2.108855e-16
14.45,2.112439e-16
14.5,2.115990e-16
14.55,2.119509e-16
14.6,2.122996e-16
14.65,2.126452e-16
14.7,2.129876e-16
14.75,2.133268e-16
14.8,2.136630e-16
14.85,2.139961e-16
14.9,2.143262e-16
14.95,2.146533e-16
15,2.149773e-16
15.05,2.152984e-16
15.1,2.156166e-16
15.15,2.159318e-16
15.2,2.162441e-16
15.25,2.165535e-16
15.3,2.168601e-16
15.35,2.171639e-16
15.4,2.174649e-16
15.45,2.177630e-16
15.5,2.180584e-16
15.55,2.183511e-16
15.6,2.186411e-16
15.65,2.189283e-16
15.7,2.192129e-16
15.75,2.194949e-16
15.8,2.197742e-16
15.85,2.200509e-16
15.9,2.203250e-16
15.95,2.205966e-16
16,2.208656e-16
16.05,2.211321e-16
16.1,2.213960e-16
16.15,2.216575e-16
16.2,2.219166e-16
16.25,2.221732e-16
16.3,2.224273e-16
16.35,2.226791e-16
16.4,2.229284e-16
16.45,2.231755e-16
16.5,2.234201e-16
16.55,2.236624e-16
16.6,2.239025e-16
16.65,2.241402e-16
16.7,2.243757e-16
16.75,2.246089e-16
16.8,2.248398e-16
16.85,2.250686e-16
16.9,2.252951e-16
16.95,2.255195e-16
17,2.257417e-16
17.05,2.259618e-16
17.1,2.261797e-16
17.15,2.263955e-16
17.2,2.266093e-16
17.25,2.268209e-16
17.3,2.270305e-16
17.35,2.272380e-16
17.4,2.274435e-16
17.45,2.276470e-16
17.5,2.278485e-16
17.55,2.280480e-16
17.6,2.282456e-16
17.65,2.284412e-16
17.7,2.286348e-16
17.75,2.288266e-16
17.8,2.290164e-16
17.85,2.292044e-16
17.9,2.293905e-16
17.95,2.295747e-16
18,2.297571e-16
18.05,2.299377e-16
18.1,2.301164e-16
18.15,2.302934e-16
18.2,2.304685e-16
18.25,2.306419e-16
18.3,2.308135e-16
18.35,2.309834e-16
18.4,2.311516e-16
18.45,2.313180e-16
18.5,2.314828e-16
18.55,2.316459e-16
18.6,2.318072e-16
18.65,2.319670e-16
18.7,2.321250e-16
18.75,2.322815e-16
18.8,2.324363e-16
18.85,2.325895e-16
18.9,2.327411e-16
18.95,2.328912e-16
19,2.330396e-16
19.05,2.331865e-16
19.1,2.333319e-16
19.15,2.334757e-16
19.2,2.336180e-16
19.25,2.337588e-16
19.3,2.338981e-16
19.35,2.340359e-16
19.4,2.341722e-16
19.45,2.343071e-16
19.5,2.344405e-16
19.55,2.345725e-16
19.6,2.347030e-16
19.65,2.348322e-16
19.7,2.349599e-16
19.75,2.350862e-16
19.8,2.352112e-16
19.85,2.353347e-16
19.9,2.354569e-16
19.95,2.355778e-16
20,2.356973e-16
