# Anregung: e + Kr -> e + Kr(4D2) bei 13.0987 eV, Schwelle 13.0987 eV | Krypton (biagi) | tabelliert
Te_eV,K_m3s
0.5,2.406637e-27
0.55,2.734505e-26
0.6,2.080368e-25
0.65,1.162163e-24
0.7,5.092138e-24
0.75,1.836779e-23
0.8,5.656003e-23
0.85,1.528720e-22
0.9,3.705994e-22
0.95,8.197104e-22
1,1.677009e-21
1.05,3.208788e-21
1.1,5.794514e-21
1.15,9.949923e-21
1.2,1.634799e-20
1.25,2.583650e-20
1.3,3.945117e-20
1.35,5.842388e-20
1.4,8.418563e-20
1.45,1.183645e-19
1.5,1.627788e-19
1.55,2.194260e-19
1.6,2.904685e-19
1.65,3.782158e-19
1.7,4.851056e-19
1.75,6.136827e-19
1.8,7.665777e-19
1.85,9.464849e-19
1.9,1.156141e-18
1.95,1.398306e-18
2,1.675740e-18
2.05,1.991187e-18
2.1,2.347361e-18
2.15,2.746923e-18
2.2,3.192475e-18
2.25,3.686544e-18
2.3,4.231572e-18
2.35,4.829908e-18
2.4,5.483800e-18
2.45,6.195390e-18
2.5,6.966709e-18
2.55,7.799674e-18
2.6,8.696085e-18
2.65,9.657627e-18
2.7,1.068587e-17
2.75,1.178225e-17
2.8,1.294812e-17
2.85,1.418469e-17
2.9,1.549309e-17
2.95,1.687431e-17
3,1.832925e-17
3.05,1.985872e-17
3.1,2.146342e-17
3.15,2.314398e-17
3.2,2.490090e-17
3.25,2.673464e-17
3.3,2.864556e-17
3.35,3.063394e-17
3.4,3.270000e-17
3.45,3.484389e-17
3.5,3.706568e-17
3.55,3.936541e-17
3.6,4.174305e-17
3.65,4.419849e-17
3.7,4.673162e-17
3.75,4.934224e-17
3.8,5.203013e-17
3.85,5.479503e-17
3.9,5.763661e-17
3.95,6.055455e-17
4,6.354846e-17
4.05,6.661793e-17
4.1,6.976252e-17
4.15,7.298176e-17
4.2,7.627515e-17
4.25,7.964218e-17
4.3,8.308229e-17
4.35,8.659493e-17
4.4,9.017948e-17
4.45,9.383535e-17
4.5,9.756191e-17
4.55,1.013585e-16
4.6,1.052244e-16
4.65,1.091591e-16
4.7,1.131617e-16
4.75,1.172316e-16
4.8,1.213680e-16
4.85,1.255702e-16
4.9,1.298374e-16
4.95,1.341688e-16
5,1.385638e-16
5.05,1.430214e-16
5.1,1.475408e-16
5.15,1.521213e-16
5.2,1.567620e-16
5.25,1.614621e-16
5.3,1.662207e-16
5.35,1.710369e-16
5.4,1.759099e-16
5.45,1.808389e-16
5.5,1.858228e-16
5.55,1.908610e-16
5.6,1.959523e-16
5.65,2.010960e-16
5.7,2.062911e-16
5.75,2.115368e-16
5.8,2.168320e-16
5.85,2.221759e-16
5.9,2.275676e-16
5.95,2.330060e-16
6,2.384904e-16
6.05,2.440197e-16
6.1,2.495930e-16
6.15,2.552094e-16
6.2,2.608679e-16
6.25,2.665677e-16
6.3,2.723077e-16
6.35,2.780870e-16
6.4,2.839047e-16
6.45,2.897598e-16
6.5,2.956515e-16
6.55,3.015788e-16
6.6,3.075407e-16
6.65,3.135364e-16
6.7,3.195648e-16
6.75,3.256252e-16
6.8,3.317166e-16
6.85,3.378380e-16
6.9,3.439887e-16
6.95,3.501676e-16
7,3.563739e-16
