# Anregung: e + Kr -> e + Kr(p) bei 11.3 eV, Schwelle 11.3 eV | Krypton (biagi_v7_1) | tabelliert
Te_eV,K_m3s
0.5,5.100872e-25
0.55,4.222265e-24
0.6,2.462422e-23
0.65,1.096649e-22
0.7,3.950593e-22
0.75,1.200868e-21
0.8,3.179354e-21
0.85,7.511616e-21
0.9,1.613923e-20
0.95,3.200873e-20
1,5.930339e-20
1.05,1.036381e-19
1.1,1.721988e-19
1.15,2.738145e-19
1.2,4.189587e-19
1.25,6.196814e-19
1.3,8.894813e-19
1.35,1.243127e-18
1.4,1.696444e-18
1.45,2.266069e-18
1.5,2.969204e-18
1.55,3.823360e-18
1.6,4.846110e-18
1.65,6.054854e-18
1.7,7.466610e-18
1.75,9.097824e-18
1.8,1.096420e-17
1.85,1.308057e-17
1.9,1.546076e-17
1.95,1.811753e-17
2,2.106248e-17
2.05,2.430602e-17
2.1,2.785734e-17
2.15,3.172442e-17
2.2,3.591398e-17
2.25,4.043158e-17
2.3,4.528158e-17
2.35,5.046720e-17
2.4,5.599060e-17
2.45,6.185287e-17
2.5,6.805413e-17
2.55,7.459358e-17
2.6,8.146955e-17
2.65,8.867955e-17
2.7,9.622037e-17
2.75,1.040881e-16
2.8,1.122782e-16
2.85,1.207856e-16
2.9,1.296046e-16
2.95,1.387292e-16
3,1.481529e-16
3.05,1.578689e-16
3.1,1.678699e-16
3.15,1.781487e-16
3.2,1.886975e-16
3.25,1.995085e-16
3.3,2.105737e-16
3.35,2.218850e-16
3.4,2.334341e-16
3.45,2.452129e-16
3.5,2.572129e-16
3.55,2.694259e-16
3.6,2.818436e-16
3.65,2.944576e-16
3.7,3.072598e-16
3.75,3.202420e-16
3.8,3.333960e-16
3.85,3.467139e-16
3.9,3.601878e-16
3.95,3.738098e-16
4,3.875724e-16
4.05,4.014679e-16
4.1,4.154890e-16
4.15,4.296284e-16
4.2,4.438790e-16
4.25,4.582339e-16
4.3,4.726862e-16
4.35,4.872293e-16
4.4,5.018566e-16
4.45,5.165620e-16
4.5,5.313392e-16
4.55,5.461822e-16
4.6,5.610851e-16
4.65,5.760424e-16
4.7,5.910484e-16
4.75,6.060979e-16
4.8,6.211855e-16
4.85,6.363064e-16
4.9,6.514556e-16
4.95,6.666283e-16
5,6.818200e-16
5.05,6.970263e-16
5.1,7.122429e-16
5.15,7.274655e-16
5.2,7.426904e-16
5.25,7.579134e-16
5.3,7.731310e-16
5.35,7.883396e-16
5.4,8.035356e-16
5.45,8.187158e-16
5.5,8.338769e-16
5.55,8.490158e-16
5.6,8.641296e-16
5.65,8.792154e-16
5.7,8.942704e-16
5.75,9.092920e-16
5.8,9.242776e-16
5.85,9.392249e-16
5.9,9.541315e-16
5.95,9.689952e-16
6,9.838137e-16
6.05,9.985852e-16
6.1,1.013308e-15
6.15,1.027979e-15
6.2,1.042598e-15
6.25,1.057162e-15
6.3,1.071670e-15
6.35,1.086120e-15
6.4,1.100512e-15
6.45,1.114843e-15
6.5,1.129112e-15
6.55,1.143318e-15
6.6,1.157459e-15
6.65,1.171535e-15
6.7,1.185545e-15
6.75,1.199487e-15
6.8,1.213360e-15
6.85,1.227164e-15
6.9,1.240898e-15
6.95,1.254561e-15
7,1.268152e-15
7.05,1.281670e-15
7.1,1.295115e-15
7.15,1.308487e-15
7.2,1.321784e-15
7.25,1.335006e-15
7.3,1.348153e-15
7.35,1.361223e-15
7.4,1.374218e-15
7.45,1.387136e-15
7.5,1.399977e-15
7.55,1.412741e-15
7.6,1.425427e-15
7.65,1.438036e-15
7.7,1.450566e-15
7.75,1.463019e-15
7.8,1.475393e-15
7.85,1.487688e-15
7.9,1.499905e-15
7.95,1.512043e-15
8,1.524103e-15
8.05,1.536084e-15
8.1,1.547986e-15
8.15,1.559810e-15
8.2,1.571554e-15
8.25,1.583221e-15
8.3,1.594808e-15
8.35,1.606317e-15
8.4,1.617748e-15
8.45,1.629100e-15
8.5,1.640375e-15
8.55,1.651571e-15
8.6,1.662690e-15
8.65,1.673731e-15
8.7,1.684694e-15
8.75,1.695580e-15
8.8,1.706390e-15
8.85,1.717122e-15
8.9,1.727778e-15
8.95,1.738358e-15
9,1.748861e-15
9.05,1.759289e-15
9.1,1.769641e-15
9.15,1.779919e-15
9.2,1.790121e-15
9.25,1.800249e-15
9.3,1.810302e-15
9.35,1.820282e-15
9.4,1.830188e-15
9.45,1.840020e-15
9.5,1.849780e-15
9.55,1.859467e-15
9.6,1.869082e-15
9.65,1.878624e-15
9.7,1.888096e-15
9.75,1.897496e-15
9.8,1.906825e-15
9.85,1.916084e-15
9.9,1.925273e-15
9.95,1.934392e-15
10,1.943441e-15
10.05,1.952422e-15
10.1,1.961334e-15
10.15,1.970178e-15
10.2,1.978955e-15
10.25,1.987664e-15
10.3,1.996306e-15
10.35,2.004881e-15
10.4,2.013390e-15
10.45,2.021834e-15
10.5,2.030211e-15
10.55,2.038524e-15
10.6,2.046773e-15
10.65,2.054957e-15
10.7,2.063078e-15
10.75,2.071135e-15
10.8,2.079129e-15
10.85,2.087060e-15
10.9,2.094930e-15
10.95,2.102738e-15
11,2.110484e-15
11.05,2.118169e-15
11.1,2.125794e-15
11.15,2.133359e-15
11.2,2.140864e-15
11.25,2.148310e-15
11.3,2.155696e-15
11.35,2.163025e-15
11.4,2.170295e-15
11.45,2.177507e-15
11.5,2.184662e-15
11.55,2.191760e-15
11.6,2.198802e-15
11.65,2.205787e-15
11.7,2.212717e-15
11.75,2.219591e-15
11.8,2.226411e-15
11.85,2.233176e-15
11.9,2.239886e-15
11.95,2.246543e-15
12,2.253147e-15
12.05,2.259697e-15
12.1,2.266195e-15
12.15,2.272640e-15
12.2,2.279034e-15
12.25,2.285376e-15
12.3,2.291667e-15
12.35,2.297907e-15
12.4,2.304097e-15
12.45,2.310237e-15
12.5,2.316327e-15
12.55,2.322368e-15
12.6,2.328360e-15
12.65,2.334303e-15
12.7,2.340198e-15
12.75,2.346046e-15
12.8,2.351846e-15
12.85,2.357598e-15
12.9,2.363304e-15
12.95,2.368964e-15
13,2.374577e-15
13.05,2.380145e-15
13.1,2.385667e-15
13.15,2.391144e-15
13.2,2.396576e-15
13.25,2.401964e-15
13.3,2.407308e-15
13.35,2.412609e-15
13.4,2.417865e-15
13.45,2.423079e-15
13.5,2.428250e-15
13.55,2.433379e-15
13.6,2.438465e-15
13.65,2.443510e-15
13.7,2.448514e-15
13.75,2.453476e-15
13.8,2.458397e-15
13.85,2.463278e-15
13.9,2.468118e-15
13.95,2.472919e-15
14,2.477680e-15
14.05,2.482402e-15
14.1,2.487085e-15
14.15,2.491729e-15
14.2,2.496335e-15
14.25,2.500902e-15
14.3,2.505432e-15
14.35,2.509925e-15
14.4,2.514380e-15
14.45,2.518798e-15
14.5,2.523179e-15
14.55,2.527524e-15
14.6,2.531833e-15
14.65,2.536106e-15
14.7,2.540344e-15
14.75,2.544546e-15
14.8,2.548713e-15
14.85,2.552845e-15
14.9,2.556943e-15
14.95,2.561007e-15
15,2.565037e-15
15.05,2.569033e-15
15.1,2.572996e-15
15.15,2.576925e-15
15.2,2.580822e-15
15.25,2.584686e-15
15.3,2.588518e-15
15.35,2.592317e-15
15.4,2.596084e-15
15.45,2.599820e-15
15.5,2.603524e-15
15.55,2.607198e-15
15.6,2.610840e-15
15.65,2.614451e-15
