# Elastisch: e + Kr -> e + Kr | Krypton (siglo) | tabelliert
Te_eV,K_m3s
0.5,8.282672e-15
0.55,9.561948e-15
0.6,1.103772e-14
0.65,1.269291e-14
0.7,1.451128e-14
0.75,1.647732e-14
0.8,1.857617e-14
0.85,2.079367e-14
0.9,2.311627e-14
0.95,2.553110e-14
1,2.802596e-14
1.05,3.058939e-14
1.1,3.321062e-14
1.15,3.587963e-14
1.2,3.858713e-14
1.25,4.132453e-14
1.3,4.408395e-14
1.35,4.685814e-14
1.4,4.964052e-14
1.45,5.242509e-14
1.5,5.520640e-14
1.55,5.797953e-14
1.6,6.074006e-14
1.65,6.348399e-14
1.7,6.620777e-14
1.75,6.890821e-14
1.8,7.158247e-14
1.85,7.422807e-14
1.9,7.684278e-14
1.95,7.942467e-14
2,8.197205e-14
2.05,8.448346e-14
2.1,8.695765e-14
2.15,8.939356e-14
2.2,9.179030e-14
2.25,9.414712e-14
2.3,9.646344e-14
2.35,9.873880e-14
2.4,1.009729e-13
2.45,1.031654e-13
2.5,1.053162e-13
2.55,1.074253e-13
2.6,1.094926e-13
2.65,1.115184e-13
2.7,1.135027e-13
2.75,1.154457e-13
2.8,1.173478e-13
2.85,1.192091e-13
2.9,1.210302e-13
2.95,1.228113e-13
3,1.245530e-13
3.05,1.262555e-13
3.1,1.279195e-13
3.15,1.295454e-13
3.2,1.311336e-13
3.25,1.326848e-13
3.3,1.341995e-13
3.35,1.356782e-13
3.4,1.371215e-13
3.45,1.385299e-13
3.5,1.399040e-13
3.55,1.412444e-13
3.6,1.425516e-13
3.65,1.438263e-13
3.7,1.450690e-13
3.75,1.462803e-13
3.8,1.474607e-13
3.85,1.486109e-13
3.9,1.497313e-13
3.95,1.508226e-13
4,1.518853e-13
4.05,1.529199e-13
4.1,1.539271e-13
4.15,1.549073e-13
4.2,1.558611e-13
4.25,1.567890e-13
4.3,1.576916e-13
4.35,1.585692e-13
4.4,1.594226e-13
4.45,1.602520e-13
4.5,1.610581e-13
4.55,1.618413e-13
4.6,1.626022e-13
4.65,1.633410e-13
4.7,1.640584e-13
4.75,1.647548e-13
4.8,1.654305e-13
4.85,1.660861e-13
4.9,1.667220e-13
4.95,1.673386e-13
5,1.679362e-13
5.05,1.685154e-13
5.1,1.690765e-13
5.15,1.696198e-13
5.2,1.701459e-13
5.25,1.706550e-13
5.3,1.711474e-13
5.35,1.716237e-13
5.4,1.720841e-13
5.45,1.725289e-13
5.5,1.729585e-13
5.55,1.733733e-13
5.6,1.737735e-13
5.65,1.741595e-13
5.7,1.745316e-13
5.75,1.748900e-13
5.8,1.752351e-13
5.85,1.755673e-13
5.9,1.758866e-13
5.95,1.761935e-13
6,1.764882e-13
6.05,1.767710e-13
6.1,1.770421e-13
6.15,1.773018e-13
6.2,1.775504e-13
6.25,1.777881e-13
6.3,1.780151e-13
6.35,1.782316e-13
6.4,1.784380e-13
6.45,1.786343e-13
6.5,1.788210e-13
6.55,1.789980e-13
6.6,1.791658e-13
6.65,1.793244e-13
6.7,1.794741e-13
6.75,1.796151e-13
6.8,1.797475e-13
6.85,1.798716e-13
6.9,1.799876e-13
6.95,1.800955e-13
7,1.801957e-13
7.05,1.802882e-13
7.1,1.803733e-13
7.15,1.804511e-13
7.2,1.805218e-13
7.25,1.805855e-13
7.3,1.806424e-13
7.35,1.806927e-13
7.4,1.807364e-13
7.45,1.807738e-13
7.5,1.808049e-13
7.55,1.808300e-13
7.6,1.808491e-13
7.65,1.808624e-13
7.7,1.808700e-13
7.75,1.808721e-13
7.8,1.808687e-13
7.85,1.808600e-13
7.9,1.808462e-13
7.95,1.808273e-13
8,1.808034e-13
8.05,1.807747e-13
8.1,1.807412e-13
8.15,1.807032e-13
8.2,1.806606e-13
