# Anregung: e + Kr -> e + Kr(exc_2) bei 10.563 eV, Schwelle 10.563 eV | Krypton (siglo) | tabelliert
Te_eV,K_m3s
0.5,2.506241e-26
0.55,2.025591e-25
0.6,1.157536e-24
0.65,5.067862e-24
0.7,1.800039e-23
0.75,5.408945e-23
0.8,1.418914e-22
0.85,3.328362e-22
0.9,7.112650e-22
0.95,1.405216e-21
1,2.596979e-21
1.05,4.532471e-21
1.1,7.528655e-21
1.15,1.197847e-20
1.2,1.835298e-20
1.25,2.720079e-20
1.3,3.914476e-20
1.35,5.487648e-20
1.4,7.514883e-20
1.45,1.007670e-19
1.5,1.325786e-19
1.55,1.714632e-19
1.6,2.183212e-19
1.65,2.740635e-19
1.7,3.396012e-19
1.75,4.158355e-19
1.8,5.036492e-19
1.85,6.038981e-19
1.9,7.174041e-19
1.95,8.449486e-19
2,9.872676e-19
2.05,1.145047e-18
2.1,1.318918e-18
2.15,1.509459e-18
2.2,1.717185e-18
2.25,1.942557e-18
2.3,2.185973e-18
2.35,2.447772e-18
2.4,2.728235e-18
2.45,3.027583e-18
2.5,3.345983e-18
2.55,3.683545e-18
2.6,4.040326e-18
2.65,4.416334e-18
2.7,4.811528e-18
2.75,5.225821e-18
2.8,5.659082e-18
2.85,6.111142e-18
2.9,6.581791e-18
2.95,7.070787e-18
3,7.577853e-18
3.05,8.102685e-18
3.1,8.644948e-18
3.15,9.204286e-18
3.2,9.780319e-18
3.25,1.037265e-17
3.3,1.098085e-17
3.35,1.160450e-17
3.4,1.224315e-17
3.45,1.289634e-17
3.5,1.356360e-17
3.55,1.424446e-17
3.6,1.493844e-17
3.65,1.564505e-17
3.7,1.636379e-17
3.75,1.709419e-17
3.8,1.783574e-17
3.85,1.858796e-17
3.9,1.935035e-17
3.95,2.012242e-17
4,2.090370e-17
4.05,2.169370e-17
4.1,2.249195e-17
4.15,2.329797e-17
4.2,2.411131e-17
4.25,2.493150e-17
4.3,2.575810e-17
4.35,2.659066e-17
4.4,2.742875e-17
4.45,2.827195e-17
4.5,2.911984e-17
4.55,2.997201e-17
4.6,3.082807e-17
4.65,3.168762e-17
4.7,3.255028e-17
4.75,3.341568e-17
4.8,3.428346e-17
4.85,3.515328e-17
4.9,3.602479e-17
4.95,3.689765e-17
5,3.777155e-17
5.05,3.864617e-17
5.1,3.952121e-17
5.15,4.039637e-17
5.2,4.127138e-17
5.25,4.214595e-17
5.3,4.301982e-17
5.35,4.389274e-17
5.4,4.476445e-17
5.45,4.563471e-17
5.5,4.650330e-17
5.55,4.736999e-17
5.6,4.823457e-17
5.65,4.909683e-17
5.7,4.995658e-17
5.75,5.081362e-17
5.8,5.166777e-17
5.85,5.251886e-17
5.9,5.336672e-17
5.95,5.421118e-17
6,5.505210e-17
6.05,5.588933e-17
6.1,5.672272e-17
6.15,5.755215e-17
6.2,5.837748e-17
6.25,5.919860e-17
6.3,6.001538e-17
6.35,6.082773e-17
6.4,6.163552e-17
6.45,6.243868e-17
6.5,6.323709e-17
6.55,6.403068e-17
6.6,6.481935e-17
6.65,6.560304e-17
6.7,6.638166e-17
6.75,6.715515e-17
6.8,6.792344e-17
6.85,6.868648e-17
6.9,6.944419e-17
6.95,7.019654e-17
7,7.094346e-17
7.05,7.168492e-17
7.1,7.242088e-17
7.15,7.315129e-17
7.2,7.387612e-17
7.25,7.459534e-17
7.3,7.530892e-17
7.35,7.601683e-17
7.4,7.671906e-17
7.45,7.741557e-17
7.5,7.810636e-17
7.55,7.879140e-17
7.6,7.947069e-17
7.65,8.014422e-17
7.7,8.081197e-17
7.75,8.147394e-17
7.8,8.213013e-17
7.85,8.278054e-17
7.9,8.342517e-17
7.95,8.406401e-17
8,8.469708e-17
8.05,8.532438e-17
8.1,8.594592e-17
8.15,8.656170e-17
8.2,8.717174e-17
8.25,8.777605e-17
8.3,8.837464e-17
8.35,8.896753e-17
8.4,8.955474e-17
8.45,9.013627e-17
8.5,9.071215e-17
8.55,9.128240e-17
8.6,9.184704e-17
8.65,9.240609e-17
8.7,9.295958e-17
8.75,9.350752e-17
8.8,9.404994e-17
8.85,9.458687e-17
8.9,9.511833e-17
8.95,9.564434e-17
9,9.616495e-17
9.05,9.668016e-17
9.1,9.719002e-17
9.15,9.769456e-17
9.2,9.819379e-17
9.25,9.868775e-17
9.3,9.917648e-17
9.35,9.966000e-17
9.4,1.001383e-16
9.45,1.006115e-16
9.5,1.010796e-16
9.55,1.015426e-16
9.6,1.020006e-16
9.65,1.024536e-16
9.7,1.029015e-16
9.75,1.033446e-16
9.8,1.037827e-16
9.85,1.042159e-16
9.9,1.046443e-16
9.95,1.050679e-16
10,1.054867e-16
10.05,1.059008e-16
10.1,1.063102e-16
10.15,1.067149e-16
10.2,1.071150e-16
10.25,1.075104e-16
10.3,1.079014e-16
10.35,1.082877e-16
10.4,1.086696e-16
10.45,1.090471e-16
10.5,1.094201e-16
10.55,1.097887e-16
10.6,1.101530e-16
10.65,1.105129e-16
10.7,1.108686e-16
10.75,1.112200e-16
10.8,1.115672e-16
10.85,1.119103e-16
10.9,1.122492e-16
10.95,1.125840e-16
11,1.129147e-16
11.05,1.132414e-16
11.1,1.135640e-16
11.15,1.138827e-16
11.2,1.141975e-16
11.25,1.145084e-16
11.3,1.148154e-16
11.35,1.151185e-16
11.4,1.154179e-16
11.45,1.157135e-16
11.5,1.160053e-16
11.55,1.162935e-16
11.6,1.165780e-16
11.65,1.168588e-16
11.7,1.171361e-16
11.75,1.174098e-16
11.8,1.176799e-16
11.85,1.179465e-16
11.9,1.182097e-16
11.95,1.184694e-16
12,1.187257e-16
12.05,1.189786e-16
12.1,1.192282e-16
12.15,1.194744e-16
12.2,1.197173e-16
12.25,1.199570e-16
12.3,1.201935e-16
12.35,1.204268e-16
12.4,1.206569e-16
12.45,1.208838e-16
12.5,1.211077e-16
12.55,1.213284e-16
12.6,1.215461e-16
12.65,1.217608e-16
12.7,1.219725e-16
12.75,1.221812e-16
12.8,1.223870e-16
12.85,1.225898e-16
12.9,1.227898e-16
12.95,1.229869e-16
13,1.231812e-16
13.05,1.233727e-16
13.1,1.235614e-16
13.15,1.237474e-16
13.2,1.239306e-16
13.25,1.241111e-16
13.3,1.242890e-16
13.35,1.244642e-16
13.4,1.246368e-16
13.45,1.248068e-16
13.5,1.249742e-16
13.55,1.251391e-16
13.6,1.253014e-16
13.65,1.254613e-16
13.7,1.256187e-16
13.75,1.257736e-16
13.8,1.259261e-16
13.85,1.260762e-16
13.9,1.262239e-16
13.95,1.263692e-16
14,1.265122e-16
14.05,1.266529e-16
14.1,1.267914e-16
14.15,1.269275e-16
14.2,1.270614e-16
14.25,1.271931e-16
14.3,1.273225e-16
14.35,1.274498e-16
14.4,1.275750e-16
14.45,1.276980e-16
14.5,1.278188e-16
14.55,1.279376e-16
14.6,1.280543e-16
14.65,1.281690e-16
14.7,1.282816e-16
14.75,1.283921e-16
14.8,1.285007e-16
14.85,1.286074e-16
14.9,1.287120e-16
14.95,1.288147e-16
15,1.289155e-16
15.05,1.290144e-16
15.1,1.291114e-16
15.15,1.292066e-16
15.2,1.292999e-16
15.25,1.293913e-16
15.3,1.294810e-16
15.35,1.295688e-16
15.4,1.296549e-16
15.45,1.297393e-16
15.5,1.298219e-16
15.55,1.299027e-16
15.6,1.299819e-16
15.65,1.300593e-16
15.7,1.301351e-16
15.75,1.302093e-16
15.8,1.302818e-16
15.85,1.303527e-16
15.9,1.304219e-16
15.95,1.304896e-16
16,1.305557e-16
16.05,1.306202e-16
16.1,1.306832e-16
16.15,1.307447e-16
16.2,1.308046e-16
16.25,1.308630e-16
16.3,1.309200e-16
16.35,1.309754e-16
16.4,1.310295e-16
16.45,1.310820e-16
16.5,1.311332e-16
16.55,1.311829e-16
16.6,1.312312e-16
16.65,1.312782e-16
16.7,1.313238e-16
16.75,1.313680e-16
16.8,1.314108e-16
16.85,1.314524e-16
16.9,1.314926e-16
16.95,1.315315e-16
17,1.315691e-16
17.05,1.316054e-16
17.1,1.316404e-16
17.15,1.316742e-16
