# E + O2 -> E + O2( EXC A1(DEL)G), Excitation, Schwelle 0.977 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0.977,0.000000e+00
0.977198,2.000000e-25
1.01214,1.458900e-23
1.04852,2.012800e-23
1.08617,2.586200e-23
1.12515,3.179600e-23
1.1655,3.794000e-23
1.20727,4.429900e-23
1.2505,5.088200e-23
1.29526,5.769600e-23
1.34158,6.475000e-23
1.38954,7.205100e-23
1.43918,7.960900e-23
1.49056,8.743300e-23
1.54375,9.553200e-23
1.59881,1.039200e-22
1.6558,1.125900e-22
1.7148,1.215800e-22
1.77587,1.308700e-22
1.83909,1.405000e-22
1.90453,1.504600e-22
1.97226,1.607800e-22
2.04238,1.736900e-22
2.11496,1.885700e-22
2.19009,2.039700e-22
2.26787,2.199100e-22
2.34837,2.364200e-22
2.43171,2.535000e-22
2.51797,2.711800e-22
2.60727,2.894900e-22
2.6997,3.084400e-22
2.79538,3.280500e-22
2.89443,3.483600e-22
2.99695,3.693800e-22
3.10308,3.885500e-22
3.21294,4.083300e-22
3.32665,4.288000e-22
3.44437,4.499900e-22
3.56622,4.719200e-22
3.69235,4.946200e-22
3.82292,5.181300e-22
3.95807,5.424500e-22
4.09797,5.627400e-22
4.2428,5.815600e-22
4.3927,6.010500e-22
4.54788,6.212200e-22
4.70851,6.421100e-22
4.87479,6.637200e-22
5.04691,6.832800e-22
5.4095,7.086700e-22
5.79803,7.358600e-22
6.21435,7.568600e-22
6.89531,7.786500e-22
9.74937,7.557600e-22
10.4483,7.343100e-22
11.1972,7.081000e-22
11.9996,6.800100e-22
12.4222,6.652200e-22
12.8595,6.499200e-22
13.3122,6.340700e-22
13.7808,6.176700e-22
14.2659,6.006900e-22
14.7681,5.831200e-22
15.2879,5.669400e-22
15.8259,5.518700e-22
16.3829,5.362800e-22
16.9594,5.201400e-22
17.5562,5.034300e-22
18.174,4.861300e-22
18.8135,4.682200e-22
19.4754,4.496900e-22
20.1607,4.321900e-22
20.87,4.197800e-22
21.6042,4.069300e-22
22.3642,3.936300e-22
23.151,3.798600e-22
23.9653,3.656100e-22
24.8083,3.508500e-22
25.681,3.355800e-22
26.5843,3.197800e-22
27.5193,3.034100e-22
28.4872,2.864700e-22
29.4891,2.689400e-22
30.5262,2.559000e-22
31.5998,2.475200e-22
32.7111,2.388500e-22
33.8614,2.298800e-22
35.0522,2.205900e-22
36.2848,2.109800e-22
37.5607,2.010300e-22
38.8815,1.907200e-22
40.2487,1.808800e-22
41.6639,1.745100e-22
43.1289,1.679200e-22
44.6454,1.611000e-22
46.2151,1.540300e-22
47.84,1.467200e-22
49.522,1.391500e-22
51.2631,1.333400e-22
53.0654,1.281100e-22
54.9311,1.227000e-22
56.8623,1.171000e-22
58.8614,1.113000e-22
60.9307,1.063700e-22
63.0727,1.026200e-22
65.2901,9.874200e-23
67.5853,9.472600e-23
69.9612,9.056800e-23
72.4206,8.626400e-23
74.9664,8.180900e-23
77.6017,7.719700e-23
80.3296,7.268700e-23
83.1534,7.000400e-23
86.0764,6.722700e-23
89.1021,6.435300e-23
92.2341,6.137800e-23
95.4763,5.829800e-23
98.8323,5.510900e-23
117.467,5.297100e-23
154.859,5.076900e-23
190.523,4.866900e-23
226.441,4.655400e-23
259.993,4.457800e-23
298.515,4.231000e-23
331.108,4.039000e-23
367.259,3.826100e-23
393.527,3.671500e-23
421.673,3.505700e-23
451.833,3.328100e-23
484.149,3.137800e-23
518.777,2.933900e-23
555.881,2.715400e-23
575.417,2.600300e-23
595.639,2.481200e-23
616.572,2.358000e-23
638.24,2.230400e-23
660.67,2.098300e-23
683.889,1.961500e-23
707.923,1.820000e-23
732.802,1.673500e-23
758.555,1.521800e-23
785.213,1.364900e-23
812.808,1.202400e-23
841.372,1.034100e-23
870.941,8.600200e-24
901.548,6.797700e-24
933.231,4.931900e-24
966.028,3.000600e-24
