# E + O2 -> E + O2( EXC A3 DISOC), Excitation, Schwelle 6.1 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
6.1,0.000000e+00
6.10071,1.666700e-25
6.13514,5.857000e-23
6.17152,1.192000e-22
6.20918,1.819600e-22
6.24815,2.469200e-22
6.2885,3.141700e-22
6.33027,3.837800e-22
6.3735,4.558400e-22
6.41826,5.304300e-22
6.46458,6.076400e-22
6.51254,6.875600e-22
6.56218,7.703000e-22
6.61356,8.559400e-22
6.66675,9.445900e-22
6.72181,1.036400e-21
6.7788,1.131300e-21
6.8378,1.229700e-21
6.89887,1.331500e-21
6.96209,1.436800e-21
7.02752,1.534400e-21
7.09526,1.619100e-21
7.16538,1.706700e-21
7.23796,1.797500e-21
7.31309,1.891400e-21
7.39087,1.988600e-21
7.47137,2.089200e-21
7.55471,2.193400e-21
7.64097,2.301200e-21
7.73027,2.412800e-21
7.8227,2.496600e-21
7.91838,2.482200e-21
8.01743,2.467400e-21
8.11995,2.452000e-21
8.22608,2.436100e-21
8.33594,2.419600e-21
8.44965,2.402600e-21
8.56737,2.384900e-21
8.68922,2.366600e-21
8.81535,2.347700e-21
8.94592,2.328100e-21
9.08107,2.302200e-21
9.22097,2.271400e-21
9.3658,2.239500e-21
9.5157,2.206500e-21
9.67088,2.172400e-21
9.83151,2.137100e-21
9.99779,2.100500e-21
10.1699,2.061800e-21
10.3481,2.021700e-21
10.5325,1.980200e-21
10.7234,1.937200e-21
10.921,1.892800e-21
11.1256,1.846700e-21
11.3374,1.799100e-21
11.5565,1.749800e-21
11.7834,1.698700e-21
12.0183,1.646300e-21
12.2614,1.597700e-21
12.5131,1.547400e-21
12.7736,1.495300e-21
13.0433,1.441300e-21
13.3224,1.385500e-21
13.6114,1.327700e-21
13.9105,1.267900e-21
14.2201,1.206000e-21
14.5406,1.141900e-21
14.8724,1.075500e-21
15.2158,1.006800e-21
15.5713,9.357400e-22
15.9393,8.621500e-22
16.3202,7.859600e-22
16.7145,7.071000e-22
17.1226,6.430500e-22
17.5451,6.191100e-22
17.9825,5.943300e-22
18.4352,5.686700e-22
18.9038,5.421200e-22
19.3889,5.146300e-22
19.8911,4.861700e-22
20.4109,4.752300e-22
21.5059,4.625300e-22
22.6792,4.489200e-22
23.9365,4.343400e-22
25.2837,4.187100e-22
25.993,4.104800e-22
26.7272,4.019600e-22
27.4872,3.931500e-22
28.2739,3.840200e-22
29.0883,3.745800e-22
29.9313,3.648000e-22
30.804,3.546700e-22
31.7072,3.442000e-22
32.6423,3.333500e-22
33.6102,3.221200e-22
34.6121,3.105000e-22
35.6492,2.984700e-22
36.7228,2.860200e-22
37.8341,2.731200e-22
38.9844,2.597800e-22
40.1752,2.459700e-22
41.4078,2.316700e-22
42.6837,2.168700e-22
44.0045,2.015500e-22
45.3717,1.893600e-22
48.2519,1.844400e-22
51.3381,1.791700e-22
54.645,1.735200e-22
58.1884,1.674600e-22
61.9853,1.609700e-22
63.9844,1.575500e-22
66.0537,1.540200e-22
68.1957,1.503600e-22
70.4131,1.465700e-22
72.7083,1.426400e-22
75.0842,1.385800e-22
77.5436,1.343800e-22
80.0894,1.300300e-22
82.7247,1.255300e-22
85.4526,1.208600e-22
88.2764,1.160400e-22
91.1994,1.110400e-22
94.2251,1.058700e-22
97.3571,1.005200e-22
100.599,9.594300e-23
139.996,9.217800e-23
182.928,8.807600e-23
223.876,8.416300e-23
265.116,8.022200e-23
303.638,7.654100e-23
336.231,7.342700e-23
372.382,6.997200e-23
412.48,6.614100e-23
441.616,6.335700e-23
472.835,6.037400e-23
506.287,5.717700e-23
542.132,5.375200e-23
580.54,5.008200e-23
600.762,4.814900e-23
621.695,4.614900e-23
643.364,4.407900e-23
665.793,4.193500e-23
689.012,3.971700e-23
713.046,3.742000e-23
737.924,3.504300e-23
763.678,3.258200e-23
790.336,3.003500e-23
817.931,2.739800e-23
846.495,2.466800e-23
876.064,2.184300e-23
906.671,1.891800e-23
938.354,1.589100e-23
971.151,1.275700e-23
