# E + O2 -> E + O2( ROT), Excitation, Schwelle 0.02 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0.02,0.000000e+00
0.021,1.000000e-22
0.025,1.000000e-22
0.07,1.000000e-22
0.08,1.540000e-22
0.1,1.000000e-22
0.2,1.000000e-22
0.21,3.160000e-22
0.22,1.000000e-22
0.32,1.000000e-22
0.33,4.840000e-22
0.35,1.000000e-22
0.44,1.000000e-22
0.45,6.400000e-22
0.47,1.000000e-22
0.56,1.000000e-22
0.57,7.700000e-22
0.59,1.000000e-22
0.68,1.000000e-22
0.69,9.000000e-22
0.71,1.000000e-22
0.79,1.000000e-22
0.8,1.000000e-21
0.81,1.000000e-22
0.9,1.000000e-22
0.91,9.000000e-22
0.93,1.000000e-22
1.02,1.000000e-22
1.03,8.000000e-22
1.05,6.000000e-22
100,2.000000e-22
1000,1.500000e-22
