# E + O2 -> E + O2( VIB 2V1), Excitation, Schwelle 0.386 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0.193,0.000000e+00
0.2,0.000000e+00
0.21,0.000000e+00
0.23,0.000000e+00
0.32,0.000000e+00
0.33,0.000000e+00
0.35,0.000000e+00
0.44,0.000000e+00
0.45,0.000000e+00
0.47,0.000000e+00
0.56,0.000000e+00
0.57,1.400000e-21
0.59,0.000000e+00
0.68,0.000000e+00
0.69,4.150000e-21
0.71,0.000000e+00
0.79,0.000000e+00
0.8,5.350000e-21
0.82,0.000000e+00
0.9,0.000000e+00
0.91,4.650000e-21
0.93,0.000000e+00
1.02,0.000000e+00
1.03,3.150000e-21
1.05,0.000000e+00
1.13,0.000000e+00
1.14,2.000000e-21
1.16,0.000000e+00
1.23,0.000000e+00
1.24,9.500000e-22
1.26,0.000000e+00
1.34,0.000000e+00
1.35,4.000000e-22
1.37,0.000000e+00
1.44,0.000000e+00
1.45,1.800000e-22
1.47,0.000000e+00
1.54,0.000000e+00
1.55,8.000000e-23
1.57,0.000000e+00
1.63,0.000000e+00
1.65,3.000000e-23
1.67,0.000000e+00
4,1.000000e-23
5,2.800000e-22
6,4.000000e-22
7,7.300000e-22
8,9.400000e-22
8.5,1.050000e-21
9,1.100000e-21
9.5,1.090000e-21
10,1.090000e-21
11,9.300000e-22
12,7.300000e-22
13,5.100000e-22
14,2.800000e-22
15,1.300000e-22
17,8.000000e-23
20,5.000000e-23
45,1.000000e-23
100,0.000000e+00
