# E + O2 -> E + X-3-Sigma_g-(0->4), Excitation | FLINDERS database, FLINDERS database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0.812,3.100000e-25
0.925,3.600000e-25
1.036,3.500000e-25
1.144,2.100000e-24
1.251,3.300000e-24
1.355,3.100000e-24
1.458,2.200000e-24
1.558,1.400000e-24
1.656,8.800000e-25
1.752,4.400000e-25
1.846,2.500000e-25
1.937,1.000000e-25
2.026,6.000000e-26
7,1.200000e-22
8,2.300000e-22
9,4.699999e-22
9.5,5.800000e-22
10,6.500000e-22
11,5.300000e-22
15,1.200000e-22
