# E + O2 <-> E + O2*(LB), Excitation | IAA (IAA), IAA (IAA), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
9.97,0.000000e+00
10.2036,2.425540e-25
10.4426,1.957919e-24
10.6872,6.726956e-24
10.9376,1.625794e-23
11.1938,3.228807e-23
11.4561,5.635144e-23
11.7245,8.940313e-23
11.9991,1.313830e-22
12.2802,1.809298e-22
12.5679,2.354831e-22
12.8623,2.918252e-22
13.1637,3.468196e-22
13.472,3.979966e-22
13.7877,4.437926e-22
14.1107,4.834893e-22
14.4412,5.170015e-22
14.7795,5.446442e-22
15.1258,5.669445e-22
15.4801,5.845126e-22
15.8428,5.979632e-22
16.2139,6.078738e-22
16.5938,6.147651e-22
16.9825,6.190948e-22
17.3803,6.212596e-22
17.7875,6.215995e-22
18.2042,6.204048e-22
18.6307,6.179219e-22
19.0672,6.143601e-22
19.5138,6.098968e-22
19.971,6.046826e-22
20.4388,5.988451e-22
20.9177,5.924930e-22
21.4077,5.857186e-22
21.9092,5.786004e-22
22.4225,5.712056e-22
22.9478,5.635912e-22
23.4854,5.558064e-22
24.0355,5.478928e-22
24.5986,5.398862e-22
25.1749,5.318173e-22
25.7646,5.237123e-22
26.3682,5.155937e-22
26.986,5.074807e-22
27.6182,4.993898e-22
28.2652,4.913350e-22
28.9273,4.833282e-22
29.605,4.753798e-22
30.2986,4.674983e-22
31.0084,4.596910e-22
31.7348,4.519642e-22
32.4782,4.443229e-22
33.2391,4.367715e-22
34.0178,4.293133e-22
34.8147,4.219514e-22
35.6303,4.146879e-22
36.465,4.075247e-22
37.3193,4.004630e-22
38.1936,3.935038e-22
39.0883,3.866478e-22
40.004,3.798952e-22
40.9412,3.732462e-22
41.9003,3.667006e-22
42.8819,3.602582e-22
43.8865,3.539183e-22
44.9146,3.476805e-22
45.9668,3.415439e-22
47.0437,3.355077e-22
48.1458,3.295710e-22
49.2737,3.237328e-22
50.428,3.179919e-22
51.6094,3.123473e-22
52.8184,3.067977e-22
54.0558,3.013420e-22
55.3221,2.959789e-22
56.6182,2.907072e-22
57.9445,2.855256e-22
59.302,2.804327e-22
60.6913,2.754274e-22
62.1131,2.705082e-22
63.5682,2.656738e-22
65.0574,2.609230e-22
66.5815,2.562544e-22
68.1413,2.516668e-22
69.7376,2.471588e-22
71.3713,2.427292e-22
73.0434,2.383767e-22
74.7545,2.340999e-22
76.5058,2.298978e-22
78.2981,2.257690e-22
80.1324,2.217123e-22
82.0096,2.177265e-22
83.9308,2.138104e-22
85.8971,2.099628e-22
87.9094,2.061826e-22
89.9688,2.024687e-22
92.0765,1.988198e-22
94.2335,1.952349e-22
96.4411,1.917130e-22
98.7005,1.882528e-22
101.013,1.848534e-22
103.379,1.815137e-22
105.801,1.782327e-22
108.279,1.750094e-22
110.816,1.718427e-22
113.412,1.687318e-22
116.069,1.656756e-22
118.788,1.626732e-22
121.571,1.597237e-22
124.419,1.568261e-22
127.334,1.539796e-22
130.317,1.511832e-22
133.37,1.484362e-22
136.494,1.457376e-22
139.692,1.430867e-22
142.964,1.404825e-22
146.314,1.379243e-22
149.741,1.354114e-22
153.249,1.329428e-22
156.839,1.305178e-22
160.514,1.281358e-22
164.274,1.257959e-22
168.123,1.234974e-22
172.061,1.212396e-22
176.092,1.190218e-22
180.217,1.168433e-22
184.439,1.147034e-22
188.76,1.126015e-22
193.182,1.105369e-22
197.708,1.085090e-22
202.339,1.065170e-22
207.079,1.045605e-22
211.931,1.026388e-22
216.896,1.007512e-22
221.977,9.889726e-23
227.177,9.707633e-23
232.499,9.528783e-23
237.946,9.353123e-23
243.52,9.180595e-23
249.225,9.011147e-23
255.064,8.844725e-23
261.039,8.681276e-23
267.154,8.520749e-23
273.413,8.363094e-23
279.818,8.208261e-23
286.373,8.056201e-23
293.082,7.906866e-23
299.948,7.760209e-23
306.975,7.616183e-23
314.166,7.474743e-23
321.526,7.335844e-23
329.059,7.199442e-23
336.767,7.065494e-23
344.657,6.933957e-23
352.731,6.804790e-23
360.994,6.677950e-23
369.451,6.553398e-23
378.106,6.431094e-23
386.964,6.310999e-23
396.03,6.193075e-23
405.307,6.077283e-23
414.802,5.963587e-23
424.52,5.851949e-23
434.465,5.742335e-23
444.643,5.634709e-23
455.06,5.529036e-23
465.721,5.425282e-23
476.631,5.323414e-23
487.797,5.223398e-23
499.224,5.125203e-23
510.92,5.028796e-23
522.889,4.934146e-23
535.139,4.841223e-23
547.675,4.749995e-23
560.505,4.660434e-23
573.636,4.572510e-23
587.075,4.486194e-23
600.828,4.401459e-23
614.904,4.318275e-23
629.309,4.236617e-23
644.052,4.156456e-23
659.14,4.077767e-23
674.581,4.000524e-23
690.385,3.924701e-23
706.558,3.850274e-23
723.111,3.777216e-23
740.051,3.705505e-23
757.388,3.635117e-23
775.131,3.566027e-23
793.29,3.498213e-23
811.874,3.431652e-23
830.894,3.366323e-23
850.359,3.302202e-23
870.28,3.239270e-23
890.668,3.177503e-23
911.534,3.116883e-23
932.888,3.057388e-23
954.743,2.998998e-23
977.109,2.941693e-23
1000,2.885455e-23
