# E + O2 <-> E + O2*(b1Î£g+), Excitation, Schwelle 1.627 eV | IAA (IAA), IAA (IAA), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
1.627,0.000000e+00
1.68035,1.923021e-24
1.73546,5.072415e-24
1.79237,8.902157e-24
1.85114,1.321993e-23
1.91185,1.791152e-23
1.97454,2.289686e-23
2.03929,2.811447e-23
2.10617,3.351434e-23
2.17523,3.905421e-23
2.24656,4.469725e-23
2.32023,5.041075e-23
2.39632,5.616517e-23
2.4749,6.193351e-23
2.55606,6.769086e-23
2.63988,7.341410e-23
2.72645,7.908165e-23
2.81586,8.467331e-23
2.9082,9.017011e-23
3.00357,9.555425e-23
3.10206,1.008090e-22
3.20378,1.059187e-22
3.30884,1.108686e-22
3.41735,1.156449e-22
3.52941,1.202350e-22
3.64515,1.246270e-22
3.76469,1.288099e-22
3.88814,1.327739e-22
4.01564,1.365100e-22
4.14733,1.400099e-22
4.28333,1.432667e-22
4.42379,1.462742e-22
4.56886,1.490270e-22
4.71868,1.515210e-22
4.87342,1.537527e-22
5.03323,1.557199e-22
5.19829,1.574209e-22
5.36875,1.588554e-22
5.54481,1.600236e-22
5.72663,1.609269e-22
5.91443,1.615674e-22
6.10838,1.619482e-22
6.30869,1.620732e-22
6.51556,1.619469e-22
6.72923,1.615749e-22
6.9499,1.609633e-22
7.1778,1.601190e-22
7.41318,1.590496e-22
7.65628,1.577632e-22
7.90735,1.562684e-22
8.16665,1.545745e-22
8.43446,1.526913e-22
8.71104,1.506287e-22
8.9967,1.483973e-22
9.29173,1.460077e-22
9.59643,1.434710e-22
9.91112,1.407983e-22
10.2361,1.380009e-22
10.5718,1.350902e-22
10.9185,1.320775e-22
11.2765,1.289743e-22
11.6463,1.257918e-22
12.0282,1.225410e-22
12.4227,1.192330e-22
12.83,1.158785e-22
13.2508,1.124878e-22
13.6853,1.090712e-22
14.1341,1.056385e-22
14.5976,1.021990e-22
15.0762,9.876170e-23
15.5706,9.533529e-23
16.0812,9.192786e-23
16.6086,8.854708e-23
17.1532,8.520013e-23
17.7157,8.189372e-23
18.2967,7.863404e-23
18.8967,7.542680e-23
19.5163,7.227719e-23
20.1563,6.918991e-23
20.8173,6.616918e-23
21.5,6.321873e-23
22.205,6.034180e-23
22.9332,5.754120e-23
23.6852,5.481928e-23
24.4619,5.217797e-23
25.2641,4.961877e-23
26.0925,4.714283e-23
26.9482,4.475090e-23
27.8319,4.244339e-23
28.7446,4.022040e-23
29.6872,3.808171e-23
30.6607,3.602682e-23
31.6661,3.405498e-23
32.7046,3.216521e-23
33.777,3.035631e-23
34.8847,2.862688e-23
36.0286,2.697537e-23
37.2101,2.540007e-23
38.4303,2.389913e-23
39.6906,2.247061e-23
40.9921,2.111245e-23
42.3364,1.982254e-23
43.7247,1.859869e-23
45.1585,1.743868e-23
46.6394,1.634023e-23
48.1688,1.530107e-23
49.7484,1.431891e-23
51.3798,1.339147e-23
53.0647,1.251646e-23
54.8048,1.169165e-23
56.602,1.091480e-23
58.4581,1.018373e-23
60.3751,9.496294e-24
62.355,8.850398e-24
64.3997,8.243997e-24
66.5116,7.675102e-24
68.6927,7.141783e-24
70.9453,6.642174e-24
73.2718,6.174469e-24
75.6745,5.736929e-24
78.1561,5.327881e-24
80.719,4.945716e-24
83.366,4.588893e-24
86.0998,4.255938e-24
88.9233,3.945440e-24
91.8393,3.656055e-24
94.8509,3.386502e-24
97.9614,3.135562e-24
101.174,2.902077e-24
104.492,2.684947e-24
107.918,2.483132e-24
111.457,2.295647e-24
115.112,2.121559e-24
118.887,1.959989e-24
122.785,1.810107e-24
126.812,1.671130e-24
130.97,1.542324e-24
135.265,1.422994e-24
139.701,1.312491e-24
144.282,1.210203e-24
149.013,1.115559e-24
153.9,1.028020e-24
158.947,9.470854e-25
164.159,8.722835e-25
169.542,8.031749e-25
175.102,7.393488e-25
180.844,6.804217e-25
186.774,6.260359e-25
192.899,5.758576e-25
199.225,5.295761e-25
205.758,4.869020e-25
212.505,4.475660e-25
219.474,4.113177e-25
226.671,3.779242e-25
234.104,3.471693e-25
241.781,3.188522e-25
249.71,2.927867e-25
257.898,2.687998e-25
266.356,2.467314e-25
275.09,2.264330e-25
284.111,2.077671e-25
293.428,1.906064e-25
303.05,1.748331e-25
312.988,1.603383e-25
323.252,1.470212e-25
333.852,1.347887e-25
344.8,1.235547e-25
356.106,1.132398e-25
367.784,1.037707e-25
379.845,9.507969e-26
392.301,8.710424e-26
405.166,7.978679e-26
418.452,7.307423e-26
432.174,6.691762e-26
446.346,6.127186e-26
460.983,5.609539e-26
476.1,5.134998e-26
491.712,4.700039e-26
507.837,4.301422e-26
524.49,3.936163e-26
541.69,3.601520e-26
559.453,3.294970e-26
577.799,3.014192e-26
596.747,2.757054e-26
616.316,2.521596e-26
636.526,2.306019e-26
657.399,2.108667e-26
678.957,1.928023e-26
701.222,1.762690e-26
724.217,1.611390e-26
747.966,1.472946e-26
772.494,1.346280e-26
797.826,1.230403e-26
823.989,1.124406e-26
851.009,1.027458e-26
878.916,9.387940e-27
907.738,8.577150e-27
937.505,7.835790e-27
968.249,7.157978e-27
1000,6.538323e-27
