# E + O2 -> E + O2(v=0 - v=4), Excitation, Schwelle 0.8 eV | IST-Lisbon database, IST-Lisbon database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0.8,0.000000e+00
0.9,1.000000e-23
1,1.900000e-23
1.1,2.500000e-23
1.2,3.000000e-23
1.3,3.300000e-23
1.4,3.400000e-23
1.5,3.100000e-23
1.6,2.700000e-23
1.7,1.900000e-23
1.8,0.000000e+00
6,0.000000e+00
6.1,3.000000e-23
6.2,6.000000e-23
6.3,9.000000e-23
6.4,1.150000e-22
6.5,1.350000e-22
6.6,1.600000e-22
6.7,1.800000e-22
6.8,2.000000e-22
6.9,2.300000e-22
7,2.750000e-22
7.1,2.750000e-22
7.2,2.800000e-22
7.3,2.900000e-22
7.4,3.000000e-22
7.5,3.050000e-22
7.6,3.100000e-22
7.7,3.200000e-22
7.8,3.300000e-22
7.9,3.400000e-22
8,3.500000e-22
8.1,3.550000e-22
8.2,3.600000e-22
8.3,3.650000e-22
8.4,3.720000e-22
8.5,3.800000e-22
8.6,3.850000e-22
8.7,3.900000e-22
8.8,3.970000e-22
8.9,4.040000e-22
9,4.080000e-22
9.1,4.130000e-22
9.2,4.200000e-22
9.3,4.280000e-22
9.4,4.330000e-22
9.5,4.400000e-22
9.6,4.430000e-22
9.7,4.480000e-22
9.8,4.510000e-22
9.9,4.570000e-22
10,4.630000e-22
10.1,4.460000e-22
10.2,4.300000e-22
10.3,4.130000e-22
10.4,3.970000e-22
10.5,3.800000e-22
10.6,3.670000e-22
10.7,3.530000e-22
10.8,3.400000e-22
10.9,3.260000e-22
11,3.130000e-22
11.1,3.060000e-22
11.2,3.000000e-22
11.3,2.930000e-22
11.4,2.870000e-22
11.5,2.800000e-22
11.6,2.740000e-22
11.7,2.680000e-22
11.8,2.620000e-22
11.9,2.560000e-22
12,2.500000e-22
12.1,2.440000e-22
12.2,2.380000e-22
12.3,2.320000e-22
12.4,2.260000e-22
12.5,2.200000e-22
12.6,2.110000e-22
12.7,2.020000e-22
12.8,1.930000e-22
12.9,1.840000e-22
13,1.750000e-22
13.1,1.670000e-22
13.2,1.590000e-22
13.3,1.510000e-22
13.4,1.430000e-22
13.5,1.350000e-22
13.6,1.260000e-22
13.7,1.160000e-22
13.8,1.070000e-22
13.9,9.700000e-23
14,8.800000e-23
14.1,7.200000e-23
14.2,5.600000e-23
14.3,4.000000e-23
14.4,2.400000e-23
14.5,8.000000e-24
14.6,6.000000e-24
14.7,5.000000e-24
14.8,3.000000e-24
14.9,2.000000e-24
15,0.000000e+00
40,0.000000e+00
100,0.000000e+00
200,0.000000e+00
500,0.000000e+00
1000,0.000000e+00
