# E + O2 -> E + O2, Effective | Morgan (Kinema Research & Software), Morgan (Kinema Research & Software), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0,3.500000e-21
0.001,3.500000e-21
0.002,3.600000e-21
0.003,4.000000e-21
0.005,5.000000e-21
0.007,5.800000e-21
0.0085,6.400000e-21
0.01,7.000000e-21
0.015,8.700000e-21
0.02,9.900000e-21
0.03,1.240000e-20
0.04,1.440000e-20
0.05,1.600000e-20
0.07,2.100000e-20
0.1,2.500000e-20
0.12,2.800000e-20
0.15,3.100000e-20
0.17,3.300000e-20
0.2,3.600000e-20
0.25,4.100000e-20
0.3,4.500000e-20
0.35,4.700000e-20
0.4,5.200000e-20
0.5,5.700000e-20
0.7,6.100000e-20
1,7.200000e-20
1.2,7.900000e-20
1.3,7.900000e-20
1.5,7.600000e-20
1.7,7.300000e-20
1.9,6.900000e-20
2.1,6.600000e-20
2.2,6.500000e-20
2.5,6.100000e-20
2.8,5.800000e-20
3,5.700000e-20
3.3,5.500000e-20
3.6,5.450000e-20
4,5.500000e-20
4.5,5.550000e-20
5,5.600000e-20
6,6.000000e-20
7,6.600000e-20
8,7.100000e-20
10,8.000000e-20
12,8.500000e-20
15,8.800000e-20
17,8.700000e-20
20,8.600000e-20
25,8.200000e-20
30,8.000000e-20
50,7.700000e-20
75,6.800000e-20
100,6.500000e-20
