# E + O2 -> E + O2(X), Elastic | MuroranIT (MuroranIT), MuroranIT (MuroranIT), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0,7.220000e-21
0.0008877,7.220000e-21
0.001161,6.809000e-21
0.001587,6.236000e-21
0.002044,5.939000e-21
0.002909,5.648000e-21
0.004394,5.648000e-21
0.007356,6.099000e-21
0.01002,6.625000e-21
0.01319,7.282000e-21
0.01707,8.051000e-21
0.02247,8.954000e-21
0.02858,1.008000e-20
0.03453,1.121000e-20
0.0403,1.261000e-20
0.04704,1.411000e-20
0.0549,1.598000e-20
0.05881,1.820000e-20
0.06632,2.173000e-20
0.0748,2.489000e-20
0.08211,2.894000e-20
0.08904,3.361000e-20
0.1014,3.755000e-20
0.1173,4.195000e-20
0.1401,4.509000e-20
0.1828,4.969000e-20
0.2205,5.295000e-20
0.2767,5.566000e-20
0.3644,5.850000e-20
0.4722,6.115000e-20
0.602,6.357000e-20
0.7431,6.646000e-20
0.9475,6.870000e-20
1.189,7.063000e-20
1.486,7.167000e-20
1.831,7.270000e-20
2.2,7.024000e-20
2.629,6.720000e-20
3.302,6.311000e-20
4.195,5.996000e-20
5.283,5.777000e-20
7.563,5.671000e-20
10.11,5.996000e-20
12.2,6.253000e-20
14.85,6.282000e-20
19.19,6.195000e-20
26.1,5.968000e-20
35.5,5.540000e-20
49.54,5.095000e-20
61.32,4.296000e-20
80.85,3.287000e-20
100.1,2.669000e-20
116.5,2.154000e-20
143.1,1.639000e-20
202.6,1.036000e-20
297.3,5.516000e-21
395.5,3.680000e-21
503.2,2.622000e-21
628.9,1.994000e-21
800.1,1.363000e-21
978.6,1.006000e-21
1454,6.250000e-22
1969,4.014000e-22
