# E + O2 -> E + O2(A' 3^Delta_u), Excitation, Schwelle 6.06 eV | MuroranIT (MuroranIT), MuroranIT (MuroranIT), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
6.06,0.000000e+00
6.0847,2.110500e-23
6.1222,4.244000e-23
6.1978,7.705700e-23
6.3713,1.190800e-22
6.5096,1.549500e-22
6.7953,2.306200e-22
7.04,3.058000e-22
7.5,4.026000e-22
8.06,4.894000e-22
8.5,5.449000e-22
9.05,5.656000e-22
9.54,5.656000e-22
10.1,5.578000e-22
10.62,5.474000e-22
11.44,5.217000e-22
12.73,4.739000e-22
13.99,4.153000e-22
15,3.596000e-22
15.61,3.227000e-22
16.18,2.761000e-22
16.99,2.198000e-22
17.8,1.729000e-22
18.65,1.444000e-22
19.3,1.281000e-22
20.03,1.163000e-22
21.41,1.032000e-22
23.36,8.826000e-23
25.14,7.828000e-23
26.6,7.111000e-23
28.51,6.307000e-23
30.01,5.460000e-23
74.131,4.291800e-24
173.78,3.908700e-25
416.87,3.336500e-26
1000,2.848100e-27
