# E + O2 -> E + O2(E 3^Sigma_u-, v=1), Excitation, Schwelle 10.28 eV | MuroranIT (MuroranIT), MuroranIT (MuroranIT), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
10.28,0.000000e+00
10.471,6.973600e-24
10.5,1.310000e-23
11,2.430000e-23
11.5,3.230000e-23
12,3.900000e-23
13,5.020000e-23
14,5.930000e-23
15,6.700000e-23
16,7.360000e-23
17,7.930000e-23
18,8.420000e-23
19,8.850000e-23
20,9.220000e-23
25,1.048000e-22
30,1.111000e-22
35,1.139000e-22
40,1.146000e-22
45,1.141000e-22
50,1.129000e-22
60,1.092000e-22
70,1.050000e-22
80,1.006000e-22
90,9.640000e-23
100,9.240000e-23
200,6.490000e-23
300,5.040000e-23
400,4.150000e-23
500,3.550000e-23
600,3.110000e-23
700,2.770000e-23
800,2.510000e-23
900,2.290000e-23
1000,2.120000e-23
2000,1.220000e-23
3000,8.800000e-24
4000,6.900000e-24
5000,5.700000e-24
