# E + O2 -> E + O2(a 1^Delta_g), Excitation, Schwelle 0.977 eV | MuroranIT (MuroranIT), MuroranIT (MuroranIT), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0.977,0.000000e+00
0.97724,1.009200e-25
1,2.404200e-25
1.021,5.263000e-25
1.12,2.491000e-24
1.216,9.540000e-24
1.346,2.721000e-23
1.5,5.800000e-23
1.743,9.263000e-23
2,1.530000e-22
2.497,2.551000e-22
3.002,3.852000e-22
3.512,4.762000e-22
3.996,5.484000e-22
4.985,7.191000e-22
5.995,8.185000e-22
7.077,8.785000e-22
7.978,8.282000e-22
8.994,7.538000e-22
10.05,7.023000e-22
13.01,5.357000e-22
14.93,4.134000e-22
17.96,3.266000e-22
21.2,2.836000e-22
26.556,2.534400e-22
35.175,2.189700e-22
44.271,1.816600e-22
52.493,1.400800e-22
58.639,1.080200e-22
63.311,8.817100e-23
67.201,7.374400e-23
71.446,5.764700e-23
78.687,4.147600e-23
89.748,2.943800e-23
99.707,2.207100e-23
110.76,1.796900e-23
130.83,1.329000e-23
165.71,1.038700e-23
200.91,8.693000e-24
268.21,6.701900e-24
501.19,3.586500e-24
1000,1.797500e-24
