# E + O2 -> E + O2(8.87 eV), Excitation, Schwelle 8.87 eV | MuroranIT (MuroranIT), MuroranIT (MuroranIT), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
8.87,0.000000e+00
8.91,3.016000e-24
8.961,9.277000e-24
9.013,2.050000e-23
9.117,4.531000e-23
9.275,8.323000e-23
9.71,1.655000e-22
10.4,3.000000e-22
11.14,4.343000e-22
12.35,6.288000e-22
13.85,8.300000e-22
15.44,1.012000e-21
17.72,1.218000e-21
20.69,1.371000e-21
23.87,1.427000e-21
28.84,1.301000e-21
34.64,1.095000e-21
42.58,8.300000e-22
49.99,6.542000e-22
57.69,5.157000e-22
67.72,3.856000e-22
81.82,2.699000e-22
94.96,1.965000e-22
110.9,1.431000e-22
129.4,1.015000e-22
146.8,7.688000e-23
173.3,5.310000e-23
208.2,3.525000e-23
501.19,4.956800e-24
1000,1.059900e-24
