# E + O2 -> E + O2 (10.5 eV), Excitation, Schwelle 10.5 eV | MuroranIT (MuroranIT), MuroranIT (MuroranIT), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
10.5,0.000000e+00
10.53,2.080000e-22
10.65,3.835000e-22
11.08,5.174000e-22
11.62,6.671000e-22
12.4,8.005000e-22
13.61,9.733000e-22
14.73,1.101000e-21
16.49,1.199000e-21
18.41,1.238000e-21
20.15,1.255000e-21
22.81,1.255000e-21
26.89,1.258000e-21
32.15,1.246000e-21
38.43,1.214000e-21
46.3,1.161000e-21
57.09,1.043000e-21
68.24,8.888000e-22
82.85,7.307000e-22
111.1,5.694000e-22
155,4.334000e-22
218.8,3.278000e-22
348.5,2.249000e-22
550.6,1.553000e-22
707.95,1.267000e-22
1000,9.579600e-23
