# E + O2 -> E + O2(VSUM), Excitation, Schwelle 0.193 eV | TRINITI database, TRINITI database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
0.193,0.000000e+00
0.2,7.500000e-22
0.21,7.500000e-22
0.23,0.000000e+00
0.32,0.000000e+00
0.33,3.000000e-21
0.35,0.000000e+00
0.44,0.000000e+00
0.45,1.410000e-20
0.47,0.000000e+00
0.56,0.000000e+00
0.57,1.820000e-20
0.59,0.000000e+00
0.68,0.000000e+00
0.69,2.070000e-20
0.71,0.000000e+00
0.79,0.000000e+00
0.8,1.780000e-20
0.82,0.000000e+00
0.9,0.000000e+00
0.91,1.500000e-20
0.93,0.000000e+00
1.02,0.000000e+00
1.03,1.010000e-20
1.05,0.000000e+00
1.13,0.000000e+00
1.14,7.610000e-21
1.16,0.000000e+00
1.23,0.000000e+00
1.24,5.420000e-21
1.26,0.000000e+00
1.34,0.000000e+00
1.35,3.110000e-21
1.37,0.000000e+00
1.44,0.000000e+00
1.45,2.330000e-21
1.47,0.000000e+00
1.54,0.000000e+00
1.55,1.210000e-21
1.57,0.000000e+00
1.63,0.000000e+00
1.65,7.630000e-22
1.67,0.000000e+00
3.5,0.000000e+00
4,3.180000e-23
5,9.760000e-22
6,2.090000e-21
7,4.920000e-21
8,6.660000e-21
9,7.710000e-21
10,7.540000e-21
11,6.010000e-21
12,4.780000e-21
13,3.290000e-21
14,1.950000e-21
15,8.650000e-22
20,1.990000e-22
45,0.000000e+00
1000,0.000000e+00
