# E + O2 -> E + E + O + O+, Ionization, Schwelle 19.5 eV | TRINITI database, TRINITI database, via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
19.5,0.000000e+00
20,1.310000e-23
21,4.310000e-23
22,8.210000e-23
23,1.520000e-22
24,2.390000e-22
25,3.480000e-22
30,1.010000e-21
40,2.690000e-21
50,4.370000e-21
60,5.710000e-21
70,6.890000e-21
80,8.000000e-21
90,8.570000e-21
100,9.160000e-21
150,1.030000e-20
200,9.750000e-21
300,8.150000e-21
400,6.640000e-21
500,5.360000e-21
1000,3.360000e-21
