# Anregung, Summe aller Prozesse | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 02 Sep 2026
Te_eV,K_m3s
0.5,7.755177e-15
0.55,8.111193e-15
0.6,8.330834e-15
0.65,8.445349e-15
0.7,8.480463e-15
0.75,8.456779e-15
0.8,8.390537e-15
0.85,8.294425e-15
0.9,8.178295e-15
0.95,8.049767e-15
1,7.914715e-15
1.05,7.777645e-15
1.1,7.641998e-15
1.15,7.510384e-15
1.2,7.384760e-15
1.25,7.266575e-15
1.3,7.156879e-15
1.35,7.056409e-15
1.4,6.965655e-15
1.45,6.884918e-15
1.5,6.814345e-15
1.55,6.753969e-15
1.6,6.703728e-15
1.65,6.663494e-15
1.7,6.633082e-15
1.75,6.612267e-15
1.8,6.600793e-15
1.85,6.598384e-15
1.9,6.604745e-15
1.95,6.619573e-15
2,6.642558e-15
2.05,6.673387e-15
2.1,6.711746e-15
2.15,6.757325e-15
2.2,6.809813e-15
2.25,6.868909e-15
2.3,6.934312e-15
2.35,7.005732e-15
2.4,7.082883e-15
2.45,7.165488e-15
2.5,7.253276e-15
2.55,7.345986e-15
2.6,7.443363e-15
2.65,7.545162e-15
2.7,7.651144e-15
2.75,7.761080e-15
2.8,7.874749e-15
2.85,7.991937e-15
2.9,8.112439e-15
2.95,8.236057e-15
3,8.362602e-15
3.05,8.491889e-15
3.1,8.623746e-15
3.15,8.758003e-15
3.2,8.894500e-15
3.25,9.033083e-15
3.3,9.173604e-15
3.35,9.315922e-15
3.4,9.459903e-15
3.45,9.605417e-15
3.5,9.752343e-15
3.55,9.900561e-15
3.6,1.004996e-14
3.65,1.020044e-14
3.7,1.035189e-14
3.75,1.050421e-14
3.8,1.065732e-14
3.85,1.081113e-14
3.9,1.096555e-14
3.95,1.112050e-14
4,1.127592e-14
4.05,1.143172e-14
4.1,1.158784e-14
4.15,1.174422e-14
4.2,1.190080e-14
4.25,1.205751e-14
4.3,1.221430e-14
4.35,1.237113e-14
4.4,1.252794e-14
4.45,1.268468e-14
4.5,1.284131e-14
4.55,1.299780e-14
4.6,1.315409e-14
4.65,1.331016e-14
4.7,1.346597e-14
4.75,1.362149e-14
4.8,1.377668e-14
4.85,1.393151e-14
4.9,1.408597e-14
4.95,1.424002e-14
5,1.439363e-14
5.05,1.454679e-14
5.1,1.469948e-14
5.15,1.485167e-14
5.2,1.500334e-14
5.25,1.515448e-14
5.3,1.530507e-14
5.35,1.545510e-14
5.4,1.560455e-14
5.45,1.575341e-14
5.5,1.590166e-14
5.55,1.604930e-14
5.6,1.619630e-14
5.65,1.634268e-14
5.7,1.648840e-14
5.75,1.663347e-14
5.8,1.677788e-14
5.85,1.692162e-14
5.9,1.706468e-14
5.95,1.720706e-14
6,1.734875e-14
6.05,1.748975e-14
6.1,1.763005e-14
6.15,1.776965e-14
6.2,1.790855e-14
6.25,1.804673e-14
6.3,1.818421e-14
6.35,1.832098e-14
6.4,1.845703e-14
6.45,1.859237e-14
6.5,1.872698e-14
6.55,1.886088e-14
6.6,1.899407e-14
6.65,1.912653e-14
6.7,1.925827e-14
6.75,1.938929e-14
6.8,1.951960e-14
6.85,1.964918e-14
6.9,1.977805e-14
6.95,1.990620e-14
7,2.003364e-14
7.05,2.016036e-14
7.1,2.028637e-14
7.15,2.041166e-14
7.2,2.053625e-14
7.25,2.066013e-14
7.3,2.078331e-14
7.35,2.090578e-14
7.4,2.102755e-14
7.45,2.114862e-14
7.5,2.126900e-14
7.55,2.138868e-14
7.6,2.150767e-14
7.65,2.162598e-14
7.7,2.174359e-14
7.75,2.186053e-14
7.8,2.197679e-14
7.85,2.209237e-14
7.9,2.220728e-14
7.95,2.232152e-14
8,2.243509e-14
8.05,2.254800e-14
8.1,2.266025e-14
8.15,2.277185e-14
8.2,2.288279e-14
8.25,2.299308e-14
8.3,2.310272e-14
8.35,2.321173e-14
8.4,2.332009e-14
8.45,2.342782e-14
8.5,2.353492e-14
8.55,2.364138e-14
8.6,2.374723e-14
8.65,2.385245e-14
8.7,2.395706e-14
8.75,2.406105e-14
8.8,2.416444e-14
8.85,2.426722e-14
8.9,2.436939e-14
8.95,2.447097e-14
9,2.457196e-14
9.05,2.467235e-14
9.1,2.477215e-14
9.15,2.487138e-14
9.2,2.497002e-14
9.25,2.506808e-14
9.3,2.516558e-14
9.35,2.526251e-14
9.4,2.535887e-14
9.45,2.545467e-14
9.5,2.554991e-14
9.55,2.564460e-14
9.6,2.573874e-14
9.65,2.583234e-14
9.7,2.592539e-14
9.75,2.601790e-14
9.8,2.610988e-14
9.85,2.620133e-14
9.9,2.629225e-14
9.95,2.638264e-14
10,2.647252e-14
10.05,2.656188e-14
10.1,2.665072e-14
10.15,2.673906e-14
10.2,2.682689e-14
10.25,2.691422e-14
10.3,2.700105e-14
10.35,2.708738e-14
10.4,2.717322e-14
10.45,2.725858e-14
10.5,2.734345e-14
10.55,2.742783e-14
10.6,2.751174e-14
10.65,2.759518e-14
10.7,2.767814e-14
10.75,2.776064e-14
10.8,2.784267e-14
10.85,2.792424e-14
10.9,2.800535e-14
10.95,2.808601e-14
11,2.816622e-14
11.05,2.824598e-14
11.1,2.832529e-14
11.15,2.840416e-14
11.2,2.848260e-14
11.25,2.856060e-14
11.3,2.863816e-14
11.35,2.871530e-14
11.4,2.879202e-14
11.45,2.886831e-14
11.5,2.894418e-14
11.55,2.901963e-14
11.6,2.909467e-14
11.65,2.916930e-14
11.7,2.924353e-14
11.75,2.931735e-14
11.8,2.939076e-14
11.85,2.946378e-14
11.9,2.953640e-14
11.95,2.960863e-14
12,2.968047e-14
12.05,2.975193e-14
12.1,2.982300e-14
12.15,2.989368e-14
12.2,2.996399e-14
12.25,3.003393e-14
12.3,3.010348e-14
12.35,3.017267e-14
12.4,3.024149e-14
