# Ionisation, integriert ueber die Querschnitte | IAA (IAA), IAA (IAA), via LXCat, abgerufen 02 Sep 2026
Te_eV,K_m3s
0.5,3.252576e-26
0.55,3.175195e-25
0.6,2.135906e-24
0.65,1.078396e-23
0.7,4.344044e-23
0.75,1.460186e-22
0.8,4.235906e-22
0.85,1.088194e-21
0.9,2.525863e-21
0.95,5.382091e-21
1,1.066237e-20
1.05,1.984244e-20
1.1,3.498200e-20
1.15,5.883513e-20
1.2,9.495198e-20
1.25,1.477666e-19
1.3,2.226681e-19
1.35,3.260527e-19
1.4,4.653565e-19
1.45,6.490694e-19
1.5,8.867309e-19
1.55,1.188910e-18
1.6,1.567171e-18
1.65,2.034029e-18
1.7,2.602894e-18
1.75,3.288005e-18
1.8,4.104370e-18
1.85,5.067685e-18
1.9,6.194267e-18
1.95,7.500977e-18
2,9.005145e-18
2.05,1.072450e-17
2.1,1.267708e-17
2.15,1.488121e-17
2.2,1.735538e-17
2.25,2.011821e-17
2.3,2.318839e-17
2.35,2.658462e-17
2.4,3.032558e-17
2.45,3.442981e-17
2.5,3.891576e-17
2.55,4.380169e-17
2.6,4.910563e-17
2.65,5.484538e-17
2.7,6.103844e-17
2.75,6.770200e-17
2.8,7.485292e-17
2.85,8.250769e-17
2.9,9.068243e-17
2.95,9.939286e-17
3,1.086543e-16
3.05,1.184815e-16
3.1,1.288890e-16
3.15,1.398908e-16
3.2,1.515003e-16
3.25,1.637307e-16
3.3,1.765945e-16
3.35,1.901038e-16
3.4,2.042703e-16
3.45,2.191051e-16
3.5,2.346190e-16
3.55,2.508221e-16
3.6,2.677243e-16
3.65,2.853347e-16
3.7,3.036623e-16
3.75,3.227153e-16
3.8,3.425018e-16
3.85,3.630292e-16
3.9,3.843045e-16
3.95,4.063343e-16
4,4.291248e-16
4.05,4.526818e-16
4.1,4.770106e-16
4.15,5.021162e-16
4.2,5.280032e-16
4.25,5.546757e-16
4.3,5.821374e-16
4.35,6.103920e-16
4.4,6.394424e-16
4.45,6.692914e-16
4.5,6.999415e-16
4.55,7.313945e-16
4.6,7.636524e-16
4.65,7.967166e-16
4.7,8.305882e-16
4.75,8.652680e-16
4.8,9.007567e-16
4.85,9.370545e-16
4.9,9.741614e-16
4.95,1.012077e-15
5,1.050802e-15
5.05,1.090334e-15
5.1,1.130672e-15
5.15,1.171817e-15
5.2,1.213765e-15
5.25,1.256516e-15
5.3,1.300068e-15
5.35,1.344419e-15
5.4,1.389566e-15
5.45,1.435508e-15
5.5,1.482241e-15
5.55,1.529764e-15
5.6,1.578072e-15
5.65,1.627164e-15
5.7,1.677036e-15
5.75,1.727685e-15
5.8,1.779107e-15
5.85,1.831298e-15
5.9,1.884256e-15
5.95,1.937976e-15
6,1.992455e-15
6.05,2.047688e-15
6.1,2.103671e-15
6.15,2.160401e-15
6.2,2.217872e-15
6.25,2.276081e-15
6.3,2.335023e-15
6.35,2.394693e-15
6.4,2.455087e-15
6.45,2.516201e-15
6.5,2.578029e-15
6.55,2.640567e-15
6.6,2.703809e-15
6.65,2.767752e-15
6.7,2.832389e-15
6.75,2.897717e-15
6.8,2.963729e-15
6.85,3.030421e-15
6.9,3.097789e-15
6.95,3.165825e-15
7,3.234526e-15
7.05,3.303887e-15
7.1,3.373901e-15
7.15,3.444564e-15
7.2,3.515871e-15
7.25,3.587815e-15
7.3,3.660393e-15
7.35,3.733598e-15
7.4,3.807425e-15
7.45,3.881869e-15
7.5,3.956924e-15
7.55,4.032586e-15
7.6,4.108848e-15
7.65,4.185706e-15
