# Anregung, Summe aller Prozesse | Itikawa database, Itikawa database, via LXCat, abgerufen 02 Sep 2026
Te_eV,K_m3s
0.5,4.189961e-16
0.55,4.155966e-16
0.6,4.144650e-16
0.65,4.167832e-16
0.7,4.234223e-16
0.75,4.350283e-16
0.8,4.520722e-16
0.85,4.748855e-16
0.9,5.036849e-16
0.95,5.385930e-16
1,5.796554e-16
1.05,6.268546e-16
1.1,6.801229e-16
1.15,7.393526e-16
1.2,8.044055e-16
1.25,8.751202e-16
1.3,9.513184e-16
1.35,1.032811e-15
1.4,1.119402e-15
1.45,1.210892e-15
1.5,1.307082e-15
1.55,1.407772e-15
1.6,1.512770e-15
1.65,1.621886e-15
1.7,1.734934e-15
1.75,1.851736e-15
1.8,1.972121e-15
1.85,2.095922e-15
1.9,2.222980e-15
1.95,2.353140e-15
2,2.486254e-15
2.05,2.622181e-15
2.1,2.760782e-15
2.15,2.901926e-15
2.2,3.045485e-15
2.25,3.191334e-15
2.3,3.339356e-15
2.35,3.489433e-15
2.4,3.641455e-15
2.45,3.795314e-15
2.5,3.950903e-15
2.55,4.108122e-15
2.6,4.266870e-15
2.65,4.427052e-15
2.7,4.588576e-15
2.75,4.751349e-15
2.8,4.915284e-15
2.85,5.080296e-15
2.9,5.246303e-15
2.95,5.413222e-15
3,5.580977e-15
3.05,5.749492e-15
3.1,5.918694e-15
3.15,6.088510e-15
3.2,6.258873e-15
3.25,6.429716e-15
3.3,6.600974e-15
3.35,6.772585e-15
3.4,6.944487e-15
3.45,7.116624e-15
3.5,7.288937e-15
3.55,7.461373e-15
3.6,7.633879e-15
3.65,7.806404e-15
3.7,7.978899e-15
3.75,8.151317e-15
3.8,8.323612e-15
3.85,8.495740e-15
3.9,8.667658e-15
3.95,8.839327e-15
4,9.010706e-15
4.05,9.181758e-15
4.1,9.352446e-15
4.15,9.522737e-15
4.2,9.692596e-15
4.25,9.861991e-15
4.3,1.003089e-14
4.35,1.019927e-14
4.4,1.036709e-14
4.45,1.053433e-14
4.5,1.070097e-14
4.55,1.086698e-14
4.6,1.103233e-14
4.65,1.119700e-14
4.7,1.136098e-14
4.75,1.152423e-14
4.8,1.168675e-14
4.85,1.184850e-14
4.9,1.200948e-14
4.95,1.216967e-14
5,1.232904e-14
5.05,1.248759e-14
5.1,1.264530e-14
5.15,1.280216e-14
5.2,1.295815e-14
5.25,1.311326e-14
