# E + O <-> E + O*((nd)3DÂ°), Excitation | IAA (IAA), IAA (IAA), via LXCat, abgerufen 02 Sep 2026
energy_eV,cross_section_m2
12.09,0.000000e+00
12.3613,1.327122e-31
12.6386,1.284412e-28
12.9221,7.417331e-27
13.2121,1.351010e-25
13.5085,1.298830e-24
13.8116,8.030118e-24
14.1214,3.256429e-23
14.4383,8.323559e-23
14.7622,1.472293e-22
15.0934,2.102395e-22
15.432,2.673116e-22
15.7782,3.178552e-22
16.1322,3.624131e-22
16.4942,4.017034e-22
16.8642,4.363912e-22
17.2426,4.670476e-22
17.6295,4.941550e-22
18.025,5.181212e-22
18.4294,5.392927e-22
18.8429,5.579664e-22
19.2656,5.743982e-22
19.6979,5.888105e-22
20.1398,6.013978e-22
20.5917,6.123311e-22
21.0537,6.217616e-22
21.526,6.298238e-22
22.009,6.366376e-22
22.5027,6.423104e-22
23.0076,6.469389e-22
23.5238,6.506105e-22
24.0516,6.534042e-22
24.5912,6.553917e-22
25.1429,6.566383e-22
25.707,6.572037e-22
26.2838,6.571424e-22
26.8735,6.565044e-22
27.4764,6.553357e-22
28.0929,6.536783e-22
28.7232,6.515714e-22
29.3676,6.490507e-22
30.0265,6.461495e-22
30.7001,6.428985e-22
31.3889,6.393261e-22
32.0932,6.354588e-22
32.8132,6.313210e-22
33.5494,6.269355e-22
34.3021,6.223236e-22
35.0717,6.175048e-22
35.8586,6.124977e-22
36.6631,6.073193e-22
37.4856,6.019855e-22
38.3267,5.965113e-22
39.1865,5.909107e-22
40.0657,5.851965e-22
40.9646,5.793809e-22
41.8837,5.734754e-22
42.8234,5.674904e-22
43.7842,5.614359e-22
44.7665,5.553212e-22
45.7709,5.491550e-22
46.7978,5.429454e-22
47.8477,5.367000e-22
48.9212,5.304259e-22
50.0188,5.241298e-22
51.141,5.178178e-22
52.2884,5.114958e-22
53.4616,5.051691e-22
54.661,4.988430e-22
55.8874,4.925221e-22
57.1412,4.862109e-22
58.4233,4.799135e-22
59.734,4.736337e-22
61.0742,4.673752e-22
62.4445,4.611413e-22
63.8454,4.549351e-22
65.2779,4.487595e-22
66.7424,4.426173e-22
68.2399,4.365109e-22
69.7709,4.304426e-22
71.3362,4.244146e-22
72.9367,4.184289e-22
74.5731,4.124872e-22
76.2462,4.065914e-22
77.9569,4.007429e-22
79.7059,3.949432e-22
81.4942,3.891935e-22
83.3226,3.834951e-22
85.192,3.778490e-22
87.1033,3.722562e-22
89.0575,3.667175e-22
91.0556,3.612339e-22
93.0985,3.558059e-22
95.1873,3.504342e-22
97.3229,3.451193e-22
99.5064,3.398617e-22
101.739,3.346618e-22
104.022,3.295200e-22
106.355,3.244365e-22
108.742,3.194115e-22
111.181,3.144453e-22
113.676,3.095379e-22
116.226,3.046894e-22
118.834,2.998999e-22
121.5,2.951693e-22
124.226,2.904975e-22
127.013,2.858845e-22
129.862,2.813302e-22
132.776,2.768343e-22
135.755,2.723967e-22
138.801,2.680172e-22
141.915,2.636955e-22
145.099,2.594314e-22
148.354,2.552245e-22
151.683,2.510746e-22
155.086,2.469813e-22
158.565,2.429442e-22
162.123,2.389630e-22
165.76,2.350372e-22
169.479,2.311666e-22
173.281,2.273505e-22
177.169,2.235887e-22
181.144,2.198806e-22
185.208,2.162259e-22
189.363,2.126240e-22
193.612,2.090744e-22
197.956,2.055768e-22
202.397,2.021305e-22
206.938,1.987351e-22
211.581,1.953901e-22
216.328,1.920949e-22
221.181,1.888491e-22
226.144,1.856522e-22
231.218,1.825035e-22
236.405,1.794026e-22
241.709,1.763490e-22
247.132,1.733420e-22
252.677,1.703813e-22
258.346,1.674662e-22
264.142,1.645962e-22
270.068,1.617708e-22
276.127,1.589894e-22
282.322,1.562516e-22
288.656,1.535567e-22
295.133,1.509042e-22
301.754,1.482937e-22
308.524,1.457245e-22
315.446,1.431961e-22
322.524,1.407081e-22
329.76,1.382598e-22
337.158,1.358508e-22
344.723,1.334806e-22
352.457,1.311486e-22
360.364,1.288542e-22
368.449,1.265971e-22
376.716,1.243767e-22
385.168,1.221925e-22
393.809,1.200439e-22
402.645,1.179306e-22
411.678,1.158519e-22
420.915,1.138075e-22
430.358,1.117967e-22
440.014,1.098192e-22
449.886,1.078745e-22
459.979,1.059621e-22
470.299,1.040815e-22
480.851,1.022322e-22
491.639,1.004138e-22
502.669,9.862593e-23
513.947,9.686802e-23
525.478,9.513965e-23
537.268,9.344039e-23
549.322,9.176981e-23
561.646,9.012747e-23
574.247,8.851294e-23
587.131,8.692581e-23
600.303,8.536566e-23
613.772,8.383206e-23
627.542,8.232463e-23
641.622,8.084294e-23
656.017,7.938662e-23
670.735,7.795525e-23
685.784,7.654846e-23
701.17,7.516586e-23
716.901,7.380708e-23
732.985,7.247173e-23
749.431,7.115945e-23
766.245,6.986987e-23
783.436,6.860264e-23
801.013,6.735739e-23
818.984,6.613378e-23
837.359,6.493147e-23
856.146,6.375011e-23
875.354,6.258936e-23
894.993,6.144889e-23
915.073,6.032837e-23
935.604,5.922749e-23
956.595,5.814592e-23
978.057,5.708334e-23
1000,5.603945e-23
