# E + Xe -> E + Xe(10D5)(11.979eV), Excitation, Schwelle 11.979 eV | Biagi (MagBoltz V8.97), S.F. Biagi, MagBoltz, transcribed by LXCat, abgerufen 2026-03-28
energy_eV,cross_section_m2
11.979,0.000000e+00
12.014,2.178490e-26
12.0504,4.449670e-26
12.0881,6.788650e-26
12.1271,9.197040e-26
12.1674,1.167650e-25
12.2092,1.422850e-25
12.2524,1.685490e-25
12.2972,1.955720e-25
12.3435,2.233710e-25
12.3914,2.519610e-25
12.4411,2.813600e-25
12.4925,3.115840e-25
12.5457,3.426490e-25
12.6007,3.745700e-25
12.6577,4.073630e-25
12.7167,4.410440e-25
12.7778,4.756290e-25
12.841,5.111310e-25
12.9064,5.475650e-25
12.9742,5.849470e-25
13.0443,6.232880e-25
13.1169,6.626020e-25
13.192,7.029010e-25
13.2698,7.441970e-25
13.3503,7.865020e-25
13.4336,8.298250e-25
13.5199,8.741750e-25
13.6092,9.195610e-25
13.7016,9.659900e-25
13.7973,1.013470e-24
13.8963,1.062000e-24
13.9988,1.111590e-24
14.105,1.162240e-24
14.2148,1.213960e-24
14.3285,1.266730e-24
14.4463,1.320560e-24
14.5681,1.375450e-24
14.6943,1.431390e-24
14.8248,1.488370e-24
14.96,1.546380e-24
15.0999,1.605410e-24
15.2447,1.665450e-24
15.3946,1.726490e-24
15.5498,1.788490e-24
15.7104,1.851460e-24
15.8767,1.915350e-24
16.0488,1.980150e-24
16.227,2.045820e-24
16.4114,2.112350e-24
16.6023,2.179690e-24
16.7999,2.247810e-24
17.0045,2.316660e-24
17.2162,2.386220e-24
17.4354,2.456430e-24
17.6623,2.527260e-24
17.8972,2.598630e-24
18.1403,2.670520e-24
18.392,2.742850e-24
18.6525,2.815580e-24
18.9222,2.888630e-24
19.2013,2.961950e-24
19.4903,3.035470e-24
19.7894,3.109130e-24
20.099,3.182840e-24
20.4195,3.256530e-24
20.7513,3.330140e-24
21.0947,3.403570e-24
21.4502,3.476750e-24
21.8182,3.549600e-24
22.1991,3.622030e-24
22.5934,3.693960e-24
23.0015,3.765290e-24
23.4241,3.835950e-24
23.8614,3.905830e-24
24.3141,3.974860e-24
24.7827,4.042930e-24
25.2678,4.109960e-24
25.77,4.175860e-24
26.2898,4.240530e-24
26.8278,4.303890e-24
27.3848,4.365850e-24
27.9613,4.426310e-24
28.5581,4.485190e-24
29.1759,4.542400e-24
29.8154,4.597870e-24
30.4774,4.651500e-24
31.1626,4.703220e-24
31.8719,4.752950e-24
32.6061,4.800610e-24
33.3661,4.846150e-24
34.1529,4.889480e-24
34.9672,4.930550e-24
35.8102,4.969290e-24
36.6829,5.005660e-24
37.5862,5.039590e-24
38.5212,5.071040e-24
39.4891,5.099980e-24
40.491,5.126350e-24
41.5281,5.150130e-24
42.6017,5.171290e-24
43.713,5.189810e-24
44.8633,5.205670e-24
46.0541,5.218860e-24
47.2867,5.229360e-24
48.5626,5.237190e-24
49.8834,5.242330e-24
51.2506,5.244800e-24
52.6658,5.244610e-24
54.1308,5.241780e-24
55.6473,5.236330e-24
57.217,5.228290e-24
58.8419,5.217680e-24
60.5239,5.204560e-24
62.265,5.188950e-24
64.0673,5.170910e-24
65.933,5.150470e-24
67.8642,5.127700e-24
69.8633,5.102650e-24
71.9326,5.075370e-24
74.0746,5.045940e-24
76.292,5.014410e-24
78.5872,4.980850e-24
80.9631,4.945330e-24
83.4225,4.907920e-24
85.9683,4.868700e-24
88.6036,4.827740e-24
91.3315,4.785120e-24
94.1553,4.740910e-24
97.0783,4.695200e-24
100.104,4.648050e-24
103.236,4.599550e-24
106.478,4.549780e-24
109.834,4.498820e-24
113.308,4.446750e-24
116.904,4.393640e-24
120.627,4.339570e-24
124.48,4.284620e-24
128.469,4.228870e-24
132.597,4.172380e-24
136.871,4.115240e-24
141.296,4.057520e-24
145.875,3.999280e-24
150.616,3.940590e-24
155.523,3.881530e-24
160.602,3.822150e-24
165.861,3.762530e-24
171.303,3.702710e-24
176.938,3.642770e-24
182.77,3.582760e-24
188.807,3.522740e-24
195.056,3.462750e-24
201.525,3.402850e-24
208.221,3.343100e-24
215.153,3.283530e-24
222.328,3.224190e-24
229.755,3.165120e-24
237.443,3.106370e-24
245.402,3.047970e-24
253.64,2.989960e-24
262.168,2.932380e-24
270.995,2.875250e-24
280.132,2.818610e-24
289.591,2.762480e-24
299.382,2.706890e-24
309.517,2.651870e-24
320.008,2.597440e-24
330.868,2.543620e-24
342.11,2.490430e-24
353.747,2.437880e-24
365.792,2.386000e-24
378.261,2.334800e-24
391.168,2.284290e-24
404.529,2.234480e-24
418.359,2.185380e-24
432.675,2.137000e-24
447.495,2.089360e-24
462.835,2.042450e-24
478.714,1.996280e-24
495.151,1.950860e-24
512.166,1.906190e-24
529.779,1.862270e-24
548.011,1.819100e-24
566.883,1.776690e-24
586.419,1.735020e-24
606.641,1.694110e-24
627.574,1.653950e-24
649.242,1.614530e-24
671.672,1.575860e-24
694.89,1.537930e-24
718.925,1.500730e-24
743.803,1.464260e-24
769.557,1.428520e-24
796.215,1.393490e-24
823.809,1.359180e-24
852.374,1.325570e-24
881.942,1.292650e-24
912.55,1.260430e-24
944.233,1.228880e-24
977.03,1.198020e-24
