# E + Xe -> E + Xe(2P6)(9.821eV), Excitation, Schwelle 9.821 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 28 Mar 2026
energy_eV,cross_section_m2
9.8211,0.000000e+00
9.8212,1.453330e-26
9.85624,5.107310e-24
9.89262,1.039410e-23
9.93028,1.586670e-23
9.96925,2.153160e-23
10.0096,2.751720e-23
10.0514,3.411630e-23
10.0946,4.094730e-23
10.1394,4.801840e-23
10.1857,5.533800e-23
10.2336,6.291480e-23
10.2833,7.075780e-23
10.3347,7.887650e-23
10.3879,8.728050e-23
10.4429,9.597980e-23
10.4999,1.049850e-22
10.5589,1.099480e-22
10.62,1.150780e-22
10.6832,1.203880e-22
10.7486,1.258850e-22
10.8164,1.315740e-22
10.8865,1.374640e-22
10.9591,1.435610e-22
11.0342,1.500780e-22
11.112,1.570770e-22
11.1925,1.643230e-22
11.2758,1.718230e-22
11.3621,1.795870e-22
11.4514,1.876230e-22
11.5438,1.943650e-22
11.6395,1.995320e-22
11.7385,2.048800e-22
11.841,2.104170e-22
11.9472,2.161480e-22
12.057,2.204830e-22
12.1707,2.234400e-22
12.2885,2.265000e-22
12.4103,2.296680e-22
12.5365,2.328020e-22
12.667,2.356740e-22
12.8022,2.386480e-22
12.9421,2.417260e-22
13.0869,2.447380e-22
13.2368,2.477360e-22
13.392,2.508400e-22
13.5526,2.539470e-22
13.7189,2.569400e-22
13.891,2.600380e-22
14.0692,2.621380e-22
14.2536,2.625070e-22
14.4445,2.628890e-22
14.6421,2.632840e-22
14.8467,2.636930e-22
15.0585,2.654030e-22
15.2776,2.706630e-22
15.5045,2.761090e-22
15.7394,2.817460e-22
15.9825,2.875810e-22
16.2342,2.901080e-22
16.4947,2.924520e-22
16.7644,2.948790e-22
17.0435,2.973920e-22
17.3325,2.999920e-22
17.6316,3.026840e-22
17.9412,3.054710e-22
18.2617,3.044300e-22
18.5935,3.024390e-22
18.9369,3.003790e-22
19.2924,2.982460e-22
19.6604,2.960380e-22
20.0413,2.938020e-22
20.4356,2.919090e-22
20.8437,2.899500e-22
21.2662,2.879220e-22
21.7036,2.858230e-22
22.1563,2.836500e-22
22.6249,2.814000e-22
23.11,2.790720e-22
23.6122,2.766620e-22
24.132,2.741670e-22
24.67,2.715840e-22
25.227,2.672760e-22
25.8035,2.603580e-22
26.4003,2.531960e-22
27.0181,2.457830e-22
27.6576,2.381090e-22
28.3195,2.301650e-22
29.0048,2.219430e-22
29.7141,2.134310e-22
30.4483,2.062340e-22
31.2083,1.998500e-22
31.995,1.932420e-22
32.8094,1.864010e-22
33.6524,1.793200e-22
34.5251,1.719900e-22
35.4284,1.667150e-22
36.3634,1.639100e-22
37.3313,1.610060e-22
38.3332,1.580000e-22
39.3703,1.548890e-22
40.4439,1.518020e-22
41.5552,1.488010e-22
42.7055,1.456950e-22
43.8963,1.424800e-22
45.1289,1.391520e-22
46.4048,1.357070e-22
47.7256,1.321410e-22
49.0928,1.284490e-22
50.508,1.247810e-22
51.973,1.212650e-22
53.4895,1.176250e-22
55.0592,1.138580e-22
56.6841,1.099580e-22
58.3661,1.059210e-22
60.1072,1.018710e-22
61.9095,9.970850e-23
63.7752,9.746980e-23
65.7064,9.515230e-23
67.7055,9.275340e-23
69.7748,9.027020e-23
71.9168,8.769980e-23
74.1342,8.503900e-23
76.4294,8.228470e-23
78.8053,7.943360e-23
81.2647,7.686180e-23
83.8105,7.457050e-23
86.4458,7.219880e-23
89.1737,6.974370e-23
91.9975,6.720230e-23
94.9205,6.457160e-23
97.9462,6.184840e-23
101.078,5.951480e-23
104.32,5.805580e-23
107.676,5.654560e-23
111.15,5.498230e-23
114.746,5.336410e-23
118.469,5.168900e-23
122.322,5.018720e-23
126.311,4.879120e-23
130.44,4.734610e-23
134.714,4.585020e-23
139.138,4.430180e-23
143.717,4.300870e-23
148.458,4.174450e-23
153.365,4.043600e-23
158.445,3.908140e-23
163.703,3.767930e-23
169.146,3.622780e-23
174.78,3.520340e-23
180.612,3.423130e-23
186.649,3.322520e-23
192.898,3.218360e-23
199.367,3.110550e-23
206.063,3.033300e-23
212.995,2.957060e-23
220.17,2.878130e-23
227.597,2.796430e-23
235.286,2.711860e-23
243.244,2.624320e-23
251.482,2.533700e-23
260.01,2.439890e-23
268.837,2.342790e-23
277.975,2.242280e-23
287.433,2.138230e-23
297.224,2.030530e-23
307.359,1.970560e-23
317.851,1.928600e-23
328.711,1.885160e-23
339.952,1.840190e-23
351.589,1.793640e-23
363.635,1.745460e-23
376.103,1.695590e-23
389.01,1.643960e-23
402.371,1.592890e-23
416.201,1.551400e-23
430.518,1.508450e-23
445.337,1.463990e-23
460.677,1.417970e-23
476.556,1.370330e-23
492.993,1.321020e-23
510.008,1.269970e-23
527.621,1.217140e-23
545.853,1.162440e-23
564.725,1.105820e-23
584.261,1.047220e-23
604.483,9.943960e-24
625.416,9.682300e-24
647.085,9.411440e-24
669.514,9.131070e-24
692.733,8.840840e-24
716.767,8.540410e-24
741.646,8.229430e-24
767.399,7.907520e-24
794.057,7.574290e-24
821.652,7.337610e-24
850.216,7.123380e-24
879.785,6.901610e-24
910.392,6.672060e-24
942.075,6.434430e-24
974.872,6.188460e-24
