# E + Xe -> E + Xe(2P7)(9.789eV), Excitation, Schwelle 9.789 eV | Biagi (MagBoltz V8.97), S.F. Biagi, MagBoltz, transcribed by LXCat, abgerufen 2026-03-28
energy_eV,cross_section_m2
9.7893,0.000000e+00
9.7894,3.132420e-26
9.82444,1.100800e-23
9.86082,2.240280e-23
9.89847,3.419810e-23
9.93745,4.640790e-23
9.9778,5.904670e-23
10.0196,6.999200e-23
10.0628,7.881180e-23
10.1076,8.794160e-23
10.1539,9.739220e-23
10.2018,1.071750e-22
10.2515,1.173010e-22
10.3029,1.277840e-22
10.356,1.386340e-22
10.4111,1.498660e-22
10.4681,1.614930e-22
10.5271,1.725530e-22
10.5882,1.828130e-22
10.6514,1.934330e-22
10.7168,2.044270e-22
10.7846,2.158060e-22
10.8547,2.275860e-22
10.9273,2.397800e-22
11.0024,2.522870e-22
11.0802,2.616200e-22
11.1607,2.712810e-22
11.244,2.812810e-22
11.3303,2.916330e-22
11.4196,3.023480e-22
11.512,3.128640e-22
11.6077,3.197530e-22
11.7067,3.268840e-22
11.8093,3.342660e-22
11.9154,3.419070e-22
12.0252,3.492110e-22
12.1389,3.546700e-22
12.2567,3.603200e-22
12.3785,3.661690e-22
12.5046,3.721670e-22
12.6352,3.768680e-22
12.7704,3.817330e-22
12.9103,3.867700e-22
13.0551,3.913220e-22
13.205,3.949200e-22
13.3602,3.986440e-22
13.5208,4.024990e-22
13.6871,4.064900e-22
13.8592,4.106210e-22
14.0374,4.142240e-22
14.2218,4.153310e-22
14.4127,4.164760e-22
14.6103,4.176620e-22
14.8149,4.188890e-22
15.0267,4.200000e-22
15.2458,4.200000e-22
15.4727,4.200000e-22
15.7076,4.200000e-22
15.9507,4.200000e-22
16.2024,4.169640e-22
16.4629,4.130560e-22
16.7326,4.090110e-22
17.0117,4.048240e-22
17.3007,4.004900e-22
17.5998,3.960030e-22
17.9094,3.913590e-22
18.2299,3.851720e-22
18.5617,3.782050e-22
18.9051,3.709930e-22
19.2606,3.635280e-22
19.6286,3.558000e-22
20.0095,3.478410e-22
20.4038,3.412160e-22
20.8119,3.343590e-22
21.2344,3.272610e-22
21.6718,3.199140e-22
22.1245,3.123080e-22
22.5931,3.044350e-22
23.0782,2.962860e-22
23.5804,2.878500e-22
24.1002,2.791170e-22
24.6382,2.700780e-22
25.1952,2.607210e-22
25.7717,2.510350e-22
26.3685,2.410090e-22
26.9863,2.306300e-22
27.6258,2.198870e-22
28.2877,2.087660e-22
28.973,1.972540e-22
29.6823,1.853380e-22
30.4165,1.755020e-22
31.1765,1.672940e-22
31.9632,1.587970e-22
32.7776,1.500020e-22
33.6206,1.408970e-22
34.4933,1.314730e-22
35.3965,1.236210e-22
36.3316,1.180100e-22
37.2995,1.122030e-22
38.3014,1.061920e-22
39.3385,9.996890e-23
40.4121,9.464010e-23
41.5234,9.097290e-23
42.6737,8.717670e-23
43.8645,8.324720e-23
45.0971,7.917950e-23
46.373,7.496900e-23
47.6938,7.061040e-23
49.061,6.609870e-23
50.4762,6.199990e-23
51.9412,5.892350e-23
53.4577,5.573890e-23
55.0274,5.244250e-23
56.6523,4.903010e-23
58.3343,4.549790e-23
60.0754,4.193210e-23
61.8777,4.031000e-23
63.7434,3.863090e-23
65.6746,3.689290e-23
67.6737,3.509370e-23
69.743,3.323130e-23
71.885,3.130350e-23
74.1024,2.930790e-23
76.3976,2.724220e-23
78.7735,2.510380e-23
81.2329,2.344520e-23
83.7787,2.229960e-23
86.414,2.111370e-23
89.1419,1.988610e-23
91.9657,1.861540e-23
94.8887,1.730010e-23
97.9144,1.593850e-23
101.046,1.479070e-23
104.289,1.414230e-23
107.645,1.347110e-23
111.119,1.277630e-23
114.715,1.205710e-23
118.437,1.131260e-23
122.29,1.066410e-23
126.279,1.007910e-23
130.408,9.473510e-24
134.682,8.846660e-24
139.106,8.197790e-24
143.686,7.526110e-24
148.426,6.830830e-24
153.333,6.400000e-24
158.413,6.095230e-24
163.671,5.779740e-24
169.114,5.453170e-24
174.748,5.115120e-24
180.58,4.765190e-24
186.617,4.402970e-24
192.867,4.028010e-24
199.335,3.639880e-24
206.032,3.485400e-24
212.963,3.353700e-24
220.138,3.217370e-24
227.565,3.076260e-24
235.254,2.930180e-24
243.212,2.778970e-24
251.45,2.622440e-24
259.978,2.460420e-24
268.805,2.292700e-24
277.943,2.119090e-24
287.401,1.939370e-24
297.192,1.753340e-24
307.328,1.645780e-24
317.819,1.568140e-24
328.679,1.487780e-24
339.92,1.404590e-24
351.557,1.318480e-24
363.603,1.229340e-24
376.072,1.137070e-24
388.979,1.041560e-24
402.339,9.538010e-25
416.17,9.171510e-25
430.486,8.792130e-25
445.305,8.399410e-25
460.645,7.992900e-25
476.524,7.572100e-25
492.962,7.136520e-25
509.976,6.685620e-25
527.589,6.218880e-25
545.821,5.735740e-25
564.694,5.235620e-25
584.229,4.717930e-25
604.451,4.269950e-25
625.384,4.128660e-25
647.053,3.982390e-25
669.483,3.830990e-25
692.701,3.674270e-25
716.735,3.512040e-25
741.614,3.344110e-25
767.367,3.170270e-25
794.025,2.990330e-25
821.62,2.804070e-25
850.184,2.611250e-25
879.753,2.411670e-25
910.36,2.205070e-25
942.044,1.991210e-25
974.84,1.769830e-25
