# E + Xe -> E + Xe(9D5)(11.942eV), Excitation, Schwelle 11.942 eV | Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.), via LXCat, abgerufen 28 Mar 2026
energy_eV,cross_section_m2
11.9417,0.000000e+00
11.9767,2.196810e-26
12.0131,4.486900e-26
12.0508,6.845310e-26
12.0898,9.273660e-26
12.1301,1.177360e-25
12.1719,1.434680e-25
12.2151,1.699480e-25
12.2599,1.971930e-25
12.3062,2.252200e-25
12.3541,2.540450e-25
12.4038,2.836850e-25
12.4552,3.141550e-25
12.5084,3.454730e-25
12.5634,3.776530e-25
12.6204,4.107120e-25
12.6794,4.446660e-25
12.7405,4.795290e-25
12.8037,5.153160e-25
12.8691,5.520430e-25
12.9369,5.897230e-25
13.007,6.283700e-25
13.0796,6.679960e-25
13.1547,7.086140e-25
13.2325,7.502370e-25
13.313,7.928740e-25
13.3963,8.365370e-25
13.4826,8.812330e-25
13.5719,9.269720e-25
13.6643,9.737610e-25
13.76,1.021610e-24
13.859,1.070510e-24
13.9616,1.120480e-24
14.0677,1.171520e-24
14.1775,1.223630e-24
14.2912,1.276800e-24
14.409,1.331040e-24
14.5308,1.386330e-24
14.657,1.442690e-24
14.7875,1.500090e-24
14.9227,1.558530e-24
15.0626,1.618000e-24
15.2074,1.678470e-24
15.3573,1.739950e-24
15.5125,1.802400e-24
15.6731,1.865820e-24
15.8394,1.930160e-24
16.0115,1.995420e-24
16.1897,2.061550e-24
16.3741,2.128540e-24
16.565,2.196350e-24
16.7626,2.264930e-24
16.9672,2.334260e-24
17.179,2.404290e-24
17.3981,2.474970e-24
17.625,2.546260e-24
17.8599,2.618100e-24
18.103,2.690460e-24
18.3547,2.763260e-24
18.6152,2.836440e-24
18.8849,2.909960e-24
19.164,2.983740e-24
19.453,3.057710e-24
19.7521,3.131820e-24
20.0617,3.205970e-24
20.3822,3.280100e-24
20.714,3.354140e-24
21.0574,3.428000e-24
21.4129,3.501600e-24
21.7809,3.574860e-24
22.1618,3.647690e-24
22.5561,3.720000e-24
22.9642,3.791720e-24
23.3867,3.862740e-24
23.8241,3.932990e-24
24.2768,4.002360e-24
24.7454,4.070770e-24
25.2305,4.138120e-24
25.7327,4.204330e-24
26.2525,4.269290e-24
26.7905,4.332930e-24
27.3475,4.395150e-24
27.924,4.455860e-24
28.5208,4.514980e-24
29.1386,4.572410e-24
29.7781,4.628070e-24
30.44,4.681890e-24
31.1253,4.733780e-24
31.8346,4.783660e-24
32.5688,4.831460e-24
33.3288,4.877110e-24
34.1155,4.920540e-24
34.9299,4.961690e-24
35.7729,5.000490e-24
36.6456,5.036900e-24
37.5489,5.070860e-24
38.4839,5.102320e-24
39.4518,5.131250e-24
40.4537,5.157600e-24
41.4908,5.181330e-24
42.5644,5.202440e-24
43.6757,5.220880e-24
44.826,5.236640e-24
46.0168,5.249720e-24
47.2494,5.260100e-24
48.5253,5.267780e-24
49.8461,5.272760e-24
51.2133,5.275060e-24
52.6285,5.274680e-24
54.0935,5.271650e-24
55.61,5.265980e-24
57.1797,5.257710e-24
58.8046,5.246870e-24
60.4866,5.233490e-24
62.2277,5.217620e-24
64.03,5.199300e-24
65.8957,5.178590e-24
67.8269,5.155520e-24
69.826,5.130160e-24
71.8953,5.102580e-24
74.0373,5.072820e-24
76.2547,5.040960e-24
78.5499,5.007070e-24
80.9258,4.971210e-24
83.3852,4.933450e-24
85.931,4.893880e-24
88.5663,4.852560e-24
91.2942,4.809580e-24
94.118,4.765010e-24
97.041,4.718920e-24
100.067,4.671400e-24
103.199,4.622530e-24
106.441,4.572390e-24
109.797,4.521050e-24
113.271,4.468600e-24
116.867,4.415120e-24
120.589,4.360670e-24
124.443,4.305340e-24
128.431,4.249210e-24
132.56,4.192350e-24
136.834,4.134840e-24
141.258,4.076740e-24
145.838,4.018130e-24
150.578,3.959070e-24
155.486,3.899640e-24
160.565,3.839900e-24
165.823,3.779920e-24
171.266,3.719750e-24
176.9,3.659460e-24
182.732,3.599100e-24
188.769,3.538720e-24
195.019,3.478400e-24
201.488,3.418160e-24
208.184,3.358070e-24
215.115,3.298170e-24
222.291,3.238510e-24
229.718,3.179120e-24
237.406,3.120050e-24
245.364,3.061340e-24
253.603,3.003030e-24
262.13,2.945140e-24
270.958,2.887720e-24
280.095,2.830780e-24
289.554,2.774370e-24
299.345,2.718500e-24
309.48,2.663200e-24
319.971,2.608500e-24
330.831,2.554410e-24
342.073,2.500960e-24
353.709,2.448160e-24
365.755,2.396030e-24
378.224,2.344580e-24
391.131,2.293820e-24
404.492,2.243770e-24
418.322,2.194440e-24
432.638,2.145840e-24
447.457,2.097970e-24
462.798,2.050850e-24
478.677,2.004470e-24
495.114,1.958840e-24
512.129,1.913960e-24
529.742,1.869840e-24
547.973,1.826480e-24
566.846,1.783870e-24
586.381,1.742020e-24
606.604,1.700930e-24
627.537,1.660590e-24
649.205,1.621000e-24
671.635,1.582160e-24
694.853,1.544060e-24
718.887,1.506700e-24
743.766,1.470070e-24
769.519,1.434170e-24
796.177,1.399000e-24
823.772,1.364530e-24
852.337,1.330780e-24
881.905,1.297720e-24
912.513,1.265360e-24
944.196,1.233690e-24
976.992,1.202690e-24
