# E + Xe, Excitation, Schwelle 11.58 eV | Hayashi database, Hayashi database, via LXCat, abgerufen 29 Mar 2026
energy_eV,cross_section_m2
11.58,0.000000e+00
12,9.000000e-24
12.5,1.950000e-23
13,3.000000e-23
13.5,3.900000e-23
14,4.950000e-23
14.5,5.850000e-23
15,6.600000e-23
15.5,7.050000e-23
16,7.650000e-23
18,9.300000e-23
20,1.050000e-22
22,1.130000e-22
25,1.220000e-22
30,1.280000e-22
35,1.280000e-22
40,1.260000e-22
50,1.230000e-22
60,1.140000e-22
80,1.020000e-22
100,9.150000e-23
120,8.400000e-23
150,7.350000e-23
200,6.150000e-23
300,4.800000e-23
500,3.300000e-23
1000,1.950000e-23
