# E + Xe, Excitation, Schwelle 9.891 eV | Hayashi (NIFS-DATA-079), M. Hayashi (2003), NIFS-DATA-079, via LXCat, abgerufen 2026-03-29
energy_eV,cross_section_m2
9.891,0.000000e+00
10,1.700000e-22
10.2,5.600000e-22
10.5,1.200000e-21
10.7,1.600000e-21
11,2.250000e-21
11.2,2.750000e-21
11.5,3.470000e-21
12,4.720000e-21
12.5,5.970000e-21
13,6.720000e-21
13.5,7.100000e-21
14,7.200000e-21
14.5,7.120000e-21
15,6.970000e-21
15.5,6.770000e-21
16,6.520000e-21
18,5.600000e-21
20,4.940000e-21
22,4.500000e-21
25,4.300000e-21
30,4.500000e-21
35,4.300000e-21
40,4.000000e-21
50,3.400000e-21
60,2.960000e-21
80,2.400000e-21
100,2.000000e-21
120,1.730000e-21
150,1.480000e-21
200,1.180000e-21
300,8.600000e-22
500,5.800000e-22
1000,3.400000e-22
