# Anregung: e + Xe -> e + Xe(10D2) bei 11.989 eV, Schwelle 11.989 eV | Xenon (xenon, biagi) | tabelliert
Te_eV,K_m3s
0.5,4.559956e-27
0.55,4.234409e-26
0.6,2.722835e-25
0.65,1.319315e-24
0.7,5.116912e-24
0.75,1.660549e-23
0.8,4.661529e-23
0.85,1.161167e-22
0.9,2.617921e-22
0.95,5.426405e-22
1,1.047140e-21
1.05,1.900392e-21
1.1,3.270675e-21
1.15,5.374917e-21
1.2,8.482713e-21
1.25,1.291869e-20
1.3,1.906311e-20
1.35,2.735086e-20
1.4,3.826883e-20
1.45,5.235204e-20
1.5,7.017870e-20
1.55,9.236446e-20
1.6,1.195561e-19
1.65,1.524251e-19
1.7,1.916607e-19
1.75,2.379636e-19
1.8,2.920396e-19
1.85,3.545934e-19
1.9,4.263234e-19
1.95,5.079163e-19
2,6.000429e-19
2.05,7.033538e-19
2.1,8.184764e-19
2.15,9.460114e-19
2.2,1.086531e-18
2.25,1.240576e-18
2.3,1.408656e-18
2.35,1.591247e-18
2.4,1.788790e-18
2.45,2.001693e-18
2.5,2.230328e-18
2.55,2.475033e-18
2.6,2.736114e-18
2.65,3.013840e-18
2.7,3.308450e-18
2.75,3.620151e-18
2.8,3.949118e-18
2.85,4.295497e-18
2.9,4.659405e-18
2.95,5.040932e-18
3,5.440141e-18
3.05,5.857071e-18
3.1,6.291737e-18
3.15,6.744131e-18
3.2,7.214225e-18
3.25,7.701969e-18
3.3,8.207296e-18
3.35,8.730123e-18
3.4,9.270346e-18
3.45,9.827849e-18
3.5,1.040250e-17
3.55,1.099416e-17
3.6,1.160267e-17
3.65,1.222786e-17
3.7,1.286956e-17
3.75,1.352757e-17
3.8,1.420171e-17
3.85,1.489176e-17
3.9,1.559753e-17
3.95,1.631879e-17
4,1.705533e-17
4.05,1.780690e-17
4.1,1.857330e-17
4.15,1.935427e-17
4.2,2.014958e-17
4.25,2.095900e-17
4.3,2.178227e-17
4.35,2.261916e-17
4.4,2.346942e-17
4.45,2.433280e-17
4.5,2.520905e-17
4.55,2.609793e-17
4.6,2.699919e-17
4.65,2.791257e-17
4.7,2.883785e-17
4.75,2.977476e-17
4.8,3.072306e-17
4.85,3.168251e-17
4.9,3.265288e-17
4.95,3.363390e-17
5,3.462536e-17
5.05,3.562701e-17
5.1,3.663862e-17
5.15,3.765995e-17
5.2,3.869077e-17
5.25,3.973087e-17
5.3,4.078000e-17
5.35,4.183796e-17
5.4,4.290452e-17
5.45,4.397946e-17
5.5,4.506256e-17
5.55,4.615363e-17
5.6,4.725244e-17
5.65,4.835880e-17
5.7,4.947250e-17
5.75,5.059334e-17
5.8,5.172113e-17
5.85,5.285567e-17
5.9,5.399676e-17
5.95,5.514423e-17
6,5.629789e-17
6.05,5.745755e-17
6.1,5.862304e-17
6.15,5.979418e-17
6.2,6.097080e-17
6.25,6.215273e-17
6.3,6.333980e-17
6.35,6.453185e-17
6.4,6.572872e-17
6.45,6.693024e-17
6.5,6.813627e-17
6.55,6.934665e-17
6.6,7.056124e-17
6.65,7.177987e-17
6.7,7.300242e-17
6.75,7.422873e-17
6.8,7.545868e-17
6.85,7.669211e-17
6.9,7.792891e-17
6.95,7.916894e-17
7,8.041206e-17
7.05,8.165816e-17
7.1,8.290711e-17
7.15,8.415879e-17
7.2,8.541308e-17
7.25,8.666986e-17
7.3,8.792902e-17
7.35,8.919045e-17
7.4,9.045404e-17
7.45,9.171968e-17
7.5,9.298726e-17
7.55,9.425669e-17
7.6,9.552786e-17
7.65,9.680066e-17
7.7,9.807502e-17
7.75,9.935083e-17
7.8,1.006280e-16
7.85,1.019064e-16
7.9,1.031860e-16
7.95,1.044667e-16
8,1.057484e-16
8.05,1.070310e-16
8.1,1.083145e-16
8.15,1.095987e-16
8.2,1.108836e-16
8.25,1.121691e-16
8.3,1.134552e-16
8.35,1.147417e-16
8.4,1.160286e-16
8.45,1.173157e-16
8.5,1.186032e-16
8.55,1.198908e-16
8.6,1.211785e-16
8.65,1.224663e-16
8.7,1.237540e-16
8.75,1.250417e-16
8.8,1.263293e-16
8.85,1.276166e-16
8.9,1.289037e-16
8.95,1.301905e-16
9,1.314769e-16
9.05,1.327629e-16
9.1,1.340484e-16
9.15,1.353334e-16
9.2,1.366178e-16
9.25,1.379016e-16
9.3,1.391847e-16
9.35,1.404672e-16
9.4,1.417488e-16
9.45,1.430296e-16
9.5,1.443096e-16
9.55,1.455887e-16
9.6,1.468669e-16
9.65,1.481441e-16
9.7,1.494202e-16
9.75,1.506953e-16
9.8,1.519694e-16
9.85,1.532422e-16
9.9,1.545139e-16
9.95,1.557845e-16
10,1.570537e-16
10.05,1.583217e-16
10.1,1.595884e-16
10.15,1.608538e-16
10.2,1.621178e-16
10.25,1.633804e-16
